io_industry,io_industry_name,upstreamness,match1,match2,match3,match4
1111A0,Oilseed farming,4.230754,12,,,
1111B0,Grain farming,3.403827,10,,,
111200,Vegetable and melon farming,1.360043,7,8,,
111335,Tree nut farming,1.757601,8,12,,
1113A0,Fruit farming,1.509174,8,,,
111400,"Greenhouse, nursery, and floriculture production",1.349269,6,,,
111910,Tobacco farming,2.097073,24,,,
111920,Cotton farming,3.964029,53,,,
1119A0,Sugarcane and sugar beet farming,3.277686,17,,,
1119B0,All other crop farming,3.401238,10,,,
112120,Dairy cattle and milk production,2.678099,4,,,
1121A0,Cattle ranching and farming,3.208775,1,,,
112300,Poultry and egg production,2.429202,4,2,,
112A00,"Animal production, except cattle and poultry and eggs",2.583803,5,51,,
113300,Logging,4.281475,44,,,
113A00,"Forest nurseries, forest products, and timber tracts",4.59558,6,13,14,
114100,Fishing,2.213703,3,,,
114200,Hunting and trapping,1,,,,
115000,Support activities for agriculture and forestry,3.881188,,,,
211000,Oil and gas extraction,3.346802,27,,,
212100,Coal mining,3.135484,27,,,
212210,Iron ore mining,4.349806,72,,,
212230,"Copper, nickel, lead, and zinc mining",3.695198,74,75,78,79
2122A0,"Gold, silver, and other metal ore mining",4.017757,71,81,,
212310,Stone mining and quarrying,2.774435,25,68,,
212320,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",2.758433,25,26,27,
212390,Other nonmetallic mineral mining and quarrying,3.360732,27,,,
213111,Drilling oil and gas wells,1,,,,
213112,Support activities for oil and gas operations,1.323609,,,,
21311A,Support activities for other mining,2.200378,,,,
221100,"Electric power generation, transmission, and distribution",2.111785,85,,,
221200,Natural gas distribution,2.253914,,,,
221300,"Water, sewage and other systems",1.611937,,,,
230101,Nonresidential commercial and health care structures,1,,,,
230102,Nonresidential manufacturing structures,1,,,,
230103,Other nonresidential structures,1,,,,
230201,Residential permanent site single- and multi-family structures,1,,,,
230202,Other residential structures,1.036107,,,,
230301,Nonresidential maintenance and repair,2.816364,,,,
230302,Residential maintenance and repair,2.118943,,,,
311111,Dog and cat food manufacturing,1.029119,12,23,,
311119,Other animal food manufacturing,3.344265,12,23,,
311210,Flour milling and malt manufacturing,2.100155,11,,,
311221,Wet corn milling,2.523252,10,,,
311225,Fats and oils refining and blending,2.220603,15,,,
31122A,Soybean and other oilseed processing,3.194323,15,,,
311230,Breakfast cereal manufacturing,1.056176,19,,,
311313,Beet sugar manufacturing,2.171782,17,,,
31131A,Sugar cane mills and refining,2.195367,17,,,
311320,Chocolate and confectionery manufacturing from cacao beans,1.95127,18,,,
311330,Confectionery manufacturing from purchased chocolate,1.051483,18,,,
311340,Nonchocolate confectionery manufacturing,1.16861,19,,,
311410,Frozen food manufacturing,1.279537,16,,,
311420,"Fruit and vegetable canning, pickling, and drying",1.441796,6,8,20,
311513,Cheese manufacturing,1.868375,19,,,
311514,"Dry, condensed, and evaporated dairy product manufacturing",1.761657,19,,,
31151A,Fluid milk and butter manufacturing,1.473283,19,,,
311520,Ice cream and frozen dessert manufacturing,1.864227,19,,,
311615,Poultry processing,1.500601,2,,,
31161A,"Animal (except poultry) slaughtering, rendering, and processing",1.695412,2,,,
311700,Seafood product preparation and packaging,1.822791,16,,,
311810,Bread and bakery product manufacturing,1.182631,19,,,
311820,"Cookie, cracker, and pasta manufacturing",1.183229,19,,,
311830,Tortilla manufacturing,1.053684,19,,,
311910,Snack food manufacturing,1.188462,19,,,
311920,Coffee and tea manufacturing,1.476222,9,,,
311930,Flavoring syrup and concentrate manufacturing,2.381121,17,,,
311940,Seasoning and dressing manufacturing,1.554893,9,,,
311990,All other food manufacturing,1.429612,21,23,,
312110,Soft drink and ice manufacturing,1.190918,22,,,
312120,Breweries,1.090393,22,,,
312130,Wineries,1.287828,22,,,
312140,Distilleries,1.493887,22,,,
3122A0,Tobacco product manufacturing,1.065421,24,,,
313100,"Fiber, yarn, and thread mills",2.768621,50,,,
313210,Broadwoven fabric mills,2.464607,51,,,
313220,Narrow fabric mills and schiffli machine embroidery,2.300124,51,58,84,
313230,Nonwoven fabric mills,2.756306,56,,,
313240,Knit fabric mills,2.526388,61,,,
313310,Textile and fabric finishing mills,2.595838,51,53,58,59
313320,Fabric coating mills,2.821826,59,,,
314110,Carpet and rug mills,1.218855,57,,,
314120,Curtain and linen mills,1.240585,,,,
314910,Textile bag and canvas mills,2.103457,,,,
314990,All other textile product mills,2.116669,63,,,
315100,Apparel knitting mills,1.294906,60,,,
315210,Cut and sew apparel contractors,2.601452,,,,
315220,Men's and boys' cut and sew apparel manufacturing,1.075044,,,,
315230,Women's and girls' cut and sew apparel manufacturing,1.024395,,,,
315290,Other cut and sew apparel manufacturing,1.124554,,,,
315900,Apparel accessories and other apparel manufacturing,1.279085,61,62,,
316100,Leather and hide tanning and finishing,2.702784,41,,,
316200,Footwear manufacturing,1.007311,64,,,
316900,Other leather and allied product manufacturing,1.496118,42,,,
321100,Sawmills and wood preservation,3.00569,44,,,
321219,Reconstituted wood product manufacturing,2.537048,44,,,
32121A,Veneer and plywood manufacturing,2.600225,44,,,
32121B,Engineered wood member and truss manufacturing,2.356648,44,,,
321910,Wood windows and doors and millwork,2.433991,44,,,
321920,Wood container and pallet manufacturing,2.522333,44,,,
321991,Manufactured home (mobile home) manufacturing,1.019412,94,,,
321992,Prefabricated wood building manufacturing,2.286916,44,,,
321999,All other miscellaneous wood product manufacturing,2.233684,44,,,
322110,Pulp mills,3.550628,48,,,
322120,Paper mills,2.718318,48,,,
322130,Paperboard mills,3.343466,48,,,
322210,Paperboard container manufacturing,2.747045,48,,,
32222A,"Coated and laminated paper, packaging paper and plastics film manufacturing",2.659793,39,48,,
32222B,All other paper bag and coated and treated paper manufacturing,2.639048,48,,,
322230,Stationery product manufacturing,2.099156,49,,,
322291,Sanitary paper product manufacturing,1.422351,48,,,
322299,All other converted paper product manufacturing,2.196707,48,,,
323110,Printing,2.57354,49,,,
323120,Support activities for printing,3.103222,49,,,
324110,Petroleum refineries,2.396137,27,,,
324121,Asphalt paving mixture and block manufacturing,2.299469,27,,,
324122,Asphalt shingle and coating materials manufacturing,2.340249,27,,,
324191,Petroleum lubricating oil and grease manufacturing,2.26958,34,,,
324199,All other petroleum and coal products manufacturing,3.280993,27,,,
325110,Petrochemical manufacturing,4.651128,29,,,
325120,Industrial gas manufacturing,3.226115,28,29,,
325130,Synthetic dye and pigment manufacturing,3.518264,32,,,
325181,Alkalies and chlorine manufacturing,3.61121,28,,,
325182,Carbon black manufacturing,3.419316,28,,,
325188,All other basic inorganic chemical manufacturing,3.239471,28,,,
325190,Other basic organic chemical manufacturing,3.852873,29,,,
325211,Plastics material and resin manufacturing,3.571221,13,39,,
325212,Synthetic rubber manufacturing,3.047806,40,,,
325220,Artificial and synthetic fibers and filaments manufacturing,3.108516,54,,,
325310,Fertilizer manufacturing,3.761748,31,,,
325320,Pesticide and other agricultural chemical manufacturing,2.84393,28,29,,
325411,Medicinal and botanical manufacturing,2.588009,12,30,,
325412,Pharmaceutical preparation manufacturing,1.309221,30,,,
325413,In-vitro diagnostic substance manufacturing,2.048075,30,,,
325414,Biological product (except diagnostic) manufacturing,2.80664,,,,
325510,Paint and coating manufacturing,2.691293,32,,,
325520,Adhesive manufacturing,2.953803,32,,,
325610,Soap and cleaning compound manufacturing,1.749035,34,,,
325620,Toilet preparation manufacturing,1.103007,33,34,,
325910,Printing ink manufacturing,3.487998,32,,,
3259A0,All other chemical product and preparation manufacturing,2.87632,38,,,
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,2.791692,39,,,
326121,Unlaminated plastics profile shape manufacturing,3.053815,39,,,
326122,Plastics pipe and pipe fitting manufacturing,2.701609,39,,,
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",2.913646,39,,,
326140,Polystyrene foam product manufacturing,2.397522,29,,,
326150,Urethane and other foam product (except polystyrene) manufacturing,2.345125,29,,,
326160,Plastics bottle manufacturing,2.480154,39,,,
32619A,Other plastics product manufacturing,2.41743,39,,,
326210,Tire manufacturing,1.938411,87,,,
326220,Rubber and plastics hoses and belting manufacturing,2.620635,39,40,,
326290,Other rubber product manufacturing,2.553101,40,,,
32711A,"Pottery, ceramics, and plumbing fixture manufacturing",1.727483,69,,,
32712A,"Brick, tile, and other structural clay product manufacturing",2.288481,25,,,
32712B,Clay and nonclay refractory manufacturing,3.464831,25,,,
327211,Flat glass manufacturing,3.096117,70,,,
327212,Other pressed and blown glass and glassware manufacturing,2.375571,70,,,
327213,Glass container manufacturing,2.251093,70,,,
327215,Glass product manufacturing made of purchased glass,2.182254,70,,,
327310,Cement manufacturing,2.985872,25,68,,
327320,Ready-mix concrete manufacturing,2.225789,,,,
327330,"Concrete pipe, brick, and block manufacturing",2.287087,,,,
327390,Other concrete product manufacturing,2.378345,,,,
3274A0,Lime and gypsum product manufacturing,2.609839,68,,,
327910,Abrasive product manufacturing,3.028388,,,,
327991,Cut stone and stone product manufacturing,1.711409,68,,,
327992,Ground or treated mineral and earth manufacturing,3.48571,25,27,,
327993,Mineral wool manufacturing,2.289911,26,,,
327999,Miscellaneous nonmetallic mineral products,2.587112,27,,,
331110,Iron and steel mills and ferroalloy manufacturing,3.358125,72,73,,
331200,Steel product manufacturing from purchased steel,3.449966,73,,,
331314,Secondary smelting and alloying of aluminum,4.063665,76,,,
33131A,Alumina refining and primary aluminum production,3.814386,76,,,
33131B,Aluminum product manufacturing from purchased aluminum,3.136834,76,,,
331411,Primary smelting and refining of copper,4.354704,74,,,
331419,Primary smelting and refining of nonferrous metal (except copper and aluminum),3.418573,81,,,
331420,"Copper rolling, drawing, extruding and alloying",3.610851,74,,,
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",3.395847,81,,,
331510,Ferrous metal foundries,3.129271,71,,,
331520,Nonferrous metal foundries,3.190171,81,,,
332114,Custom roll forming,3.114781,,,,
33211A,"All other forging, stamping, and sintering",2.95856,,,,
33211B,Crown and closure manufacturing and metal stamping,2.870307,,,,
33221A,"Cutlery, utensil, pot, and pan manufacturing",1.339913,84,,,
33221B,Handtool manufacturing,2.268283,82,,,
332310,Plate work and fabricated structural product manufacturing,2.640646,,,,
332320,Ornamental and architectural metal products manufacturing,2.481679,,,,
332410,Power boiler and heat exchanger manufacturing,2.031704,84,,,
332420,Metal tank (heavy gauge) manufacturing,1.749666,81,,,
332430,"Metal can, box, and other metal container (light gauge) manufacturing",2.627341,81,,,
332500,Hardware manufacturing,2.549264,82,,,
332600,Spring and wire product manufacturing,2.736695,85,,,
332710,Machine shops,3.029314,84,,,
332720,"Turned product and screw, nut, and bolt manufacturing",2.962788,84,,,
332800,"Coating, engraving, heat treating and allied activities",3.075837,,,,
332913,Plumbing fixture fitting and trim manufacturing,2.349101,,,,
33291A,Valve and fittings other than plumbing,2.736969,,,,
332991,Ball and roller bearing manufacturing,3.15459,84,,,
332996,Fabricated pipe and pipe fitting manufacturing,2.386264,,,,
33299A,Ammunition manufacturing,1.624976,93,,,
33299B,"Arms, ordnance, and accessories manufacturing",1.237099,93,,,
33299C,Other fabricated metal manufacturing,2.641157,81,,,
333111,Farm machinery and equipment manufacturing,1.363757,84,,,
333112,Lawn and garden equipment manufacturing,1.209999,84,,,
333120,Construction machinery manufacturing,1.286298,84,,,
333130,Mining and oil and gas field machinery manufacturing,1.761722,84,,,
333220,Plastics and rubber industry machinery manufacturing,1.473882,84,,,
333295,Semiconductor machinery manufacturing,1.519713,84,,,
33329A,Other industrial machinery manufacturing,1.577565,84,,,
333314,Optical instrument and lens manufacturing,1.410594,37,90,,
333315,Photographic and photocopying equipment manufacturing,1.119738,37,90,,
333319,Other commercial and service industry machinery manufacturing,1.294822,37,84,,
33331A,"Vending, commercial, industrial, and office machinery manufacturing",1.347139,84,,,
333414,Heating equipment (except warm air furnaces) manufacturing,1.977326,84,,,
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",2.123901,84,,,
33341A,Air purification and ventilation equipment manufacturing,1.987501,84,,,
333511,Industrial mold manufacturing,1.343298,84,,,
333514,"Special tool, die, jig, and fixture manufacturing",1.368082,84,,,
333515,Cutting tool and machine tool accessory manufacturing,3.159751,84,,,
33351A,Metal cutting and forming machine tool manufacturing,1.405965,82,84,,
33351B,Rolling mill and other metalworking machinery manufacturing,1.171752,82,84,,
333611,Turbine and turbine generator set units manufacturing,1.441552,85,,,
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",2.839321,87,,,
333613,Mechanical power transmission equipment manufacturing,2.670284,86,87,88,89
333618,Other engine equipment manufacturing,2.257358,86,87,88,89
333911,Pump and pumping equipment manufacturing,1.443069,84,,,
333912,Air and gas compressor manufacturing,1.293963,84,,,
333920,Material handling equipment manufacturing,1.602306,84,,,
333991,Power-driven handtool manufacturing,1.132338,84,,,
333993,Packaging machinery manufacturing,1.282231,84,,,
333994,Industrial process furnace and oven manufacturing,1.592919,84,,,
33399A,Other general purpose machinery manufacturing,1.616858,84,,,
33399B,Fluid power process machinery,2.616025,84,,,
334111,Electronic computer manufacturing,1.04282,85,,,
334112,Computer storage device manufacturing,1.784119,84,,,
33411A,Computer terminals and other computer peripheral equipment manufacturing,1.689875,84,,,
334210,Telephone apparatus manufacturing,1.348115,85,,,
334220,Broadcast and wireless communications equipment,1.356948,85,,,
334290,Other communications equipment manufacturing,2.410977,85,,,
334300,Audio and video equipment manufacturing,1.133374,37,,,
334411,Electron tube manufacturing,2.403311,85,,,
334412,Bare printed circuit board manufacturing,2.994973,84,,,
334413,Semiconductor and related device manufacturing,2.908526,84,,,
334417,Electronic connector manufacturing,2.757734,85,,,
334418,Printed circuit assembly (electronic assembly) manufacturing,3.026501,85,,,
334419,Other electronic component manufacturing,2.780408,84,85,,
33441A,"Electronic capacitor, resistor, coil, transformer, and other inductor manufacturing",2.945011,85,,,
334510,Electromedical and electrotherapeutic apparatus manufacturing,1.179048,90,,,
334511,"Search, detection, and navigation instruments manufacturing",1.375505,85,90,,
334512,Automatic environmental control manufacturing,2.584858,84,85,,
334513,Industrial process variable instruments manufacturing,1.810129,,,,
334514,Totalizing fluid meters and counting devices manufacturing,1.970213,84,,,
334515,Electricity and signal testing instruments manufacturing,1.375099,85,,,
334516,Analytical laboratory instrument manufacturing,1.305697,,,,
334517,Irradiation apparatus manufacturing,1.148457,,,,
33451A,"Watch, clock, and other measuring and controlling device manufacturing",1.379513,91,,,
334613,Magnetic and optical recording media manufacturing,2.431097,85,90,,
33461A,"Software, audio, and video media reproducing",3.148854,37,,,
335110,Electric lamp bulb and part manufacturing,1.90237,85,94,,
335120,Lighting fixture manufacturing,2.017924,94,,,
335210,Small electrical appliance manufacturing,1.199925,85,,,
335221,Household cooking appliance manufacturing,1.093545,94,,,
335222,Household refrigerator and home freezer manufacturing,1.050015,94,,,
335224,Household laundry equipment manufacturing,1.056777,94,,,
335228,Other major household appliance manufacturing,1.463688,94,,,
335311,"Power, distribution, and specialty transformer manufacturing",1.503915,,,,
335312,Motor and generator manufacturing,2.341714,87,,,
335313,Switchgear and switchboard apparatus manufacturing,2.051859,84,,,
335314,Relay and industrial control manufacturing,2.731175,84,85,,
335911,Storage battery manufacturing,1.97574,85,,,
335912,Primary battery manufacturing,1.120086,,,,
335920,Communication and energy wire and cable manufacturing,2.741731,85,,,
335930,Wiring device manufacturing,2.420727,85,,,
335991,Carbon and graphite product manufacturing,3.748428,28,,,
335999,All other miscellaneous electrical equipment and component manufacturing,1.334298,84,85,,
336111,Automobile manufacturing,1.000336,87,,,
336112,Light truck and utility vehicle manufacturing,1.00054,87,,,
336120,Heavy duty truck manufacturing,1.117674,87,,,
336211,Motor vehicle body manufacturing,1.613977,87,,,
336212,Truck trailer manufacturing,1.016525,87,,,
336213,Motor home manufacturing,1.012255,87,,,
336214,Travel trailer and camper manufacturing,1.258694,87,,,
336300,Motor vehicle parts manufacturing,2.295051,87,,,
336411,Aircraft manufacturing,1.283283,88,,,
336412,Aircraft engine and engine parts manufacturing,2.694185,88,,,
336413,Other aircraft parts and auxiliary equipment manufacturing,2.430147,88,,,
336414,Guided missile and space vehicle manufacturing,1.633018,88,,,
33641A,Propulsion units and parts for space vehicle and guided missiles,2.021602,88,,,
336500,Railroad rolling stock manufacturing,1.774936,86,,,
336611,Ship building and repairing,1.311445,89,,,
336612,Boat building,1.033576,89,,,
336991,"Motorcycle, bicycle, and parts manufacturing",1.219898,87,,,
336992,"Military armored vehicle, tank, and tank component manufacturing",1.069563,93,,,
336999,All other transportation equipment manufacturing,1.224218,87,,,
337110,Wood kitchen cabinet and countertop manufacturing,2.100219,44,,,
337121,Upholstered household furniture manufacturing,1.007245,94,,,
