industry	USA	SVN	SVK	PRT	NLD	LUX	ITA	HUN	GRC	FIN	EUR	EST	ESP	DNK	DEU	CZE	BEL	AUT
"01 Agriculture, hunting, forestry and fishing"	2.621436	2.154195	2.087345	2.397175	3.011091	3.181013	2.604638	2.41616	1.726368	3.352796	2.338603	2.92609	2.415049	3.023542	2.039432	2.775194	2.397626	2.529016
"02 Mining and quarrying (energy)"	3.137835	3.725625	4.057063	3.76124	4.587332	6.250343	3.622867	3.803134	3.257666	4.400744	3.630187	3.591567	4.02062	3.970818	3.235248	3.994466	4.249832	3.943038
"03 Mining and quarrying (non-energy)"	1.994633	3.398082	4.527036	3.41831	4.088355	4.479662	3.721962	3.465261	2.713461	5.365854	3.63331	3.137422	3.844023	3.111471	3.730346	4.576205	3.949401	2.88757
"04 Food products, beverages and tobacco"	1.557605	1.816909	1.561163	1.697278	2.26564	2.048326	1.961256	1.78118	1.318615	2.206953	1.733617	1.554704	1.840729	2.283506	1.498023	1.964349	1.87786	1.687286
"05 Textiles, textile products, leather and footwear"	1.441483	2.945023	2.18546	2.219578	1.677135	2.14191	2.20979	2.539948	1.276011	1.74857	1.76679	2.247682	1.982559	1.713694	1.473903	3.406058	1.866694	1.61498
"06 Wood and products of wood and cork"	2.567874	3.628948	3.483271	3.531514	2.741683	3.840026	2.987031	3.022841	2.342067	3.13817	2.965569	3.315785	3.479006	2.657619	2.653881	4.221969	3.2368	2.835947
"07 Pulp, paper, paper products, printing and publishing"	2.293363	3.266145	2.926132	2.93708	2.967696	4.969101	2.882529	3.184305	1.896314	3.59872	2.828896	2.935843	3.149927	3.073524	2.609083	3.873945	3.301537	3.224228
"08 Coke, refined petroleum products and nuclear fuel"	2.175396	2.443898	3.079266	2.712852	3.67871	3.760646	2.549297	3.383707	2.298794	3.357936	2.752697	3.344303	3.044939	3.470642	2.498862	3.498846	3.279869	2.496542
"09 Chemicals excluding pharmaceuticals"	2.344433	2.902975	2.320926	2.629474	3.989447	3.568465	2.982002	2.836493	1.989927	3.647243	2.787071	2.814575	2.747755	3.1546	2.713494	3.529732	3.382667	2.703655
"10 Pharmaceuticals"																		
"11 Rubber & plastics products"	2.494278	3.364184	3.420438	2.85736	3.090297	3.309919	3.078586	3.395633	1.93301	3.194349	2.95911	2.979085	3.318016	2.975009	2.861197	3.957334	3.263307	2.911842
"12 Other non-metallic mineral products"	2.540639	2.911591	3.197384	2.821612	2.885034	3.820788	2.949793	2.894977	2.174184	2.977724	2.80972	2.664475	2.956642	2.68817	2.690833	3.540977	3.132795	2.680002
"13 Iron & steel"	3.335243	3.860094	4.083176	3.556638	3.865787	6.780952	3.607301	3.955174	3.287683	5.0782	3.677857	3.999736	3.646433	3.549436	3.698032	4.417205	4.312927	3.90916
"14 Non-ferrous metals"																		
"15 Fabricated metal products, except machinery & equipment"	2.614598	3.218151	3.02509	2.755861	3.178957	4.035439	2.912881	3.204067	1.998883	3.491372	2.848344	3.330961	3.003384	3.135797	2.773042	4.042764	3.052433	2.573111
"16 Machinery & equipment, nec "	1.793553	1.903188	1.928558	1.730098	2.436864	3.376869	2.033342	2.366091	1.495676	2.753794	2.057657	1.883987	2.297245	2.242019	2.150219	2.237582	1.655955	2.237868
"17 Office, accounting & computing machinery"	1.920857	1.68472	1.375753	1.363893	2.000021	2.754636	2.108264	3.417012	1.133154	2.993021	1.872754	1.844242	1.91946	1.888801	1.954503	3.22888	1.2541	1.618306
"18 Electrical machinery & apparatus, nec"	2.08896	2.975206	3.412419	2.725337	3.070165	3.404007	2.489646	3.671642	2.157973	3.744568	2.401416	4.805549	2.762293	3.074646	2.834763	4.142321	2.778965	2.674487
"19 Radio, television & communication equipment"		2.51524	3.394552	2.538359	2.442769	2.245697	2.023413	4.287683	1.360505	4.634826		5.227568	1.952631	2.345531	2.534526	4.107444	2.65436	2.341399
"20 Medical, precision & optical instruments"		1.928027	2.105343	1.502914	2.219023	1.63778	1.981048	3.288681	1.640591	2.626172		2.185814	1.611758	2.140532	1.66992	2.451416	1.79715	1.77113
"21 Motor vehicles, trailers & semi-trailers"	1.625314	1.925518	4.167017	1.59518	1.547295	1.07221	1.798417	2.554508	1.189107	1.736444	1.889146	1.479893	2.003089	1.367512	2.155478	2.597522	2.006988	2.187919
"22 Building & repairing of ships & boats"	1.622036	2.164812	2.730502	1.58479	2.187302	3.555783	2.458876	2.42343	1.338133	2.135189	2.094852	3.599624	1.909869	1.982223	1.814354	2.29548	1.929505	2.07039
"23 Aircraft & spacecraft"																		
"24 Railroad equipment & transport equip nec."																		
"25 Manufacturing nec; recycling (include Furniture)"	1.491694	2.39749	1.999097	1.884203	1.612366	2.552905	2.033938	2.029444	1.187355	2.501981	1.846483	1.834032	2.481488	1.745848	1.622484	2.781272	2.076781	1.740107
"26 Production, collection and distribution of electricity"	1.931832	2.809093	3.068749	2.959051	3.07399	5.12289	2.756944	2.496026	2.347138	3.12824	2.594183	2.582523	2.990277	2.173626	2.410779	2.630769	2.737596	3.392374
"27 Manufacture of gas; distribution of gaseous fuels through mains"																		
"28 Steam and hot water supply"																		
"29 Collection, purification and distribution of water"		1.961423	2.164449	1.888036	1.927	3.23038	1.932022	1.900439	1.944202	2.408309		1.847211	2.108875	1.703813	2.141326	2.355837	2.018058	2.764869
"30 Construction"	1.187878	1.771768	1.89373	1.739438	1.817997	1.729633	1.553047	1.484063	1.182899	1.454447	1.595218	1.333689	1.827312	1.50923	1.404301	2.019624	2.025215	1.576945
"31 Wholesale & retail trade; repairs"	1.56588	2.045147	2.38769	1.751997	1.96335	2.614361	1.993779	2.032121	1.6163	2.163088	1.912165	2.087286	1.77229	1.782998	1.69424	2.874482	2.594356	1.845042
"32 Hotels & restaurants"	1.37465	1.701061	1.683755	1.401209	1.892711	2.671941	1.517398	1.311928	1.096726	1.78717	1.379664	1.399337	1.184885	1.749174	1.304348	2.058154	2.228692	1.492912
"33 Land transport; transport via pipelines"	2.557576	3.004084	2.86619	2.620028	2.296928	2.879893	2.599622	2.524294	1.757064	3.327894	2.59273	3.473422	2.864955	2.731152	2.698803	3.176173	2.855863	2.476894
"34 Water transport"	1.69038	5.030732	3.990466	2.796802	2.959419	5.515869	2.022188	3.111528	2.006779	2.616598	2.73825	3.942594	2.722205	3.2559	2.979287	3.900639	3.91083	3.005914
"35 Air transport"	1.796246	2.530139	3.898949	1.947518	2.530625	8.695601	2.420962	1.979616	1.99172	2.840439	2.289526	3.150876	2.305871	3.927781	2.292591	3.192245	3.634552	2.396984
"36 Supporting and auxiliary transport activities; activities of travel agencies"	2.910869	2.249086	2.995305	2.40706	2.434888	6.740425	2.792255	2.621264	2.572627	2.889477	3.030056	4.233748	3.03226	3.761241	3.096922	2.60826	2.930281	2.331117
"37 Post & telecommunications"	2.328819	2.311603	2.352343	2.316786	2.34094	9.439456	2.519469	2.361258	2.050562	3.071436	2.531691	3.079039	2.516779	2.809659	2.356288	2.993425	3.110364	2.526199
"38 Finance & insurance"	2.107079	2.342015	1.945814	2.348341	2.505879	22.27787	2.649034	2.727346	2.000207	2.47996	2.544675	2.732271	2.313098	2.225397	2.410608	3.049591	2.848235	2.506821
"39 Real estate activities"	1.563035	1.585798	1.944331	1.340868	1.562	3.117234	1.670779	1.829208	1.362573	1.490467	1.590816	1.858778	1.580252	1.485749	1.650911	2.024585	1.601629	1.683542
"40 Renting of machinery & equipment"	2.539356	3.127788	3.141575	2.457676	3.289441	10.24734	3.187087	2.794482	2.482896	3.151261	2.955265	3.863312	2.706507	2.888794	3.117577	3.061094	3.697319	2.693203
"41 Computer & related activities"	2.037037	2.389044	2.417983	2.076507	2.550277	7.307411	2.780766	2.70876	1.783621	2.973818	2.53683	2.848545	1.938428	2.433179	2.348647	3.201234	2.889853	2.042139
"42 Research & development"	2.671913	2.432874	2.576562	2.229485	2.920623	3.668778	2.304978	2.742689	1.72743	3.845692	2.669749	1.466158	2.826609	2.485648	2.05469	2.732539	3.057368	3.207144
"43 Other Business Activities"	2.570704	2.970164	3.170115	3.008479	3.14588	9.518586	3.077563	3.233422	2.499821	3.635922	3.12182	3.286929	2.804798	3.0057	3.17558	3.552828	3.601709	3.03189
"44 Public admin. & defence; compulsory social security"	1.139993	1.177413	1.092487	1.22572	1.143091	1.267452	1.013847	1.20946	1.02725	1.494327	1.095871	1.170386	1.163383	1.176723	1.193225	1.180404	1.167982	1.088537
"45 Education"	1.272567	1.21894	1.171805	1.087648	1.076089	1.238994	1.156342	1.302136	1.017253	1.20022	1.215763	1.145069	1.116732	1.104339	1.283159	1.193731	1.08621	1.084939
"46 Health & social work"	1.024668	1.158176	1.089524	1.114619	1.103437	1.04426	1.081147	1.078349	1.031989	1.086084	1.10681	1.100439	1.135744	1.039966	1.037428	1.11598	1.151198	1.043687
"47 Other community, social & personal services"	2.092633	1.580672	1.779104	1.584115	2.056948	2.989471	1.978879	1.931016	1.254742	1.719798	1.857885	1.44922	1.70181	2.044445	1.935361	1.94022	2.182774	1.854896
"48 Private households with employed persons & extra-territorial organisations & bodies"											1.023435							
