Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",6385.5,10.4,36,17841.2,753.1,769.2,180,0,139.8,96.8,43.9,0,0.2,2.4,0.7,0.4,0.3,1,0,0.1,0,0,0,0,45.2,4,0,0,2.2,127.4,1229.8,1251.8,29.3,0,0,18,6.7,4.6,58.4,0,81.5,0,76.3,101.4,3.4,33.3,505.6,0,29839.9,6240.9,0,344,2244.3,2015.7,0,7843.1,933,0.1
2 Mining and quarrying (energy),18.8,1758.2,37.5,217.7,26.9,10.2,92.5,12900.3,125.7,9.6,8.9,434.5,231.4,179,21.8,10.5,3.9,3.9,0,2.9,19.1,3.1,10.5,1.3,21.5,2629.2,1.8,0,1.2,18.4,2764.7,172.5,15.7,0.4,2.2,25,84.9,5,73.3,0,19.7,0,72.7,139.1,30.2,74.5,30.2,0,22310.4,428.1,0,0.2,145.6,-234.2,0,24778.7,9933.6,0.8
3 Mining and quarrying (non-energy),12.8,17.8,1861,173.3,0,11.9,0.4,5.3,337.2,0.9,5.3,806.3,1300.2,13467.9,108.3,31.7,1.5,46.4,0,3.4,3.8,3.1,5.1,7.5,171.8,6,0.7,0,12,341.8,57.6,12.6,4.9,0.1,1,6.7,6.8,2.4,53.7,0,4.6,0,18.1,137.4,0.7,10.7,67.9,0,19128.6,5.7,0,0.1,209.2,-169.8,0,12961.8,3009.7,1.1
"4 Food products, beverages and tobacco",1236.1,13.1,18.3,7992.2,98.6,6.2,22.6,5.8,278.2,79.8,9.4,8.1,8.5,6.7,25.4,35.5,14,9.6,0,21.4,57.7,9.6,10.2,2.7,44.4,7.5,0.9,0,13,263.2,4406,7635.6,53,2.8,20.8,49.2,130.5,33.2,107.3,0,195.5,0,288.9,217.6,162.2,311.8,957.6,0,24870.7,34956.8,0,41.1,285.1,-275.2,0,15964.1,8525.5,0.9
"5 Textiles, textile products, leather and footwear",97.8,27.1,25.2,219.2,1742.7,21.4,117.8,4.4,74.4,19.9,96.9,37.2,37.7,11.3,131.5,42.3,14.1,13,0,25.1,79.2,22.8,8.9,8,350.5,14,5.7,0,9.9,306.6,432.5,308.6,102.2,7.1,25.4,48.8,124.7,32.5,87.2,0,87.3,0,148.8,326,98.8,298.6,331.1,0,6024.2,8698.5,0,0,738.4,505,0,2546.7,9217.9,0.1
6 Wood and products of wood and cork,55,40.5,37.2,58.7,22,1167.1,75.9,4.2,62.9,11,33.2,35.6,95.5,27.5,165.4,35.5,7.8,9.2,0,11,42.3,122,5.3,5.2,1427.2,4.2,0.4,0,24.3,3894.9,476.7,32.1,67,4,5.4,129.3,47.1,3.1,251.8,0,12.8,0,49,140.9,141.3,35.2,129.6,0,9006.3,311.8,0,0.1,166.2,43.3,0,1016.6,1638.1,-0.2
"7 Pulp, paper, paper products, printing and publishing",177.9,51,49.2,1791.1,156.5,121.3,4777,7.8,229.1,263.4,135.9,132.3,55.3,15.2,135.5,131,35.6,36.7,0,29.9,100.8,14.2,5.7,3.4,117.6,67.5,8,0,25.9,848.1,5331.9,931.7,197.8,18.6,42.4,118.7,1386.2,537.5,565.9,0,808.2,0,1758.1,1777.6,794,587,1243.2,0,25621.7,7025.4,0,2,876.7,-234.3,0,1294.4,5546.2,-0.7
"8 Coke, refined petroleum products and nuclear fuel",968,745.6,1248.2,158,12.1,33.5,110.6,489,475.9,5,36,150.4,202.6,52.3,94.6,45.1,4.8,12.9,0,6.4,38.4,27.6,3.5,6,25.2,350.5,7.4,0,103.1,890.3,1490.5,220.4,3130.7,169.3,1917.7,361.9,419.3,5.8,164.5,0,199.6,0,1003.8,250.6,6.2,161.1,249,0,16053.4,5701.1,0,0.1,72.5,88,0,1995.6,5908.6,-0.1
9 Chemicals excluding pharmaceuticals,1278.2,400.1,424,414.6,279.7,265.7,1224.9,339.8,4278.9,285.5,2406.6,407.1,190.9,78.1,393.3,188.4,25.1,225.5,0,139.7,351.1,65.1,10.6,10.9,482.9,114.3,23.7,0,338,2031.7,657.7,298.1,105.3,9.8,1050,57.7,114.4,5.9,442.6,0,345.8,0,685.8,480.6,97,459.5,632.2,0,22116.8,2980.7,0,19.1,276.3,160.1,0,2428.3,10229.4,0.1
10 Pharmaceuticals,1789.7,11.4,28.8,57.1,23.8,15.5,123.4,3.7,700.6,803.3,50.3,19.4,19.6,11.7,34.5,4.7,2.2,1.7,0,6.9,15.8,1.5,1.5,0.5,17.3,14.3,5.8,0,95.5,104.3,264.6,30,12.6,0.2,3.3,37.2,14.6,1.3,86.8,0,92.3,0,90.5,13.3,16.7,420.3,1077.6,0,6126.1,3297,0,3492.8,68,195.1,0,1462.6,7211.6,0
