Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",2015.753989,0.102927658,0.540345659,2580.970783,67.79033075,818.0102195,262.4930966,1.025395138,9.958280979,0,34.74549156,5.35531435,6.330131881,0,8.790859422,2.221197944,0.057262359,0.919382326,2.697357734,0.407122367,3.543509414,1.544011345,0,0,10.66744709,2.995752026,0,0,0.156138486,37.06942644,43.59500645,348.7729948,6.533560291,0.199384166,1.289675155,10.02552225,1.00700638,3.707144853,16.27595447,0.343382856,2.5800309,0.132080664,1.930317451,8.887321417,11.31539994,36.94546562,7.173021543,0,6374.859042,2237.45724,0.070612254,199.7525884,217.0110403,186.4647659,0.039747047,797.1136982,2210.747,0
2 Mining and quarrying (energy),5.302701078,14.23407296,0.299227992,4.139559234,0.61521513,2.40147667,19.81498098,2719.241233,230.7640636,0,1.156060402,21.89706464,756.9537076,0,5.776055309,7.335457802,0.057502537,1.222974229,1.086194274,0.553267758,3.118310995,0.462687539,0,0,7.222267813,1847.946588,0,0,0.117240928,7.554173399,19.27429127,4.706558321,7.1614394,0.04099048,2.184773756,4.537408049,1.798935629,3.257343932,3.797154465,0.503878183,0.460079497,2.951733745,10.92215924,4.608613419,5.222959072,8.905327329,10.08013873,0,5749.685869,47.94352374,0,0.994649963,12.16674356,-0.534620614,0.003250646,321.0336105,5395.565,0
3 Mining and quarrying (non-energy),5.220320776,0.109576396,38.41107179,12.73501122,0.606526999,2.483625275,56.06511943,1.389367816,45.34351962,0,2.825110224,253.0129103,17.07183492,0,2.360915164,2.361336136,0.047679368,0.870525507,0.62356966,0.228868373,1.282979244,0.366782331,0,0,2.219771985,1.589468122,0,0,1.276786073,391.7536191,11.97598394,4.803217802,6.633456175,0.012307148,0.246034272,2.678761074,1.177444274,1.984915318,20.69682124,0.257955744,0.258706313,0.221723926,4.65811962,25.61610186,1.996575816,2.540538017,9.249300329,0,935.2642587,55.75888823,0,2.712612897,79.0508819,1.717039319,0.004495141,159.2507836,211.282,0
"4 Food products, beverages and tobacco",445.4694864,0.459748974,0.743847788,2174.570115,71.90260394,7.450520035,41.07900839,4.600943443,149.4621686,0,8.685393722,4.748895209,13.59801602,0,10.92241476,21.60257174,0.489723135,7.587683099,10.16661891,2.117470156,13.15785087,2.882586201,0,0,8.087479593,6.706035974,0,0,0.297688105,34.21987131,84.44403182,1689.988152,22.58808706,0.657678848,20.40472895,9.465293838,6.208600879,33.56287006,8.123035997,1.889534596,5.75335755,1.24121164,33.39730172,13.28067752,97.81890478,390.5186696,33.00790594,0,5493.358784,8215.3731,0,13.03810211,42.87858629,49.09934961,0.178733528,5196.375258,4936.055,0
"5 Textiles, textile products, leather and footwear",10.85974516,0.641853246,0.847575148,9.352191383,960.8640061,12.68283488,24.38612961,2.873407481,13.8004158,0,70.14386584,27.4438365,8.158413701,0,22.96620116,26.33913587,0.208247134,17.3515185,5.441018903,6.784209484,115.5953139,5.840751455,0,0,120.0504825,4.774016773,0,0,0.609641246,103.7224803,178.6227951,33.24021456,12.5046335,0.14117424,0.812099455,5.958449544,11.16478702,12.79889249,7.182265861,6.442614403,1.319664822,0.279844996,16.40379467,22.3799133,21.68724694,164.7295664,26.76914611,0,2094.174396,3977.838208,0,2.569077359,27.42807855,-2.081878401,0.061902589,3592.828406,6162.181,0
6 Wood and products of wood and cork,15.47844957,0.816997946,3.01535991,17.27814886,3.040799513,1520.446829,76.81378303,0.87007575,16.31593255,0,14.73513537,24.81375267,14.60033282,0,39.85222339,31.37989599,0.157782011,16.44621163,5.414994059,2.503141292,26.18636921,6.070412284,0,0,366.857022,87.4057309,0,0,0.55777915,1035.298973,66.06033965,6.755390112,4.726683952,0.039852037,0.358846907,8.462680631,6.444172743,4.303759531,59.51527215,1.02676322,1.720769498,0.25618759,14.21658945,26.24503977,10.27014882,17.72646758,27.75704183,0,3582.242137,248.9445766,0,2.452854183,622.9413716,5.750329046,0.443378073,3075.720293,1145.315,0
"7 Pulp, paper, paper products, printing and publishing",17.69345264,2.284335638,3.567230211,384.8123917,50.24058553,159.0369575,2341.023054,11.94576068,178.4537812,0,45.65884291,72.72155467,24.22003402,0,44.19134552,96.15913857,0.831720374,46.28748531,26.22005162,14.25176186,64.4251369,15.91942723,0,0,39.70196354,19.45870214,0,0,1.623271171,112.3060402,940.7989858,45.8826251,62.18884315,0.708111319,14.68849526,79.61875321,159.3572076,310.9974592,102.4595787,56.15535389,50.24195284,13.31548776,1184.548944,128.1926743,45.09134204,102.878409,250.5433338,0,7320.701583,1132.787835,0.048035322,37.89252148,25.72432433,31.14437834,0.028376362,4828.212794,3348.083,0
"8 Coke, refined petroleum products and nuclear fuel",201.6878749,9.144146632,31.66074879,104.8028767,15.6566365,45.87576593,32.76656673,21.31628043,418.873592,0,19.01695938,75.92963327,490.2313678,0,50.86862238,58.9242053,0.76616928,22.57779332,13.30668313,5.626674558,33.17191942,6.464879494,0,0,25.95514892,90.55153169,0,0,3.555439474,520.0176516,309.9912435,115.5050721,658.5451155,6.756811333,313.0971089,90.41606159,29.8795009,29.36846027,39.79207103,13.43349057,20.22451081,7.331287934,76.62340752,127.0237091,89.55138716,173.8959718,144.8648396,0,4545.049217,2515.383751,0,15.1288053,48.99450228,14.11562426,0.064155815,1441.035983,4447.823,0
9 Chemicals excluding pharmaceuticals,174.7005502,2.174630232,37.78654034,223.753234,174.21369,157.8458177,421.227593,112.2492676,1499.624406,0,819.6593589,192.6519648,160.9585064,0,148.9857285,169.6424956,2.831411103,169.8431025,199.8437041,33.94145736,93.04815221,31.93959802,0,0,121.9169139,11.93056439,0,0,4.070369753,344.4120349,367.8721093,85.66729326,34.7913134,0.539451994,5.38479316,23.14546036,21.35701935,49.7794344,104.975967,14.22915883,44.37611128,43.65777672,215.3460197,65.56905747,37.36196159,894.7502852,148.6417956,0,7466.6961,1482.834617,0,1085.871482,106.1778414,104.3135199,0.140928793,7832.941356,10098.389,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
