Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",333.7863095,0,0.281425173,5835.4476,70.84095445,143.3598171,69.1228565,3.784675878,30.21709148,0,6.310064721,1.852464166,0.147553536,0,9.143685054,0.84389928,0.003019177,0.48246322,0.04914829,0.005303273,1.896293342,0.04407861,0,0,3.497131475,0.095588136,0,0,0.003230992,2.289623422,212.8940039,101.9564661,0.069461176,0.002311358,0.041177036,7.662860941,0.05483313,0.097578439,0.137011258,0.181253277,0.098858665,0.122031668,1.385601712,20.89221786,1.631558216,103.4087748,19.41231018,0,6983.552587,2762.583811,0,0,105.9181107,-61.62033277,0,2643.018477,5299.2,0
2 Mining and quarrying (energy),0,0,4.682553871,0.083617033,0,0,0,9310.42411,7.810072858,0,0,28.97276076,163.7221514,0,0,0,0,0,0,0,0,0,0,0,0.2508511,328.9494094,0,0,0,0.542969399,0,0,0,0,0,1.852247833,0,0,4.598936838,0,0,0,0,11.69880623,0,40.50707083,0.097372766,0,9904.19293,51.51638616,0,0,0,33.1862171,0,706.4208496,10695.4,0
3 Mining and quarrying (non-energy),0.111869161,0,43.59530199,11.11954245,2.592177609,0.449362485,48.1175848,0.575609937,157.6199911,0,3.679389522,690.8098692,602.0580078,0,1.690772552,0.943878176,0.001686268,28.31172675,0.101506968,0.962713407,4.591496676,0.032178517,0,0,79.35863616,0.612844832,0,0,0.652711324,633.7006578,270.2208384,42.42840203,12.82751202,0.019726478,0.016329064,4.596925137,0.023791668,0.006767164,30.52374561,0.015374476,0.018429808,0.010540969,0.410239569,26.55353884,0.152160185,0.266781351,8.326479159,0,2708.107097,57.95852354,0.00074808,0.121369,0.585897436,43.25074374,0,6714.927814,8779.9,0
"4 Food products, beverages and tobacco",1316.687816,0,1.888300522,5308.332129,21.52009002,5.425939004,56.26124729,91.33905894,200.4014955,0,12.80970304,11.1444058,18.81309711,0,11.76297295,12.29999926,0.24994371,5.745533372,5.39954884,1.938139763,29.47076085,2.16185065,0,0,12.20291653,5.086969846,0,0,0.186560734,41.69854792,478.4183756,2381.091835,5.231486589,2.082701976,3.938819349,10.97915741,4.126316708,5.252370668,2.478261252,1.302349745,3.405203707,0.639263905,48.01056133,100.0585994,20.19916018,489.8759962,168.6635976,0,10898.58108,14874.9151,0.068478597,9.989839829,73.58751517,175.6830395,0,13769.4283,12344.7,0
"5 Textiles, textile products, leather and footwear",12.48632167,0,0.369074788,69.1477307,1900.636877,4.261621646,88.81822086,11.87375087,66.38737617,0,51.59005548,11.48709752,12.22700829,0,16.90869228,14.50697989,0.171013655,8.575576264,2.863783505,2.27950013,242.3435459,2.705913101,0,0,194.6585492,1.681538474,0,0,0.902471124,223.1725798,327.0241328,30.44268031,5.479707113,0.672377394,1.838531852,50.36715622,16.00901964,3.212454944,3.67586123,6.803367685,1.907939912,1.475504148,94.17668567,57.96141548,7.643636252,75.02689836,122.6814561,0,3746.454103,5372.506973,0.028480728,3.757878437,62.25903843,55.14578131,0,7163.083411,8496.4,0
6 Wood and products of wood and cork,0.90798277,0,1.50046962,30.32452833,22.79601872,696.2973721,7.397231186,5.428240318,24.0921475,0,6.990512678,25.14253696,9.368061899,0,15.34193876,18.78873181,0.028795544,10.46415329,0.821493463,1.348684952,40.05938527,40.35404904,0,0,170.0582244,0.65872716,0,0,0.078648403,1042.955237,79.11647144,7.866465092,5.326966961,0.149053873,0.157439244,88.92907979,0.780027803,1.279706963,5.96260416,1.171977742,0.705420179,0.09226766,27.84779681,9.966243982,4.881221754,1.488447501,93.23438896,0,2500.158751,253.2935309,0.004162727,0.431325959,21.87873582,28.86067079,0,1597.997447,1389.3,0
"7 Pulp, paper, paper products, printing and publishing",2.076173451,0,2.126379782,766.7725022,69.26098894,45.17026671,2088.381371,9.252118306,290.1706141,0,125.969433,45.28601534,28.90836762,0,27.3852458,40.91622099,0.649894464,82.47096511,10.32287223,5.2736557,25.91282954,2.733666476,0,0,61.00908937,14.11682119,0,0,3.936075719,105.0264517,1376.592184,98.70440305,24.76865078,1.011433677,7.481551323,92.37066779,84.51485532,166.6447452,32.65705618,6.580290451,33.77873059,10.15456759,1831.107221,330.3959217,141.7309829,162.2510029,210.9604476,0,8464.832729,1920.625915,2.546964884,29.83588917,37.60545484,149.0097843,0,4352.332384,4673.9,0
"8 Coke, refined petroleum products and nuclear fuel",279.6534407,0,13.7458782,147.8588189,57.24082048,41.26918403,59.52886597,2908.483529,1659.347223,0,76.44971552,117.7538118,259.2356856,0,44.71773448,28.8268071,0.999322404,20.0721605,8.756190556,2.841444189,28.06922564,2.41177077,0,0,26.29380587,445.8671681,0,0,6.962773785,557.0746361,842.2060839,27.90990655,1636.580045,165.5686415,345.8373702,444.8438679,206.8049216,29.10738181,29.61287242,220.6048506,90.20471051,9.373240365,380.8165029,345.0675036,149.09881,244.4857715,158.2624385,0,12119.84493,3402.673367,0.25769378,78.54256203,34.42326186,145.004075,0,10477.15027,6509.3,0
9 Chemicals excluding pharmaceuticals,473.6458517,0,12.41182929,519.3524264,921.7091511,212.9810115,657.8836259,2192.76089,10813.02017,0,1597.120515,320.8951608,243.2693017,0,310.6059016,116.7878402,9.739567525,147.5996557,110.9662708,24.74727272,269.4683688,10.53083232,0,0,228.4634779,16.8089465,0,0,5.850052168,369.3556964,1887.125758,80.87676852,28.68224772,3.95868306,3.655513431,88.16271438,41.50477356,11.34924011,17.54762784,2.94981469,100.9709947,31.79583209,289.5542716,126.7471466,55.18200299,2577.937716,418.135491,0,25352.11041,3116.325344,12.04871416,1853.632687,172.580679,350.6376991,0,32939.87858,32352.1,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
