Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",16893.63171,8.618944441,11.13767708,95202.15427,2693.033232,2308.777141,3936.134665,4519.277774,972.6249167,54.2277666,357.5035333,123.8349597,46.61354489,7.546185162,29.60855402,2.420683084,0.072130326,1.137836679,1.6965746,0.312884545,28.21757122,0.278841186,0,0,194.2239535,3.351209246,0,0,0,42.73442725,17.16214516,1751.648638,3.432195857,0,0,0,1.70687585,3.382859967,0.290195299,0,0,0,2.880366343,305.442507,217.6043965,90.59745219,728.1763331,0,130561.495,37766.61828,0,0,11187.7534,-1102.798101,0,20659.1385,4595,0
2 Mining and quarrying (energy),9.729252607,2808.418864,11.45090276,36.6201012,0.690764714,0.10170084,0.802524288,71116.9987,80.01875042,0.197440882,0.405214836,9.514713147,3825.365814,0.082979283,0.403293152,0.608216462,0.060927114,0.223128979,0.222200019,0.046393291,0.342813707,0.08317684,0,0,0.175694027,4543.201124,0,0,0,0.254136405,10.68253213,11.21564504,1.124000593,0,0,0,5.373406621,1.810305531,0.968725029,0,0,0,1.540302806,9.897638121,4.16993884,9.015701077,0.689738367,0,82502.50676,1213.918375,0,0,8.172295446,2129.154591,0,9910.247977,24568,0
3 Mining and quarrying (non-energy),1041.022212,2.142840883,3284.091235,86.99232642,26.60559838,1.290332951,129.7487392,28.57233036,5039.331397,14.24123583,3.853685593,1679.419718,6682.650589,2738.67024,229.2650807,306.2512663,0.306965478,91.65398852,1.119929447,1.041714437,97.42248016,0.674728915,0,0,36.26702057,1.208423766,0,0,0,1467.716519,11.25949308,8.73066161,6.648755816,0,0,0,5.071055333,2.048345361,1.438464003,0,0,0,1.967027488,31.19809078,6.709797291,5.26679581,19.78959096,0,23091.68868,279.5115734,0,0,37.53591091,228.9909571,0,17055.27288,4979,0
"4 Food products, beverages and tobacco",14264.17568,15.31772451,31.73138168,44863.11278,2568.635902,24.37447593,235.0690693,1518.239974,2190.866163,327.2708599,34.06455069,15.97544808,14.25112474,9.902599835,12.64831716,12.80668316,1.331947326,10.8103646,22.69893025,5.394515543,33.34500438,2.42752518,0,0,84.86221817,300.1817552,0,0,0,75.96254174,816.5909096,20542.91606,206.9952665,0,0,0,22.85903714,54.97432724,46.88318422,0,0,0,17.99757948,2672.903205,950.7367431,818.9453318,2924.831158,0,95752.09034,130286.0652,0,0,159.241601,756.2966475,0,47010.30625,7148,0
"5 Textiles, textile products, leather and footwear",396.1194785,3.076015459,337.9239199,535.3345614,23759.99868,2.589956711,440.8613156,30.9637376,217.4953658,121.5140693,612.4762444,256.9802159,3.747509796,1.310921762,51.57041707,239.1574536,0.295280078,29.17213107,2.78708383,15.88344747,177.3501361,2.413771309,0,0,790.4282165,30.30059289,0,0,0,220.3421312,923.5474317,390.2548437,815.2053478,0,0,0,66.70882841,324.2325173,11.53630992,0,0,0,542.5514915,127.0075835,13.48924775,869.9323508,1970.413958,0,34334.97256,43512.0944,0,0,41.14232541,-154.5540596,0,11258.34477,3658,0
6 Wood and products of wood and cork,257.7525527,0.688369134,1.333986787,90.93805467,10.51284629,4476.429334,291.3757178,0.345547459,375.6639637,1.099993188,10.3364941,434.6647938,1.629011915,4.075596645,190.4569741,100.5211553,1.023403829,8.018790815,281.2254965,4.958171406,123.5887277,34.59268919,0,0,2887.462624,0.17046889,0,0,0,3367.713112,123.6273891,0.325705095,0.472344777,0,0,0,9.804706648,0.542754435,0.464225007,0,0,0,0.452284006,40.89728138,5.011829164,3.628511275,40.73127458,0,13182.53618,462.7413137,0,0,178.7871607,-618.0659909,0,6641.001336,227,0
"7 Pulp, paper, paper products, printing and publishing",27.23263417,18.23408071,406.3689603,2613.992733,625.8421522,249.1562875,12442.33482,54.58045282,1514.124658,651.7676486,966.5667603,511.8753286,76.1744708,111.6472298,412.8138755,544.3975817,16.96886435,187.4876867,328.8671094,149.4107147,373.6242822,95.36488191,0,0,931.399643,241.4632162,0,0,0,263.3091987,2222.55392,104.8189478,505.5916926,0,0,0,2404.422827,3938.665744,323.1548083,0,0,0,8453.158774,1474.794342,755.7073544,1299.895252,1861.854778,0,47159.62371,13939.22321,0,0,78.69299754,149.4628556,0,8170.997231,2635,0
"8 Coke, refined petroleum products and nuclear fuel",5830.322225,1253.040909,2002.343649,2633.262546,645.577108,487.3165617,678.8557608,18738.66545,15181.17611,425.2617348,1280.774675,1596.212567,1437.792119,689.634803,265.3149537,1070.417885,161.1895226,1230.608437,948.3163435,16.42822793,805.8363183,675.7673359,0,0,262.2158587,2825.714735,0,0,0,2456.663256,5873.539336,212.2679343,26757.98665,0,0,0,237.1221884,482.7532301,306.0117046,0,0,0,774.3187449,4325.144858,574.8045645,674.9108088,670.82229,0,104488.3914,26587.5969,0,0,29.23456739,1812.756864,0,13203.82027,11107,0
9 Chemicals excluding pharmaceuticals,23452.38456,1128.683438,664.1939866,3066.927597,5110.626967,604.5699363,5418.426347,1604.027622,41448.90773,2635.946185,17496.35063,1909.223419,3684.35041,1626.259944,3126.847098,2002.921157,15.45274978,2094.374001,484.3828485,638.8537246,1945.406248,269.3304097,0,0,2681.722737,1513.208254,0,0,0,4188.445748,112.3170052,445.1572558,164.3281372,0,0,0,282.8411825,146.7134469,47.62983546,0,0,0,667.606301,1031.25874,543.2606413,3240.765379,801.5315383,0,136295.2332,16957.37388,0,0,195.4647795,-999.2160754,0,14982.1442,31710,0
10 Pharmaceuticals,2698.750089,1.415403813,2.608962292,70.75928441,8.811718333,1.140531583,16.11791795,1.584550792,91.06768537,1596.676393,42.72845875,2.082208703,3.50193235,1.032935285,3.833328068,4.749514546,0.282615335,5.455319165,1.609270212,30.64211835,27.71068182,2.61528619,0,0,5.058640723,2.267441096,0,0,0,4.574244729,6.826837184,1.019933947,19.50173101,0,0,0,3.22550524,0.909651405,0.939729896,0,0,0,1.307591372,1580.038807,307.7443723,8187.90677,68.87950641,0,14805.37697,19102.88225,0,0,8.940823273,112.4808696,0,1386.319091,7980,0
