Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",11499.96,27.639,20.427,20317.237,106.359,9586.908,1499.29,8.844,115.503,73.668,370.316,11.363,20.336,0,11.768,28.903,1.058,4.479,8.535,0,56.427,0.619,3.311,2.827,19.356,25.196,0.805,0,0,1181.645,256.442,973.412,119.731,3.544,16.865,20.226,13.787,39.223,9.25,7.973,23.282,0,29.908,622.44,25.737,69.697,87.041,0,47321.337,7759.512,0,0,60.368,86.696,0,10604.783,8185.044,0
2 Mining and quarrying (energy),403.269,6412.948,659.981,678.298,56.957,267.274,751.202,43711.152,5312.27,33.47,129.524,392.522,1522.746,0,217.182,165.037,1.498,28.292,32.479,0,260.774,3.647,23.032,16.066,65.946,4056.656,509.273,0,0,246.416,1370.495,176.474,251.111,26.008,19.776,114.738,92.549,594.193,1330.736,32.965,106.547,0,139.838,561.849,649.571,304.92,416.583,0,72146.264,4883.274,0,0,1098.766,1763.958,0,69010.018,28868.864,0
3 Mining and quarrying (non-energy),85.495,4747.233,845.487,146.924,2.876,10.333,56.372,144.518,233.98,10.454,15.413,865.375,9360.059,0,9.8,19.647,1.066,6.164,17.937,0,48.216,0.389,5.418,4.492,526.874,146.697,1.381,0,0,9408.936,226.948,31.162,24.931,0.505,2.617,46.044,6.421,110.344,23.445,15.21,60.038,0,72.049,281.653,14.833,30.596,57.303,0,27725.635,134.438,0,0,180.354,795.348,0,11066.02,4106.226,0
"4 Food products, beverages and tobacco",4201.821,105.696,80.088,15760.409,49.15,44.995,193.615,47.227,385.28,55.582,59.864,29.318,65.035,0,39.811,66.662,2.21,22.277,48.294,0,207.851,2.062,16.379,17.974,43.878,40.92,4.26,0,0,230.338,1133.854,10542.459,55.957,30.062,20.175,57.816,12.975,300.917,71.285,50.332,171.978,0,187.5,674.36,179.923,549.143,649.925,0,36509.657,46635.127,0,0,295.978,122.292,0,19309.86,17935.285,0
"5 Textiles, textile products, leather and footwear",305.027,109.667,73.096,84.407,3322.404,35.26,188.784,13.806,130.678,5.256,287.91,14.432,35.259,0,20.258,20.848,0.775,7.508,8.388,0,271.144,10.36,3.63,3.869,744.137,5.076,6.186,0,0,1169.304,388.34,160.813,39.579,9.792,3.1,53.185,10.776,42.79,16.021,28.001,54.588,0,101.324,344.071,33.205,290.653,220.27,0,8673.977,15269.343,0,0,160.391,-26.659,0,6760.232,18346.613,0
6 Wood and products of wood and cork,78.044,33.789,19.305,77.656,11.365,4355.425,2172.209,68.233,41.128,7.865,148.051,57.159,44.585,0,119.444,47.092,4.005,22.528,22.445,0,150.263,2.229,5.22,8.303,1451.155,5.037,1.525,0,0,8343.658,286.581,21.897,26.318,0.991,5.593,10.165,7.754,65.317,14.61,15.065,42.238,0,54.873,74.888,10.535,18.595,46.58,0,17999.718,437.402,0,0,295.003,526.943,0,19151.045,2895.317,0
"7 Pulp, paper, paper products, printing and publishing",224.111,565.756,362.473,3064.451,182.742,249.885,11633.122,207.319,699.529,365.172,526.084,307.631,143.299,0,300.707,333.846,62.016,147.117,197.997,0,604.095,9.082,94.084,54.698,556.456,304.233,98.213,0,0,1076.581,4963.2,889.564,236.222,26.953,86.799,255.528,180.871,3641.546,350.783,299.451,1584.084,0,1859.654,2413.109,1983.515,1025.3,3590.642,0,45757.92,7280.605,0,0,3071.754,471.345,0,24392.179,13193.646,0
"8 Coke, refined petroleum products and nuclear fuel",2249.971,774.986,983.258,282.125,40.114,229.836,555.152,2732.834,2594.174,30.277,113.052,174.36,274.007,0,177.156,161.167,7.908,35.487,43.701,0,374.02,8.74,24.495,21.734,150.2,717.419,90.675,0,0,4675.362,3866.426,233.408,5493.605,500.539,3075.839,166.866,259.235,1038.241,142.964,361.007,201.552,0,682.38,1455.746,579.06,344.575,930.101,0,36853.754,15441.138,0,0,82.031,1700.615,0,13887.987,8737.578,0
9 Chemicals excluding pharmaceuticals,3061.056,609.43,536.092,682.311,1248.275,852.169,2394.187,2150.492,13127.324,443.04,7699.459,276.583,610.396,0,721.06,351.33,4.546,257.942,154,0,999.283,98.34,22.037,23.916,786.223,25.966,19.773,0,0,1988.579,721.692,127.653,183.623,11.431,16.518,159.692,26.737,254.75,86.645,93.016,366.03,0,739.623,676.578,197.142,750.188,1051.111,0,44606.238,5058.306,0,0,382.386,380.072,0,20058.171,26587.221,0
10 Pharmaceuticals,114.997,82.099,42.784,193.869,25.251,30.524,121.805,13.374,177.793,3150.982,43.216,23.88,31.133,0,24.021,50.141,3.181,14.869,32.431,0,214.774,1.154,6.964,5.777,43.976,10.554,3.263,0,0,132.601,186.222,80.071,16.98,1.662,3.949,18.339,6.47,103.746,19.528,18.508,444.591,0,100.086,5003.49,36.357,1529.174,166.306,0,12330.892,5223.808,0,0,213.092,610.846,0,4945.642,12562.878,0
