Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",617176.152,8610.046292,2749.765583,923607.4281,310125.9388,68353.62745,37468.97031,761.1552593,150866.7201,0,1332.8421,0,212.9073778,0,507.8508681,1423.667598,632.0633938,170.2092176,0,10.10268946,297.4983954,0,0,0,42801.80845,343.7163741,333.9327995,0,0.155609848,302997.1592,22555.11378,164996.0154,35106.5989,0,0,0,240.8156266,0,94.27489116,0,0,524.3744619,7854.621913,0,5854.770646,4279.880382,9672.787055,0,2721962.971,1042554.706,0,28202.51725,141194.3725,13521.81223,0,60017.33448,172246.659,100462.5703
2 Mining and quarrying (energy),15663.95749,36434.59832,5598.883218,10184.30422,13220.65107,5605.144349,8649.825205,823366.5548,135195.23,0,64025.58757,0,85211.17077,0,4836.628457,18186.11189,1826.009909,3239.659199,0,329.0964482,9341.937092,0,0,0,5364.970368,416199.1645,21795.66683,0,255.132045,4226.252303,2018.075119,7559.576751,18702.63649,0,0,0,2227.215797,556.6446342,2591.725642,0,0,880.6426507,5617.373298,5003.323578,14652.63063,6800.328279,13365.94213,0,1768732.651,21393.99042,0,0,0,-92784.83207,0,39664.52469,204207.5556,-171607.1794
3 Mining and quarrying (non-energy),1329.537865,744.0358339,45863.25587,2062.414742,0,0,44.45785791,0,96088.08615,0,96462.91504,0,383611.1479,0,25839.55064,15088.67759,2003.691953,12980.06608,0,644.5086106,4361.55065,0,0,0,963.9337444,1756.239061,0,0,34.31003196,81789.91665,0,0,622.7645549,0,0,0,0,0,162.7032575,0,0,966.7813738,890.5568041,162.7764446,436.6154407,222.4221781,979.8879736,0,776112.8043,2383.547206,0,0,0,53701.65906,0,39637.57904,423338.5889,137344.7381
"4 Food products, beverages and tobacco",273835.5836,378.9013434,150.4211172,406808.2979,46575.12955,17.71551481,185.7604012,0,46521.91581,0,29.44863884,0,0,0,0,0,0,0,0,7.093955166,0,0,0,0,1920.945653,0,0,0,0,3430.449353,16668.45576,268260.5939,6801.940339,0,0,0,403.4806076,148.9130459,7.26425685,0,0,376.9055484,4759.793629,0,9090.615502,3843.740104,33464.85344,0,1123688.219,1024975.547,0,0,0,279080.7924,0,156818.4079,96501.96412,99718.55649
"5 Textiles, textile products, leather and footwear",3367.615931,7107.795939,3716.482131,5151.597079,1029060.83,18458.02651,27989.65903,1324.751678,26237.94593,0,12264.34576,0,5450.27592,0,4565.977165,16802.38958,7574.915231,3508.102735,0,1659.706904,10399.92577,0,0,0,31683.60615,5015.002669,288.4555884,0,338.8643253,14570.72779,17077.15816,11759.46162,9123.525239,0,0,0,4593.115954,4021.832107,323.5488305,0,0,1065.149934,5996.022886,53813.09493,4239.241883,8922.550149,72253.76258,0,1429725.465,458636.6138,0,0,0,46143.41681,0,989593.6999,204874.9658,88976.77845
6 Wood and products of wood and cork,8604.870041,6838.001514,1329.62558,2390.022112,3247.357077,147867.1537,16775.66839,409.2808455,7894.277276,0,8695.070524,0,1710.549259,0,11951.57089,7422.516993,3903.679505,5213.981298,0,838.4438106,4109.090694,0,0,0,5429.570877,1493.826085,46.0473106,0,146.0358661,111415.0854,8745.04875,4046.138208,2860.228664,0,0,0,1098.8457,2239.302128,1564.738166,0,0,621.7276966,2968.24751,21672.26821,13674.33719,6258.27285,20522.38892,0,444003.269,41519.05982,0,0,26520.8513,-69826.92691,0,158795.2471,26173.89456,23592.65108
"7 Pulp, paper, paper products, printing and publishing",5449.369868,2560.287867,2488.429425,47801.30794,24984.01478,7776.450863,279169.1826,1066.860314,52043.11926,0,43341.79783,0,3567.814613,0,7108.303201,13880.57237,23895.08653,37003.29528,0,4191.940527,5176.589377,0,0,0,13874.02174,4015.260752,130.5975489,0,343.1559558,3517.176859,66922.84939,5687.75124,10537.53913,0,0,0,37677.43647,18266.59606,1282.498406,0,0,1540.958745,90991.11274,46863.21491,43047.91589,6812.419469,49659.24117,0,962674.1691,46019.14137,0,0,0,22523.65065,0,194756.2134,99769.73232,-37362.23297
"8 Coke, refined petroleum products and nuclear fuel",41888.09701,30568.67779,44281.6158,7797.652132,11304.41078,7508.683702,9295.597302,58345.30166,164766.8011,0,61517.45315,0,127610.4929,0,11927.708,26016.70899,11667.17938,13767.71129,0,1462.564003,11316.14093,0,0,0,6165.956505,106768.2178,5813.445453,0,231.665431,79081.13532,39302.38639,16217.54698,425916.0589,0,0,0,2446.512643,5322.338279,2714.057388,0,0,2235.560609,12182.84757,14974.08708,5167.52214,6049.956479,29584.69391,0,1401216.785,56992.39166,0,0,0,243.4785607,0,70499.28158,135982.3979,-56519.67101
9 Chemicals excluding pharmaceuticals,259821.5997,30935.29175,47401.71384,80000.08058,270834.0848,54753.80315,140922.8915,16848.30594,1548191.981,0,105825.1846,0,48977.55012,0,32869.87066,154367.8038,165785.6925,219265.7884,0,50823.39439,128710.8587,0,0,0,30627.51588,14768.15894,508.2736158,0,3980.119456,142287.6487,39952.52404,18192.3217,28254.54009,0,0,0,7951.249407,4957.307831,754.7158925,0,0,2053.027845,12702.23075,9338.765886,11207.3687,365524.6161,54759.05617,0,4104155.336,204951.4989,0,0,0,-94446.4901,0,513391.6155,754508.3352,29623.30122
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
