Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",24118.09566,273.8944321,169.027485,69158.62647,1404.558062,13734.10329,2617.586391,98.77158464,920.8428972,0,263.3928936,343.8977731,321.0731992,0,420.5469981,339.8141987,43.14242524,126.8616805,62.38507776,45.70140555,508.403699,50.72227175,0,0,465.6828152,353.931912,0,0,50.82406706,1110.106411,3000.003632,3011.570787,578.4192105,6.436284898,19.40197894,413.6514106,51.25453237,166.658371,619.354939,28.4490735,55.0962384,17.83644226,715.4053563,130.373468,105.3031958,560.187991,684.5903516,0,127165.9864,43248.40243,92.60024097,4609.886152,4683.880311,6973.018176,0.572895948,32935.65214,35080,0
2 Mining and quarrying (energy),232.6400332,2252.049459,66.59342477,256.6788412,103.5950681,80.8489009,284.5485146,65635.38765,2929.020559,0,381.8980741,794.4892475,7000.461863,0,192.4966266,205.1504773,25.53700256,142.2942529,35.67561382,16.82756094,430.2476397,44.52698693,0,0,53.51651796,70668.40534,0,0,143.9174641,355.4906844,727.4136535,108.4699272,341.9497698,5.092129854,21.72430506,341.292006,48.06811675,127.7078712,495.1446426,9.090385031,39.80469522,87.81117577,280.7402789,415.6294382,242.9776023,138.011897,243.7097751,0,156006.9355,5947.342801,1.994936038,269.8315546,284.0653414,-2731.168407,0,18151.9969,116803,0
3 Mining and quarrying (non-energy),152.382726,23.06711305,1135.095362,119.8955995,8.587856228,24.97774618,14.58435455,11.38042232,1203.785214,0,24.58852212,4745.416907,14625.36242,0,423.1938638,350.0290524,3.652954333,50.92106026,13.00923785,8.429086123,70.21606026,27.48792152,0,0,437.0200763,295.5070005,0,0,23.35110657,5941.115699,298.9926105,8.383855221,177.9975171,0.832510465,1.170576534,110.9288059,3.034984581,6.633046276,181.8087165,1.968109844,2.965804572,16.52418229,62.92475883,14.9140098,5.845825135,6.786325941,464.0599351,0,31098.82893,147.766987,0.092154832,15.377929,158.0119285,-2332.210268,0,2544.132087,16934,0
"4 Food products, beverages and tobacco",17074.91813,69.96334387,13.11500128,94478.69299,253.2524049,80.65423212,287.0335922,59.74386697,1767.330897,0,945.3417553,210.1689031,368.4422247,0,402.8205735,407.230497,237.6784165,242.3301509,233.2502762,117.0876469,954.4661852,44.80510355,0,0,219.0486231,187.1926596,0,0,66.41662099,664.4853654,3516.711684,15188.3503,1078.549493,2.790012835,29.57417701,343.7883229,124.4316587,282.6903543,442.8556977,20.44838542,100.5102769,26.48055015,3235.696342,891.0409882,1617.205806,2859.407672,987.8995854,0,150133.9008,186527.8117,384.9462432,902.0236722,1034.684819,-345.9822026,0.142878099,64655.47087,79354,0
"5 Textiles, textile products, leather and footwear",295.1156029,105.8430124,60.83951993,347.6790839,41136.69933,177.7514585,1266.088158,10.25045441,1422.404339,0,2544.73211,925.3018912,253.3835393,0,519.7838616,1351.796455,34.83029776,533.3287346,67.27256453,529.2448,8959.895407,220.0769861,0,0,16258.31871,126.6392724,0,0,53.62979193,572.3873203,3128.975111,331.5974564,2328.143271,0.168697102,6.441994088,219.8697303,149.2053937,33.58774739,630.9130896,84.10357687,22.36118138,36.86381554,671.2324439,674.0271999,149.6515315,650.8400756,1399.543695,0,88290.81871,24619.26675,373.6116475,305.5201598,228.6736364,-110.1980196,4.114969335,82375.19314,95655,0
6 Wood and products of wood and cork,366.6115233,173.1314515,68.58183977,2140.157901,153.952021,18264.02918,7959.87345,12.6871506,881.7874315,0,803.5695981,1419.190112,3043.514811,0,714.7883378,590.6155832,24.27137295,343.4873465,184.920775,118.2460161,1401.809377,104.7601183,0,0,6988.43806,52.78971439,0,0,11.46478399,7321.489232,2287.227662,449.4299713,967.8067186,0.640259445,12.24796745,189.1336941,164.0604202,837.5245223,5062.95626,124.3420676,112.5650388,4.189471648,2098.314483,19.6013438,168.6107151,406.8219157,767.9114742,0,66817.55118,1073.32001,0.395984641,33.9582164,143.7505934,1950.733879,2.284227876,25376.00591,12911,0
"7 Pulp, paper, paper products, printing and publishing",879.10762,69.25246568,46.5541821,4174.769785,490.5278595,1317.938175,48879.41768,19.65529098,1272.57946,0,1391.995148,1946.191254,8304.222837,0,516.503286,1026.85772,543.577474,438.5098456,346.7721011,134.2523986,1424.570459,53.11753617,0,0,958.056937,276.9973536,0,0,42.20166944,850.4358644,4835.281715,1054.731027,1508.600112,0.3458449,51.53731162,3376.094585,417.7975718,3733.936468,1553.308689,73.13683943,998.7108322,701.8318814,8000.484866,1330.139965,4317.197561,876.9916458,3266.923165,0,111501.1145,17909.19756,28.34325382,350.0482043,181.1368049,2163.280336,1.030629609,54691.85054,57017,0
"8 Coke, refined petroleum products and nuclear fuel",5634.307535,756.4368893,292.8036192,1265.026067,1776.068508,1062.081129,473.7901632,12919.43095,20025.42151,0,741.576778,2129.40201,10463.72714,0,1038.437419,1591.497488,65.15711468,741.1874475,43.03930829,129.2412753,1785.230385,347.9125589,0,0,397.239849,2209.478235,0,0,189.4776211,10118.86689,9209.446147,401.335114,14501.16696,81.51316597,3164.59548,1100.561996,869.3546373,710.8810434,1476.019871,253.7168924,273.4256847,80.94628384,1819.295276,1585.944439,238.8134976,1107.945311,1886.498059,0,114958.2978,27024.75284,0.020702283,622.6763351,2261.213184,281.6555558,0,17704.38372,54470,0
9 Chemicals excluding pharmaceuticals,9078.408842,400.21965,303.7642617,1546.384228,9735.729992,2128.668269,3667.932258,608.3367845,42593.53827,0,54822.0245,5812.866685,2503.456974,0,2217.867497,2025.636804,279.8766388,2519.798858,873.5973354,566.5076594,7747.38154,393.4752875,0,0,2011.315461,943.5023877,0,0,483.2527198,3656.516121,2675.466806,184.0642124,870.8106625,2.545890701,61.76664964,112.0106215,60.69747121,192.3510189,3421.228159,23.26538932,56.43612026,315.4461909,1912.73815,388.99591,340.6291208,13704.60994,1830.002715,0,183073.124,27251.49822,1.692059131,27600.83269,332.8607232,4538.661439,0.159560035,103380.1713,189617,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
