Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",2049.681117,23.88177336,14.29112966,28740.42624,185.5693187,1586.472483,450.350122,12.1398627,84.70171742,0,242.9567264,12.43767452,15.87515743,0,17.09009187,19.55636511,1.842249492,9.171390791,5.620328209,4.715420663,47.37498721,2.428529825,0,0,45.49256835,27.44414039,0,0,1.343865815,48.50856898,195.906825,663.5145393,39.05068476,33.57984122,9.701358256,65.61932326,9.410816972,19.68126035,443.1923575,47.16158172,9.129912548,2.96811351,27.00663923,750.5498312,54.95660564,567.2734681,106.7793353,0,36694.85432,16290.14509,0,0.764115602,3757.403287,-388.8267836,0,5946.659962,18841,0
2 Mining and quarrying (energy),82.16893332,371.1173236,54.94499531,551.0394765,91.81842666,52.9003454,524.9835319,35031.13624,2195.917132,0,188.7647729,617.3334682,1476.976841,0,294.5692218,193.9359034,7.066827749,92.67751859,17.74268136,38.52701254,305.5258881,36.46335415,0,0,37.45208445,7018.921681,0,0,47.24838314,51.55232658,545.6727979,99.07754303,29.325818,111.0478395,1.802152823,15.04108764,18.57897625,83.59435231,10.1178642,4.689916928,15.01496146,9.774439797,128.5895399,286.22697,128.0314486,217.6891206,99.15884238,0,51184.21804,5805.951877,0,72.04336944,149.3261254,1224.816706,0,1257.643885,52894,0
3 Mining and quarrying (non-energy),270.9437193,4.130613135,455.164598,244.1019023,3.931171869,5.138736393,55.15204538,6.966203137,590.055712,0,41.90456211,1997.203837,3639.297444,0,65.49445449,51.51861575,1.434160396,32.45886136,5.765314805,11.707441,35.33989123,4.587650475,0,0,46.14855106,9.387726956,0,0,0.596386929,1344.424253,66.90202178,17.57646329,13.96081729,0.220715064,0.136635181,3.674078013,7.903289413,21.19764663,9.09055894,0.941681693,2.3293695,1.477668063,40.81411075,224.0292142,3.496863966,17.07325313,64.7380314,0,9418.41627,323.4021372,0,3.029406274,27.96789982,-10.11171633,0,1232.296003,5525,0
"4 Food products, beverages and tobacco",3626.39112,8.729346552,4.039376296,23029.829,81.3197383,44.40628173,82.82102455,26.42133006,1529.987329,0,87.79871911,64.55809627,123.6747284,0,122.5231825,195.6861935,17.78164108,87.07962077,43.24749273,43.08353635,149.7449793,30.52498671,0,0,64.84997808,42.52552081,0,0,2.801894932,293.6115746,485.5608049,10222.52445,20.51632626,144.9369068,30.17248819,45.90371732,46.9782228,51.57608151,35.04416325,1.760338305,16.25384862,9.653507321,92.80442436,1011.24314,319.8259338,4668.972911,262.6341812,0,47269.79813,97004.16802,3.282405126,390.9405836,294.9012889,-80.59838365,0,31932.50795,35505,0
"5 Textiles, textile products, leather and footwear",112.059134,8.810761381,6.661997027,70.17998351,7096.246218,17.14311013,36.50566103,5.686639189,126.4631571,0,499.6353649,23.2820787,47.07627784,0,143.8567849,192.9531778,6.213988789,99.90033997,46.10643381,70.83082463,894.0451305,136.1725442,0,0,1021.181531,18.4189054,0,0,3.095770979,346.531486,278.7924463,142.8559363,12.14396795,6.312357593,3.045261651,14.60856882,42.08222537,27.89385539,6.876673974,8.444143629,12.6302305,7.966019447,30.51447509,153.8887315,13.55306276,404.0878977,171.2707566,0,12366.02391,31136.10197,0,38.22999747,318.2916838,-3036.400189,0,22351.75262,37674,0
6 Wood and products of wood and cork,93.82498443,28.78220495,14.8766364,236.8114135,39.71548564,5079.786734,260.7068329,4.347080628,273.4046228,0,101.6389768,93.59782173,101.3237095,0,384.657753,520.0488649,25.39037509,110.8329111,66.29350291,66.50170543,522.140245,411.1861697,0,0,2270.693576,48.87129827,0,0,3.586227598,4656.846646,220.7007055,64.89575042,11.94292443,0.693011881,0.872585689,26.72003072,30.16896411,21.69701742,303.0894261,2.130641276,8.490515763,7.116763118,69.26100036,205.3662226,156.8882202,75.89036985,669.3366891,0,17291.12662,972.3537067,0.96293114,12.21676951,2835.068794,47.88697569,0,5621.384206,4941,0
"7 Pulp, paper, paper products, printing and publishing",112.1265995,27.94887351,124.8531607,3082.717404,600.5149551,175.6670113,19431.66846,101.8624738,2322.914382,0,643.6321057,329.0154583,360.6851558,0,629.7430095,1183.913708,119.243452,664.0599011,414.7342294,529.2765418,1161.957452,117.1398265,0,0,668.1426857,205.9664376,0,0,36.05759196,621.3658705,6135.652149,367.8794781,273.5688724,13.28889795,21.88391345,388.3758465,1171.788058,1025.919346,374.6571986,49.37221554,196.2049436,268.6106603,5552.870653,1334.97666,916.2491376,883.9885255,884.5956995,0,53525.089,22311.22292,12.00817328,69.32070635,1528.945111,-4305.091327,0,30142.50542,21074,0
"8 Coke, refined petroleum products and nuclear fuel",811.2516819,29.06965883,77.05872949,744.5266317,126.1195196,173.8713675,279.2043487,9335.174883,5719.142572,0,1345.93442,369.7267628,2389.349179,0,345.4841961,427.3408869,42.34475469,238.8559504,74.93994863,106.3550573,531.7600841,72.57466441,0,0,284.434561,1327.145566,0,0,33.53381197,1378.407622,1624.746648,162.3274524,1656.141458,707.3581954,5755.057164,767.3677265,210.3612361,133.4360177,60.50275159,38.47303192,67.47748026,58.88689921,529.6136613,808.5225883,380.1198496,528.6805409,480.6375082,0,40233.31707,24636.32521,22.64859537,286.7353058,235.4254035,3006.118808,0,17530.42961,27191,0
9 Chemicals excluding pharmaceuticals,3070.472349,96.57745657,90.00241263,1717.60785,2723.784799,1942.533217,2382.319254,739.7281627,28942.25716,0,11430.82393,1166.851528,2451.169979,0,1641.614668,2041.464066,188.0444098,1152.922488,981.9378232,597.2134652,4091.040052,342.7543117,0,0,788.3767231,223.2979175,0,0,87.25594277,2848.446401,1025.023503,255.5871346,122.1649125,31.47740108,20.21817609,94.97467294,121.7498102,268.3944168,137.0338025,12.43459814,61.24602987,313.3831114,1158.190475,443.9388679,170.0272737,6160.963311,679.1922595,0,82814.49612,21326.50421,48.08723509,10984.17333,743.4520142,-2195.123517,0,95633.4106,75015,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
