Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",8175.421468,0.175999722,1.262098363,40874.44729,179.528627,548.0946952,2.805723416,6.427876203,106.4025466,0,3.554604849,18.16655821,0.069780596,0,13.61051801,4.935932679,0.098938027,2.519187724,1.921858516,2.43736537,0.607901577,0.86544153,0,0,159.2813361,697.1698571,0,0,0.304782869,1194.544864,30.05061568,1018.132068,4.547046373,0.979011435,0.355452246,2.4846953,2.888159618,7.022582595,4.372049087,5.015461079,6.195420519,17.58452209,18.07913024,598.0816033,277.2778657,666.9247207,161.3638144,0,54816.00947,7534.128199,0,1012.848,-120.4818956,1259.51618,0,13256.82622,14161.96626,0
2 Mining and quarrying (energy),64.38206353,745.872,1.072,42.453,0,0,0,20102.983,12.183,0,0,77.09116838,0,0,0,0,0,0,0,0,0,0,0,0,0,10805.595,0,0,0,196.634,0,0,0,0,0,0,0,0,0.005234785,0,0,0.223283718,0,3.136441627,1.057023915,1.839825625,1.75163963,0,32056.27868,30.55640657,0,0,586.852,-661.2280768,0,32377.98902,9559.380026,0
3 Mining and quarrying (non-energy),177.8093014,0.942170195,230.6650464,60.14220169,8.289863136,2.408663836,24.10233573,8.622361618,141.3049409,0,26.05179091,752.467657,21.54252204,0,37.26020739,9.868133474,0.004430533,1.782222663,0.078936374,0.140338062,0.030309457,0.083819478,0,0,8.338681498,0.167582616,0,0,0.015481106,822.1222361,2.076949218,51.72705677,0.177137594,0.02291021,0.007472426,1.045946949,0.11832473,0.585878242,0.12706723,0.302406107,0.568637335,1.115294228,1.001232926,55.05185496,12.995611,70.46139151,7.516818293,0,2539.143223,216.4553484,0,0,1.11,134.8606339,0,737.6950151,999.1073312,0
"4 Food products, beverages and tobacco",10929.8192,11.00364934,5.027828525,24216.30529,184.0094571,18.99976895,221.7962626,5.922935788,2670.24648,0,85.61685217,54.22569705,3.1361379,0,65.46182108,128.7902956,1.894568131,70.12341892,14.73817695,46.72716319,9.733109364,14.84990345,0,0,49.51756901,51.44917536,0,0,4.734822531,45.28226761,745.1875137,9996.642959,70.96148584,13.57270482,4.412505308,58.03515558,42.00503425,193.4406125,51.53888159,88.35502255,183.237637,77.65631645,369.4812303,319.8486593,320.1718984,1732.819324,492.7871701,0,53669.56596,43459.87008,0,33.46718428,172.1040727,1653.251454,0,84037.92239,48736.37997,0
"5 Textiles, textile products, leather and footwear",44.69110952,3.928200386,1.113409514,61.63583568,3098.93253,23.17246669,57.96354478,2.97089716,46.59728547,0,118.7643281,136.6519824,9.6815453,0,134.4059499,70.75168447,0.737349071,444.9042822,11.87815148,29.63905701,25.63932273,177.6578468,0,0,589.0639755,11.62236124,0,0,0.806569142,299.5845951,194.306091,34.19699998,36.85321048,12.71965622,12.28517684,44.09876064,81.48456353,24.50627753,4.602948335,12.77949956,26.07220752,14.91195043,387.9943302,254.7142881,68.74146583,437.5629165,246.9034132,0,7297.528036,11932.82294,0,45.58439585,879.2381227,1134.263377,3.349821229,22648.3023,32689.84224,0
6 Wood and products of wood and cork,32.52702335,0.7975276,35.04258325,110.0455061,13.70300362,2740.54634,36.26674313,0.620984849,54.63934553,0,109.5900335,148.90748,42.21392465,0,217.5214216,154.1990071,1.318227092,116.760798,31.35471576,67.49977208,74.41158395,140.2457765,0,0,2735.704787,39.21204512,0,0,0.204934629,10009.76509,317.75326,8.185073308,40.9102963,0.607829049,2.548164005,49.37208755,13.14696232,6.839885857,16.87030379,5.916228321,6.972109476,3.09703783,163.6002362,8.618441971,8.157859713,7.925865789,162.5974794,0,17736.21778,844.8925088,0,0.024079085,1174.571446,114.9840697,0,4650.577853,9613.913923,0
"7 Pulp, paper, paper products, printing and publishing",46.66615329,10.57307213,27.7134349,2141.471326,106.6370278,143.3773415,12877.66333,4.769387945,839.3366932,0,482.7438489,325.3632582,50.76135842,0,268.457555,244.7955262,35.68684498,269.0435578,62.84739462,186.281985,31.63990512,23.46129724,0,0,427.1661742,51.59283078,0,0,7.224433319,86.16706542,5495.236662,127.5535341,193.3946527,6.765332703,23.06240845,71.29107103,715.5463635,886.6981417,689.0049136,158.7700839,943.2344681,189.7666809,8883.953642,771.419549,611.5355275,695.9337166,722.6537465,0,39937.2613,9019.565694,0,384.3835183,829.1072206,449.7082084,0,8190.847923,14979.95568,0
"8 Coke, refined petroleum products and nuclear fuel",2380.758533,0.636261174,82.04763386,405.9629188,22.17470119,38.21895047,43.68694458,1170.679527,176.9783769,0,82.47441933,405.1655794,10.47208914,0,116.2359644,117.0364959,1.302050664,32.09161381,6.037091632,18.52791608,11.13328628,12.18242106,0,0,84.48319882,690.5308608,0,0,1.481062941,1519.024968,1051.022696,52.09912656,2511.146383,15053.96115,3022.52209,173.5114167,61.93945344,24.95445968,62.1320627,16.21669751,28.15916801,13.14730736,234.9634222,468.097565,129.8424027,173.5685998,221.2343693,0,30727.84124,6604.310166,0,0,18.445,5788.702952,0,17670.86693,36972.74384,-3.27418E-11
9 Chemicals excluding pharmaceuticals,2464.535674,17.69686939,193.2670056,2165.490922,1218.438895,287.7182451,1247.288273,679.7984773,14244.48318,0,4591.156458,790.3076019,318.5611384,0,838.5925926,657.0702912,12.19427673,1038.146973,99.50658826,306.0339104,179.1387642,124.7349403,0,0,987.4465605,24.30830322,0,0,1.58923631,1283.401236,556.9636688,60.84601158,129.8532557,7.749524044,9.720638573,24.02273666,15.19802335,69.51715352,9.006638818,27.22826377,71.33359167,377.4112636,913.8639847,501.1440348,250.4048985,3525.067234,715.3032658,0,41035.5406,5203.574495,0,3477.220225,468.6841542,1624.011338,0,59899.6355,45977.5762,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
