Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",2538.472598,0.063465253,0.715248228,23135.7521,522.5109702,641.6033053,466.8190326,1.07645696,95.85099261,0,232.5682178,6.56668395,5.163282188,0,6.847884366,4.352113244,0.829643095,1.670083244,0.791891299,1.073128635,6.049081813,1.870281895,0,0,14.40631235,4.033288036,0,0,0.336789972,182.8685851,743.4153428,1739.143595,5.309327621,9.764672811,0.677835269,5.957609372,17.97862769,4.444200691,20.6466779,7.148303504,1.244834229,1.615169801,264.7928704,142.6012374,52.81167883,114.4865995,545.8783866,0,31550.20841,10373.42155,35.86212135,146.4457383,687.184705,331.4884781,0,8215.889001,7976.5,0
2 Mining and quarrying (energy),1.913137762,46.61991463,14.80504919,14.16579916,1.723130409,3.015780696,11.43079063,17614.92777,100.2844566,0,1.175109815,16.04302832,395.7401091,0,2.186299135,1.983762596,0.375773093,1.433437028,0.508190567,0.320430939,2.210632896,1.38273455,0,0,0.623007842,6769.688178,0,0,3.688204229,13.54639696,17.25715126,3.697392429,247.3720376,0.978672112,3.157301176,19.94106756,3.037921959,5.235819274,5.730494706,1.452672651,3.934409598,2.001405464,108.9076981,39.61055289,2.029969433,2.271832568,12.89006158,0,25499.29758,64.47374607,0.034344341,2.052069202,15.4569883,47.24491459,0,41.24035594,24407.8,0
3 Mining and quarrying (non-energy),12.10454047,1.13907692,51.97091995,31.90726516,3.478763067,1.108100699,19.55597819,0.339037542,517.2579473,0,3.208081138,1721.605196,2151.526918,0,54.651073,3.27688788,0.26761092,15.83069508,0.396826749,0.588724456,4.212131299,1.550491002,0,0,10.92756103,3.457581139,0,0,0.276250933,1418.20332,29.87454751,8.41443613,3.614899037,0.121281734,0.082510531,11.00976308,18.59311274,1.695649614,2.722584026,0.82228186,5.646163143,0.500844314,26.18534976,4.86652726,0.98583892,3.40267328,37.26938406,0,6184.648824,92.15842617,0.040931325,2.818013538,19.88593282,24.52447833,0,716.6233935,2519.7,0
"4 Food products, beverages and tobacco",5967.197406,1.117617814,7.328602685,19078.67718,439.4411149,25.62680851,84.69804453,6.665358481,230.1633343,0,29.52349691,52.74603354,43.04930355,0,57.65559927,39.38665946,6.061862019,16.07736084,6.884118557,8.820689701,28.40110527,14.52290303,0,0,38.67981494,46.41874662,0,0,6.726473481,226.6985838,409.4811655,16224.69389,35.98594927,68.26987669,9.279583718,18.98127586,50.52389587,30.2198079,26.83144161,7.24838456,10.33529698,1.705255585,68.80954248,387.3343294,206.961959,784.4043487,367.9759074,0,45171.61013,44859.58945,0.685773605,62.40226722,234.6791694,383.3286847,0,12140.10453,15208.4,0
"5 Textiles, textile products, leather and footwear",121.6107544,6.670960659,1.820246617,191.5237325,7674.676466,29.81684426,154.268114,1.667645323,172.4995203,0,304.7711468,67.07309968,83.92680663,0,25.12812064,73.6071917,15.85896787,38.02664019,3.78585541,15.51056518,649.3566229,42.64144281,0,0,455.0612312,7.427684247,0,0,14.40319921,542.2007397,420.8641797,929.9617575,19.96488011,12.44029236,82.48482432,39.22800394,282.1981938,8.218425913,5.255803449,8.341801742,12.7819273,2.195239808,450.8774632,190.0292694,43.66601509,366.439204,617.771164,0,14186.05204,14668.46718,0.281234854,16.29737842,122.7094193,-39.6354208,0,8047.62817,14178.8,0
6 Wood and products of wood and cork,89.61657734,59.97689507,18.75659813,452.7444919,59.60299382,3269.807859,369.8896314,0.593739673,49.68057472,0,49.59220239,177.1194218,64.12165122,0,198.4939319,36.04539739,1.839930536,93.77907778,17.38705155,6.701890959,62.55520644,43.19995334,0,0,1990.757176,6.518713222,0,0,0.64887212,2866.534345,160.7332907,355.820738,11.07876672,1.00171082,0.601433859,201.1619298,18.7350544,4.10842342,2.505509842,15.99017343,2.041873842,0.738683951,95.21401058,12.12245206,3.768231792,8.410262611,220.1007108,0,11100.09744,350.7612015,0.013916975,2.863242254,86.03599035,48.87910543,0,1101.949103,2391.6,0
"7 Pulp, paper, paper products, printing and publishing",67.41947949,3.445956422,19.0600679,1654.741452,185.4249189,166.5788337,6815.562478,36.0519299,621.3781146,0,217.3176128,289.026107,74.95181138,0,148.2339694,106.9004835,29.88321453,127.6326036,36.299136,33.6520938,179.5935177,49.9563064,0,0,1135.444961,212.7179927,0,0,161.567445,458.6752648,946.8195138,422.1780866,92.87753195,11.67791015,10.83437308,268.8238821,318.3855117,733.7881572,468.4012145,53.55384875,274.569256,10.09861909,7283.45843,1278.328591,443.00291,464.8425094,1779.751826,0,27692.90792,3992.179817,0.223473951,32.38683328,338.8518491,38.40690524,0,4168.443198,4792.4,0
"8 Coke, refined petroleum products and nuclear fuel",703.2052175,41.79654464,235.7796171,197.8019361,36.97762599,102.0089028,72.32145144,5668.613635,3191.592372,0,138.4577323,442.8950818,326.7954753,0,102.1809205,76.63794855,1.751934564,34.3787811,5.45556854,3.286145431,49.05774132,40.90718479,0,0,31.85915794,3100.700553,0,0,94.77540393,503.9052574,667.2038602,560.4214173,3613.521065,438.6406646,1676.934585,549.3816843,140.6256186,78.8589979,50.46589557,79.0170166,12.40289742,4.571362724,201.6765459,283.9662767,227.3466931,399.8963309,219.4994704,0,24407.57257,7739.057092,0.24463352,16.98252376,12.77081234,216.9849239,0,7464.387444,9369,0
9 Chemicals excluding pharmaceuticals,1428.382833,67.18523318,262.9418436,1075.979893,1168.159662,331.9913059,1158.421571,63.83124033,10944.06988,0,2960.326287,1115.171418,1469.661118,0,880.8932943,304.1764474,30.45656811,578.2011303,93.88994086,46.67110359,621.059848,230.667247,0,0,407.3448892,58.18636796,0,0,403.4081763,1459.022711,706.7789883,1243.393162,48.97457636,11.93598411,7.668848197,319.8836139,94.95230164,45.2177944,65.87828751,12.01909708,119.0956004,11.94554296,671.7313495,285.4530546,47.26975682,4163.176833,671.8481949,0,35687.323,6933.614284,3.593662005,6989.579996,159.5501071,24.52194828,0,18738.917,27299.1,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
