Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",2409.560747,2.592617405,0.291367698,4893.225239,484.0177346,3616.456232,119.9365696,0.43006572,3.773283388,0,3.955726881,7.247501788,0.347112199,0,8.907635166,2.81788539,0.194604627,0.73124091,0.832987394,0.722663248,0.724668982,2.350392746,0,0,189.2936496,7.126239634,0,0,0.272272009,36.5687725,106.8504242,265.4395126,16.76899032,1.926648607,1.265405599,30.33493307,2.817829027,3.631610058,63.58994951,1.04889752,0.837374399,3.789965682,24.03728702,22.77975877,18.4013919,22.62537552,36.89095456,0,12415.41352,2706.899303,0.201463567,68.71168819,259.8147638,-227.6343631,0,2636.912628,3865.959,0
2 Mining and quarrying (energy),16.27567228,4.787970676,0.42104486,5.156810656,1.422581731,7.413017383,1.291195828,211.6084061,242.9788835,0,0.866146642,58.18501115,1.532083912,0,5.778880375,1.576020063,0.071219009,0.546525341,0.260621757,0.549386954,0.350979677,1.086184584,0,0,5.037221999,2405.767459,0,0,1.102005452,14.40995687,10.81402615,1.298652472,3.57417934,0.224205932,0.184176791,9.858925744,0.324781749,0.226471396,10.79147832,0.293880477,0.169248329,0.181463904,3.279248751,5.588016139,3.828092971,2.273362699,1.696370068,0,3043.081867,45.04776367,0.008124267,0.211441553,24.31522882,5.024338468,0,422.2612363,1303.768,0
3 Mining and quarrying (non-energy),6.580378541,5.044587155,7.910666109,10.37687322,0.564183185,2.562374771,2.222623822,0.370197349,50.74423167,0,0.352106378,374.9370749,0.337780417,0,5.198807792,1.454606595,0.049328663,0.403333911,0.403657512,0.124741684,0.183374968,0.476173497,0,0,2.224604614,21.66255959,0,0,0.18796562,212.809335,5.963612889,3.738281463,2.993122547,0.197126424,0.044266564,10.14327027,0.253422747,0.295474642,12.42089701,0.167501757,0.115698148,0.410028153,1.256810376,13.47502924,0.753922496,1.403655595,13.02506793,0,773.8387552,13.45691157,0.039921492,0.17853084,31.28044762,36.87820413,0,121.0482291,279.207,0
"4 Food products, beverages and tobacco",1023.025617,2.637557003,0.630218052,2564.234319,12.44314714,25.57841876,11.5209963,0.963183364,20.24177547,0,8.037288166,5.78517968,0.616044008,0,15.40816277,7.089552808,0.496265011,1.440618977,1.683885192,1.839187047,1.121554815,2.374956567,0,0,18.65306625,7.074648104,0,0,0.468525179,60.16044872,211.180568,1311.093588,25.91156843,5.476737951,5.262512481,42.84535242,3.024747047,5.513663852,26.85442153,7.635193124,2.390493418,2.723956167,53.11203771,54.85491111,127.9650398,88.41394513,69.92467628,0,5837.708028,13462.58625,0.546744918,9.068662622,74.92753918,8.587829482,0,5866.066948,9103.954,0
"5 Textiles, textile products, leather and footwear",39.535473,7.325684824,1.430960583,29.15283856,3442.124508,53.89581493,38.14497189,1.849104203,14.62955886,0,41.02065929,9.627270406,0.692312352,0,35.34135391,13.3271736,0.366889863,13.87915854,6.443139394,46.4027903,74.92299861,9.392916124,0,0,376.9132609,6.979892966,0,0,0.638764755,73.47170866,80.58678926,31.58176455,20.51072959,5.817625906,3.796041426,19.58666497,8.063650545,4.92595378,25.7101545,13.87023999,1.5052194,4.870300797,65.8438157,54.45244701,23.43999716,47.61550731,86.6881298,0,4836.374236,3759.8811,0.526399687,1.094785073,20.77211586,-201.4965365,0,9010.739899,8352.502,0
6 Wood and products of wood and cork,36.52576039,10.62888843,1.18977772,43.73315282,32.37585541,3597.167983,26.98688615,3.550660337,15.43157497,0,15.11891431,39.02100289,1.404863371,0,51.30559825,8.285421453,0.340909695,3.625325357,3.348830497,2.029193489,8.402723427,6.681911301,0,0,1483.219566,93.6437913,0,0,0.98671203,2121.797988,95.38886505,18.30496307,29.58899381,1.860054636,1.376213116,51.57839828,2.384446085,2.833583862,202.5572375,13.27836778,3.164992495,7.620302496,16.30128993,8.438078054,6.871845356,4.806315582,22.28531348,0,8095.442552,221.4475406,0.228377103,1.970055839,184.4707995,-89.61506587,0,10358.20474,2884.593,0
"7 Pulp, paper, paper products, printing and publishing",61.01463076,7.196707456,1.833430444,375.6924061,76.18362586,213.7022563,1467.012824,2.936657217,33.78267855,0,54.3240279,43.10923965,1.715756648,0,66.01414721,15.93000701,4.447848006,15.54142968,25.87481873,9.941164851,4.661714554,2.356625849,0,0,161.1257409,9.986444559,0,0,4.051577122,226.301769,706.3877583,37.01687154,84.32070261,5.537758619,9.18722395,78.74595995,93.56728924,47.89961704,69.27233932,5.04141653,43.382566,7.373426412,503.0554628,130.16667,238.4624151,50.4332457,210.9789667,0,5205.567218,1417.530412,0.967834576,2.874653865,11.12181626,-60.03109573,0,2021.82716,2696.054,0
"8 Coke, refined petroleum products and nuclear fuel",622.915972,88.1043131,27.01794287,123.4160973,30.52056233,122.0229528,18.77529378,24.05588311,52.3423497,0,15.61229421,81.34496481,1.435611539,0,40.59409525,17.20121848,1.441852866,11.18760863,3.9796316,2.100378039,3.771766461,8.336257292,0,0,96.70468292,226.4451705,0,0,7.929124496,448.5176069,393.118489,16.5178101,1629.694474,467.2280625,259.6845344,136.2682706,17.65098804,10.0133776,39.381749,63.33925649,9.459610615,3.3337606,69.81877747,80.18132239,45.55237914,26.74293893,89.29946189,0,5433.058894,1302.21698,0.004275129,0.384239368,7.575293515,847.0461474,0,990.6981708,7576.392,0
9 Chemicals excluding pharmaceuticals,495.8298583,133.5120243,23.80029698,303.3710129,594.8284204,260.6905432,168.8837006,6.095749727,1968.772288,0,721.5527083,201.1239835,14.58104027,0,278.8439557,70.20158479,5.588857327,62.96838111,29.96044569,13.7452153,56.64997402,35.43250267,0,0,268.1408693,27.22333606,0,0,23.46270599,323.2351037,191.6660585,25.70572563,21.39023108,11.40268392,6.186451541,31.68325134,8.569038015,9.531968616,220.181546,3.066917925,18.55006772,25.40368243,214.6378866,60.93461374,37.00423297,661.1434613,97.91677151,0,7733.469147,2197.99105,0.075978633,655.2979954,21.17579162,-56.36655512,0,5196.016593,10388.838,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
