Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",49638.56749,54.03174435,42.09495666,169201.1066,2568.776558,9856.977433,3947.216716,63.62681633,1631.942878,0,1424.685689,93.93029861,75.84551412,0,286.6551852,223.4029737,20.51759534,102.795447,0,0,58.55418397,39.81314103,0,0,602.6604281,673.6374554,0,0,0,2910.729119,12636.63577,11179.51274,387.7505966,288.4154171,8.512486031,380.4766424,53.17097725,52.93380559,1868.905929,261.6416405,137.4322708,223.7813568,1092.106604,1875.585941,729.6513088,1786.536707,1856.751189,0.02469503,278337.3943,110080.2704,30.03093399,1442.185088,8089.642852,3436.207289,23.90336456,0,0,0
2 Mining and quarrying (energy),216.0584982,4997.649488,182.5265265,739.6758059,133.8687464,59.81495565,680.5858561,138939.5336,12050.32376,0,280.8043964,904.5014436,4414.045716,0,393.8079517,338.5869538,6.251100908,325.9355267,0,0,241.8986264,145.8495196,0,0,117.2393342,64318.11894,0,0,0,1368.570663,5003.850005,254.9300328,963.1637469,74.024359,0.8327611,150.7216537,28.87159921,57.26923975,705.9315596,277.969845,419.5962115,470.2546542,2368.771737,327.4272038,109.5205231,162.5884556,779.0271206,0.252513849,243010.6506,6330.470078,3.135114937,59.69581051,877.2784904,3291.022924,0,0,0,0
3 Mining and quarrying (non-energy),554.3429022,91.6588552,3266.039184,633.9413825,50.98080082,30.74696995,709.5753517,4943.985883,3726.04756,0,234.5210938,12339.68913,12610.68295,0,882.7514484,400.3418535,5.031621733,271.1781185,0,0,114.0450807,37.78461565,0,0,701.8579499,1907.083693,0,0,0,13449.62093,1639.811441,159.806744,180.6514468,1.906227503,1.087003429,243.2655471,54.50661657,15.94889111,374.6453107,70.28202027,57.85623792,110.1547827,532.2496094,453.6674363,17.06983128,21.98645949,349.3502941,0.107176065,61246.26045,598.2480364,1.63790582,0,189.7527087,-33.65345158,2.227271917,0,0,0
"4 Food products, beverages and tobacco",32093.22013,40.81823723,50.17380074,138478.3378,3582.764806,60.78828208,830.8619658,390.6764687,6799.641119,0,244.0356601,162.4492604,189.7439107,0,206.480131,324.5251372,50.54455365,313.9947796,0,0,170.1129607,102.9944987,0,0,392.104227,285.540654,0,0,0,831.2405204,22119.62556,97379.39332,545.8482333,1107.9251,336.4792472,693.1249404,533.7259151,761.5400738,1527.677947,437.7053383,497.5158482,571.6775205,3513.748096,2611.97523,4002.950674,14014.75351,5057.563156,0.193736076,341314.4724,461236.3687,75.11567587,276.2145509,0,3887.309105,0,0,0,0
"5 Textiles, textile products, leather and footwear",891.1752652,52.98384098,32.47850128,818.963473,70217.91774,261.4614789,1227.733676,229.9027548,1664.098379,0,2468.25363,456.5564461,456.8874336,0,866.5020938,871.2514747,48.57133322,1007.485274,0,0,4400.490586,676.2949406,0,0,5717.606866,220.5211805,0,0,0,2652.921866,10520.99416,2309.891664,462.4822104,84.35065123,144.9472395,325.0819434,525.5345019,228.6282453,627.6418588,231.9102161,191.304021,228.330554,1850.652263,1661.819945,506.5238109,3302.376884,2647.023807,74.51831598,121164.0705,173592.2098,22.36275648,43.1262202,1386.900117,-3487.954873,0.458055404,0,0,0
6 Wood and products of wood and cork,1148.067549,157.4803977,163.981937,1962.056933,345.2153522,27248.23746,2688.627022,129.603647,906.0491208,0,1020.725347,1263.056208,623.6390101,0,2206.171224,1355.794278,46.72758392,919.1118669,0,0,1356.873164,957.0253136,0,0,17649.11211,663.9138019,0,0,0,30008.30341,3198.747374,1071.828701,309.8328592,20.96771165,12.59979128,536.3576252,194.130826,121.4161087,2177.747475,195.9608132,134.8936671,192.2506306,1356.690956,685.7372744,469.6825165,198.9042517,2021.189577,0.024948718,105718.7358,6881.496395,0,0,5167.765771,817.9509954,0,0,0,0
"7 Pulp, paper, paper products, printing and publishing",1134.804492,70.28545937,240.4183151,15802.70731,2584.972944,1300.62459,80911.28928,828.9028254,8254.300437,0,3226.339582,2339.324198,1728.861977,0,2170.317238,3565.529718,510.4151584,4187.916671,0,0,2388.155269,683.1561261,0,0,3446.843424,1728.682453,0,0,0,3759.160643,29025.08069,3659.529707,2084.831329,174.6671279,252.8433292,3495.236172,4937.833203,10509.96962,3785.301434,1367.962515,3671.48555,3394.59806,38285.30412,9598.179833,6768.784313,6132.566363,9936.507277,9.373320557,277953.0621,87000.69966,12.1860414,238.9815821,2444.426965,-3886.818636,0,0,0,0
"8 Coke, refined petroleum products and nuclear fuel",8955.526761,416.3080604,1179.253146,4117.917032,818.8631029,766.4760199,1377.057006,38942.62773,20807.0293,0,1858.426199,2965.850571,6449.508141,0,1610.292933,1517.578421,117.9784171,1182.908851,0,0,1158.987148,524.9173323,0,0,1073.115531,13931.91409,0,0,0,11264.21091,22450.50594,3434.20749,24833.35555,5451.69131,11272.74473,4769.020094,1911.025836,1225.003626,1702.981413,2223.24108,1379.030235,979.7757307,6372.247256,3949.812328,1497.497858,2657.397068,3835.074854,0.61285662,220981.972,87542.69891,5.916231337,96.90234273,88.64543426,-527.0653138,0,0,0,0
9 Chemicals excluding pharmaceuticals,15561.08635,385.8599422,993.1309366,9276.370084,10927.704,3996.700351,12165.53118,15539.47276,131927.7437,0,42267.39297,5928.169895,8890.186636,0,6529.05488,5821.663971,713.8201861,8224.117946,0,0,8042.767136,1627.273285,0,0,5018.244246,2539.181135,0,0,0,10264.88485,15948.54776,2949.615091,864.4686548,107.1169199,100.0350901,677.9127031,328.4966239,308.2235712,2315.408316,503.7158998,873.6489985,3514.517225,7331.530733,2389.885549,1382.173261,40935.01491,6266.338459,51.64991804,393488.6561,90067.1209,46.43470752,49328.60353,10.58497281,-2017.34072,0,0,0,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
