Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",1814.442671,0,0,2411.986046,0.999371126,1470.781284,951.8808237,0,3.004268945,0,38.16699176,2.001443287,0,0,0,2.184158243,0,0,2.18350495,0,0,2.003435236,0,0,2.003254288,40.89735185,0,0,0,7.998659012,7.186268757,174.1270245,0.997646914,0,2.172463266,2.182413984,0,0,10.00587446,0,0,0,4.186023196,41.22774813,21.07474999,34.20362846,7.007884424,0,7054.904989,1283,0,0,274,270,0,470,1539.904989,0
2 Mining and quarrying (energy),2.054541112,64.65280707,0,6.004414225,0.9986347,2.036229331,109.8503808,3359.700229,47.26392515,0,1.000897423,20.02777782,155.3274324,0,1.005308768,2.005358065,0,0,0,0,0,0,0,0,0,660.6038016,0,0,0,1.026150447,1.025271422,0,0,0,0,0,0,0,1.025658365,0,0,0,0,0,0,0,0,0,4435.608818,2,0,0,1,-42,0,15,4127.608818,0
3 Mining and quarrying (non-energy),17.09302998,0.989118161,182.1445147,5.997555537,0,0,163.7574069,0,128.4971392,0,2.009909747,121.4748711,1248.836552,0,1.004686736,1.005068055,0,0,2.008967161,0,0,0,0,0,1.008268679,4.003228918,0,0,1.019224096,213.9997597,1.003874949,0,0,0,0,0,1.004745216,0,1.004253816,0,0,0,1.005166072,1.004979369,0,0,0,0,2099.87232,1,0,0,1,-19,0,120,1354.87232,0
"4 Food products, beverages and tobacco",504.1326949,0,2.012176911,1932.326187,4.063853168,11.98505654,89.21714411,18.01208664,43.01035885,0,3.00622163,2.995615092,4.98592209,0,7.991637634,21.98534464,0,4.006614819,14.98129062,4.009635172,1.992621837,2.989269159,0,0,2.005032421,29.90765543,0,0,1.013409125,55.00943614,113.9683117,1071.839989,18.96358566,104.3560643,28.87320696,43.97681634,67.97986784,43.94894127,35.96146143,16.07275481,47.01706711,4.988356025,122.0888389,220.190412,102.8989109,179.0421166,85.09836846,0,5068.904334,4413,0,2,38,79,0,1097,2077.904334,0
"5 Textiles, textile products, leather and footwear",3.041972022,0,0,3.999105054,285.3424096,2.034006066,24.04026533,0,7.988301491,0,21.01921031,17.95418469,0,0,5.995988311,13.04139125,0,0,3.044258723,2.00007625,0.996377949,3.005683635,0,0,25.03408851,4.00950414,0,0,0,45.1928081,151.9410152,12.04359307,2.026044288,29.89654161,3.011740343,8.178213865,7.050309157,11.17190233,10.18715428,3.097971243,12.20023952,2.025113152,64.22347772,38.27629132,1.031886722,40.38905468,23.45637073,0,887.9465507,1663,0,2,49,20,0,706,2049.946551,0
6 Wood and products of wood and cork,2.999725164,4.918137513,0.999810999,14.98952215,0.998543441,860.0616211,251.816402,1.995635967,13.9724621,0,12.01809086,17.97638158,16.95954662,0,15.99212918,15.99200801,0,11.01703344,13.98544988,2.00512856,2.992954764,5.989282554,0,0,150.4254342,74.67251002,0,0,0,2154.320548,23.97056949,2.996420648,1.993641313,0,2.982844473,3.992014959,10.99084592,3.992870938,10.98547052,0.998640761,4.99917037,0.995802379,13.99420862,5.996403985,6.978655668,3.996240749,6.995905406,0,3753.958064,36,0,1,14,-25,0,2517,460.9580642,0
"7 Pulp, paper, paper products, printing and publishing",19.03053421,1.968573361,5.014455226,261.0128671,19.29757074,51.00871923,3548.019942,12.97463276,128.8243274,0,42.13986376,37.99477044,24.95529367,0,31.00905239,82.08399087,0,22.05750735,295.0982838,15.05104582,3.988532963,8.976021624,0,0,24.09259872,54.79985439,0,0,3.040257894,82.03388358,739.4404771,60.99460091,23.98699442,7.038906377,28.90311431,115.2043899,255.3636662,46.09998473,122.9748804,14.04715692,77.18026696,18.97979099,337.0564167,194.4462425,163.2805199,156.3252303,208.1294287,0,7343.924647,1294,0,2,66,228,0,8990,942.9246467,0
"8 Coke, refined petroleum products and nuclear fuel",223.1783402,2.322731311,20.05080395,21.96601355,4.022758202,18.09854796,95.23127485,716.4091022,308.5768653,0,9.028234882,41.05168055,190.2545401,0,14.04671206,17.04179849,0,5.01305568,9.022308731,1.00628692,2.001914427,4.016817273,0,0,6.069681442,235.4455183,0,0,4.785614669,329.7254418,128.3417529,2.005031143,557.2680084,147.9292737,320.9861486,341.5428698,66.13056041,18.16497595,274.4807815,8.0644306,3.01063973,2.999257255,24.0749219,66.1819991,21.9737554,31.06551276,65.23534307,0,4357.821305,1091,0,0,8,54,0,2331,2181.821305,0
9 Chemicals excluding pharmaceuticals,290.699733,4.930682369,31.13746657,164.2843303,123.3529821,103.5494437,1139.270534,188.6925059,2089.398215,0,723.0275142,107.9726749,213.9962233,0,90.19336426,57.07071883,0,73.05675428,161.031517,21.0349065,8.996677669,19.05991214,0,0,50.22864896,30.93657658,0,0,0,215.2344009,61.08927031,7.998367601,4.996253479,1.007096207,2.985950348,15.0026792,16.02012931,8.013285098,13.98746508,15.22131898,8.002528641,0.998342405,72.10318694,43.05479068,29.84573212,607.004653,57.10429478,0,6871.591126,854,0,477,25,83,0,3662,5544.591126,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 Rubber & plastics products,0.998184669,4.283338166,0.998257434,157.577996,5.115430676,27.01887181,64.01819751,11.97062479,55.92618426,0,214.153609,35.99425926,6.977382854,0,36.00402463,165.1016999,0,26.03063037,113.7975428,16.012352,32.00585399,33.98830383,0,0,45.15053965,4.979002238,0,0,0,708.4822933,280.9402397,10.96980365,51.94790118,0,1.98981888,34.96597487,8.984455764,7.001374122,4.984010158,42.66883654,4.993622896,0.994255042,12.99603306,41.99853346,20.91421432,8.982327624,35.99631027,0,2337.912291,205,0,1,19,61,0,1193,1069.912291,0
12 Other non-metallic mineral products,8.009206888,0.983481417,47.06721923,36.94191571,0.99839514,53.17975542,24.98951304,1.995339581,42.0231663,0,10.02109992,332.9498286,41.02235589,0,43.10133146,28.03291999,0,13.0361292,13.99308638,5.010226872,14.98498615,21.01100755,0,0,20.11594527,3.981971899,0,0,1.013415786,1445.434263,53.13342284,1.997317086,2.990017836,1.004384719,0,1.995711039,12.98725243,3.99227793,5.990379838,0.998492447,5.999234675,0.995654485,19.0001549,3.997008946,1.998402019,34.98578138,7.996011052,0,2369.958064,119,0,1,17,20,0,684,503.9580642,0
13 Iron & steel ,2.002215716,0,2.01524633,7.99958223,1.994512923,24.05448115,63.00096948,1.99837018,31.97606852,0,31.99382386,64.90308129,3557.35312,0,1345.122063,809.0234361,0,333.0238334,57.96922633,14.01007032,69.87567794,107.1868306,0,0,199.2135486,4.985024838,0,0,1.014955001,153.9586058,21.99032186,2.000350688,4.990931983,1.005910217,0,1.998742201,16.00858826,3.998341555,4.000189699,1.000008995,4.00481577,0.997166724,15.01433789,5.003849695,2.001437268,3.001286987,7.005129218,0,6978.696153,19,0,1,22,52,0,5284,3265.696153,0
14 Non-ferrous metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15 Fabricated metal products, except machinery & equipment",31.02393756,0,9.010912261,59.71002713,6.992631599,73.14690168,65.0136413,9.983091482,41.94685979,0,26.02930853,65.96154275,380.4885005,0,780.3081164,1218.205542,0,122.2349375,37.98911603,33.05054636,57.87159686,288.6430678,0,0,62.14454822,101.6868123,0,0,6.089494279,1384.712003,51.95010718,24.9895503,9.965573738,0,0,14.97158528,48.83618754,8.070205785,14.98245858,5.020973452,4.991962427,2.989688124,22.00154582,44.97532453,15.91517121,4.00156108,11.00014577,0,5146.905176,122,0,1,283,110,0,1355,1137.905176,0
"16 Machinery & equipment, nec ",70.05754853,3.938594875,68.10520027,112.0671512,8.084910893,66.00380821,451.0205745,19.97707865,72.92317512,0,30.08187633,83.95827755,109.8568444,0,141.1391354,2849.137124,0,88.19554092,108.9933144,35.00896676,78.92194529,133.2597075,0,0,23.09382423,77.73810683,0,0,12.17542341,770.9761479,55.99359825,71.9887578,9.978555703,3.016730492,0.995313768,20.98030726,43.00882193,8.995648487,14.99573972,5.998065388,14.01220963,4.984181176,46.0287093,171.075636,30.01160906,41.00399447,18.00442141,0,5975.786577,591,0,3,2685,383,0,7259,4479.786577,0
"17 Office, accounting & computing machinery",0,0,0,0,0,0,2.500362127,0,0.999246812,0,0,0,0,0,0,4.992608503,52.97919798,5.986740542,41.44103279,14.94480637,0,5.026166493,0,0,0,0,0,0,0,0,397.3545524,0,23.93429734,0,0,10.98230897,0,98.8413508,65.48980307,7.155557622,120.4354034,11.96859293,241.8452456,8.993993804,2.969432631,3.992787276,35.05858457,0,1157.892072,255,0,0,168,30,0,260,1789.892072,0
"18 Electrical machinery & apparatus, nec",0.998833384,0,1.997812393,7.991036304,1.99527957,14.97969294,20.96078413,2.990744953,11.97464679,0,8.004338908,10.97568405,11.95723835,0,32.01731564,363.8418117,0,770.8331089,813.8013161,31.96373365,32.97747668,64.20834554,0,0,8.01929589,34.81589353,0,0,3.037947201,289.7780607,66.94478197,2.993708966,12.97213764,0,0.993381692,2.994050285,12.97742667,7.026271751,6.968198969,3.045166458,6.98179282,1.993739891,25.00338277,39.00332351,28.81112073,39.96968125,13.01993436,0,2811.818497,121,0,1,527,63,0,2181,2325.818497,0
"19 Radio, television & communication equipment",2.999926745,0,2.012624266,9.99851502,2.03001958,6.992837312,36.97500684,2.99365511,15.96994874,0,34.99710881,4.993801814,6.98184281,0,8.996491956,51.98858292,1.020802019,169.1252511,5103.812798,136.9441045,13.98988609,29.05016461,0,0,3.008217281,6.969954257,0,0,0,19.98450839,66.92851194,3.995496009,3.987550572,2.009202827,1.988696613,23.95820465,181.7877179,67.14237073,13.95055123,4.045816477,75.98457139,9.962136203,31.00894617,198.0636772,7.987642116,7.993018593,11.9986915,0,6384.62885,463,0,1,612,279,0,14638,5031.62885,0
"20 Medical, precision & optical instruments",0,0,1.002597802,6.015426269,0,6.010163534,31.05574739,3.001797692,10.00686065,0,4.02009142,4.005907751,6.000714043,0,8.018677552,49.05655461,0,25.03190625,18.02791065,340.9405889,17.01038745,15.09190771,0,0,2.010932981,16.97307239,0,0,1.016391461,159.2662808,15.02207252,1.001590886,1.999198248,0,0,1.000785505,11.02148102,3.000634563,2.002925572,1.001424302,3.007862822,0.998578008,157.2136936,65.08635023,1.002134946,37.01303133,3.006750962,0,1026.942432,257,0,0,352,22,0,1347,1133.942432,0
"21 Motor vehicles, trailers & semi-trailers",18.32650315,0,0,0,0,1.021813706,1.0218924,0,0,0,0,0,1.020207157,0,8.115557318,335.7984713,0,1.02477963,1.021811655,0,684.6293747,3.044773894,0,0,0,0,0,0,0,10.17518961,79.61165635,1.0217086,103.8945561,0,0,25.08585991,1.022077804,0,0,0,0,0,1.02250592,1.022315997,0,1.021967713,0,0,1278.903023,1637,0,0,950,171,0,2041,4495.903023,0
22 Building & repairing of ships & boats,2.988249844,0,0,2.030312331,0,1.014268033,2.028692291,0,1.013192968,0,0,1.014048324,5.063366738,0,10.14471131,22.32683559,0,1.017212054,2.028531994,0,0,246.9983244,0,0,4.982528003,2.021897972,0,0,0,22.31945099,3.04220837,0,60.6063977,73.7160332,45.21030312,4.032911558,1.01453018,0,0,7.097965195,0,0,1.014955135,126.2254031,1.014714592,1.014420902,0,0,650.9814659,323,0,0,354,741,0,825,784.9814659,0
23 Aircraft & spacecraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 Railroad equipment & transport equip nec.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 Manufacturing nec; recycling (include Furniture),1.002721868,0,0,11.12146709,0,11.03833619,11.08265613,1.000796,3.014095622,0,7.12778291,8.104308578,184.781282,0,34.23344986,18.14273889,0,1.004799003,7.057746659,1.005556462,28.21140079,63.18023549,0,0,262.8173212,0.998612363,0,0,0,146.4438692,112.5065624,20.02602037,0.999795697,0,0.997248953,8.05021454,7.037726949,25.22697323,12.04990462,8.115256279,9.042328084,3.008097784,96.62124862,57.21698413,55.1326224,78.30858003,37.26280311,0,1332.971544,861,0,0,133,28,0,474,778.9715436,0
"26 Production, collection and distribution of electricity",89.96690232,1.969708703,21.05138982,105.9809783,15.12655098,135.9984381,726.4461327,78.86723126,160.7164905,0,41.08073985,50.94088585,207.4948146,0,55.98792384,67.00537393,0,23.04229927,32.97381206,11.02572504,8.971771324,15.96372141,0,0,19.06554597,236.0012934,0,0,69.73608255,152.9461149,209.8985989,53.91742773,25.92100487,8.024988179,1.991043257,156.7569857,73.98005633,60.01432547,814.3169113,8.012456708,12.99957334,9.962030273,51.01176097,118.0057811,120.8579241,129.9202603,170.0159952,0,4353.967051,964,0,6,96,4,0,188,456.9670505,0
27 Manufacture of gas; distribution of gaseous fuels through mains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 Steam and hot water supply ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29 Collection, purification and distribution of water",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.011557082,0,0,0,6.055990729,72.68403037,30.2693045,0,1.014762156,0,5.04082748,10.0934142,15.10350707,134.1767536,0,0,1.005941721,3.029292602,15.14364966,12.11429865,20.18465401,8.072016137,0,336,87,0,0,3,0,0,5,0,0
30 Construction,88.09642944,0,0,26.02969323,0,11.00292793,23.00873694,0,13.98888332,0,4.014361451,4.000197999,20.9725636,0,0,9.007615682,0,7.022186885,46.01215172,0,0,0,0,0,3.012100099,182.4497095,0,0,17.254027,1557.802099,88.01291335,62.01012373,27.94888216,0,0,418.731443,452.2371663,34.04691468,2361.083505,0,1.001191872,2.991464106,9.00849413,189.1432382,71.05016645,31.01292498,68.04788839,0,5830,28,0,300,17970,0,0,0,0,0
31 Wholesale & retail trade; repairs,455.1384856,5.263756249,29.03427246,268.6978527,104.2130804,595.5562083,882.4283885,155.7377053,160.6893013,0,101.209488,120.8484477,148.6368107,0,148.9082242,642.7432469,2.999503966,153.2694695,143.7526344,116.2732842,77.74383004,126.6177895,0,0,110.3028791,136.4783066,0,0,4.057728806,2151.218518,1595.173506,413.4932704,510.6460492,97.44151739,87.5616394,323.5672207,191.8729907,124.8951862,372.6583786,139.9410142,127.0942134,30.89575239,454.0645309,431.9785523,222.9876034,457.7428678,386.113232,0,12809.94674,12525,0,448,1393,117,0,1112,568.9467378,0
32 Hotels & restaurants,15.01204659,0.98362651,0.99980999,11.98438493,5.048106929,9.012868287,37.99630453,0.997816977,23.98126167,0,8.015005573,5.995027193,7.984021085,0,12.00154423,44.00546889,0,7.012713138,62.98247239,5.010642161,0.996464454,3.999068177,0,0,5.016825524,1.991279679,0,0,0,35.98391685,374.8466841,42.90418722,66.83658434,6.01991617,46.7339926,73.93705838,51.96375143,106.2211958,39.93298764,9.015514988,29.99325388,27.92201908,106.0254571,158.0536619,190.7216755,383.7962092,209.030166,0,2230.964991,3889,0,0,0,0,0,67,733.9649911,0
33 Land transport; transport via pipelines,22.03959045,30.5558297,44.13469369,341.6350515,13.1950001,324.3194053,727.7837031,6.999243307,153.9884242,0,27.11643475,107.0822817,199.8824034,0,56.06643043,118.1848172,0,26.10117348,112.1101867,10.04648062,10.98390222,8.987840559,0,0,35.17826738,24.94275591,0,0,4.062691871,256.3078045,878.7634997,13.01147712,784.1315688,2.013243571,1.992696117,169.0130544,256.2909622,58.00899731,19.0075106,14.01002945,45.08112865,6.985104749,114.1877734,114.1660782,131.147011,190.2095887,187.2651927,0,5646.989329,1194,0,51,18,10,0,637,129.9893288,0
34 Water transport,0.995576488,1.959065867,12.98187821,3.982489965,0.994386781,57.69558397,107.4422687,16.89229384,41.73527693,0,2.994171925,14.91803951,32.77518578,0,3.979802553,8.957954357,0,1.995277641,8.952745065,0.998390882,0.992317449,0.992429135,0,0,6.996195698,2.9744888,0,0,1.009347122,8.954991512,396.4977598,1.989298252,2.978013504,116.6852583,0.990142572,70.02071049,44.95561499,5.996014566,2.985423845,0.994483696,1.991344083,0.991657129,8.974977635,15.9897009,20.88747167,31.89628619,16.9567279,0,1083.951044,701,0,22,1,0,0,1038,643.9510437,0
35 Air transport,10.02285353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.00260703,264.9797727,12.96346769,47.90595767,5.017263688,201.2732615,174.8551961,72.85142072,28.07681581,12.97686514,4.021747852,31.00535942,8.97488218,66.04294835,42.02045564,17.96933282,44.99083855,65.02817287,0,1141.979219,412,0,0,1,0,0,721,314.9792193,0
36 Supporting and auxiliary transport activities; activities of travel agencies,9.032133251,21.68112931,15.05158738,201.3404027,22.35089438,136.111138,485.4474281,2.999170372,130.9680862,0,38.15744197,55.03302179,139.8941116,0,64.06512615,146.2040382,0,33.12283162,139.1133104,12.05374581,11.98042021,7.987845734,0,0,36.18705494,5.985252963,0,0,4.062007462,31.04524589,1065.090692,12.00163314,118.873263,140.6651348,175.5260225,1707.397009,44.054978,23.0165413,8.002818965,4.002191227,21.03677888,24.96107222,44.08757207,90.16748708,39.02396779,21.02775412,65.14607327,0,5353.954414,907,44,1804,15,1,0,444,587.9544136,0
37 Post & telecommunications,29.0479036,3.941227879,10.0245115,60.05859415,11.14058134,53.04858271,106.068254,11.99059775,67.96767061,0,35.1231283,29.0053382,44.95488482,0,60.04942081,201.2057611,0,42.13002675,187.0891623,27.09913855,4.990834232,14.980938,0,0,24.10519865,13.95953679,0,0,1.015296903,88.06393515,1122.59632,115.0055119,146.7696661,25.12971721,20.90927067,149.9500886,1304.445858,274.0678251,126.9905955,46.08091742,394.4662342,25.93442396,475.5565439,351.3431039,151.0678513,316.19771,331.3855281,0,6504.95769,1705,0,0,17,0,0,332,523.9576898,0
38 Finance & insurance,114.2604938,4.926079822,8.0096786,42.04628857,12.19848191,50.0403635,113.0871824,14.9903028,61.96797039,0,34.12647851,33.01349105,46.9574716,0,59.04558471,165.1608366,0,44.14449874,233.0515187,26.10105885,4.990373267,18.97830012,0,0,26.11624484,63.84736646,0,0,4.064312341,112.1449907,335.2607457,22.00734409,45.93679056,28.17429298,18.92036946,33.00776749,95.0613726,494.9101413,904.5998464,10.00546036,35.04974552,12.9740412,104.1428497,174.3444246,51.05228283,81.09333986,118.1661346,0,3857.976318,2448,0,0,110,0,0,182,351.9763175,0
