Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",13441.68584,0.349386431,3.542155545,30870.82664,311.4859313,1622.564982,189.8010825,14.57893492,234.6341574,0,342.1187621,14.7843922,22.26850409,0,32.60786529,33.62974849,2.049567677,16.90605446,18.79338556,13.8036382,55.72251482,21.311539,0,0,184.6226071,260.9077483,0,0,6.196687739,1709.747349,310.3270462,2482.042305,24.94521465,19.53131534,12.40961379,16.21934678,24.57476789,35.22138191,53.99742379,7.426153623,19.76910507,13.75916797,151.4375976,432.514664,166.6237418,238.9713477,193.0426937,0,53627.75236,21623.14631,0.011306871,65.23724744,1780.534756,1263.008349,0.999250025,9711.311921,8874,0
2 Mining and quarrying (energy),4.920473646,40.70017829,1.803452419,17.81089944,1.831730414,0.443378108,31.67763552,26432.53688,762.8629187,0,2.890071624,11.79231106,281.8723745,0,241.6815347,3.208415983,0.274248326,3.050085879,1.049485937,1.261552696,14.62392844,1.284887114,0,0,97.92093846,8118.432242,0,0,4.461716982,26.71614796,301.0056399,1.704623951,5.510583973,0.702827788,1.597045527,36.11815602,2.36764414,5.474074741,4.524763416,0.735315528,2.652703971,1.681435619,15.79088072,117.1200212,2.178069498,3.415786538,9.02603974,0,36616.7131,60.55994697,0,5.07946876,51.18329041,-78.51370686,0.012093798,1468.965828,37236,0
3 Mining and quarrying (non-energy),137.0524064,0.286337722,204.4306896,115.62869,3.262832763,3.377525315,135.3886788,4.41507648,697.3416318,0,65.1067254,1385.825496,1088.26054,0,123.2016547,46.3807972,1.090049713,43.40549566,16.47496343,22.1557675,54.73142081,5.29565331,0,0,187.4026457,8.269546936,0,0,29.84742464,1647.027583,79.66222789,8.053758669,9.000046278,0.698576498,1.395482885,4.168745532,17.09791704,13.84773432,8.797771245,3.163446656,3.701965845,7.841890836,26.51116209,8.293882887,3.83591961,10.53879896,11.62896425,0,6243.897925,296.8726218,0,15.27556471,85.52976946,59.75681007,0.218468806,522.4491682,1754,0
"4 Food products, beverages and tobacco",4869.663272,0.967617808,30.54025453,17792.06431,382.7429446,45.95905301,266.3909328,104.8758128,1928.15984,0,160.3944941,89.50464046,163.9876219,0,179.6824016,203.193748,14.87990423,109.9587911,135.3343045,96.10028993,342.56115,127.1811245,0,0,177.363641,77.75317295,0,0,28.82695121,479.9417839,1792.562791,10949.32836,153.1181924,44.08333567,142.0822052,107.5711445,178.5870449,140.3958378,181.9935634,46.57291284,146.2807168,127.655004,856.6400238,334.5987918,1977.19616,2197.126591,705.698277,0,47889.51901,80302.3508,0.064920627,411.0914834,754.9330809,844.8439254,8.372834187,22327.24546,24220,0
"5 Textiles, textile products, leather and footwear",198.1492177,0.572058763,11.21397855,209.1903646,6453.186634,20.80897596,224.849555,35.68757515,608.7391731,0,305.6918104,84.99416437,109.5819899,0,84.89900696,143.4296515,7.310968076,101.822895,137.9301929,125.7410947,1179.259632,319.9759741,0,0,957.47334,18.16137517,0,0,8.48104618,633.7477329,827.7721653,222.4024832,40.17100472,16.15634063,20.35486556,29.83821481,34.89519182,69.69048569,35.15264328,8.197335177,24.87925608,13.31268944,157.518924,330.2791723,160.1534838,351.0882378,317.5863153,0,14640.34722,23823.0778,0,99.84975859,268.7966327,182.1947372,7.371668756,14093.45509,25615,0
6 Wood and products of wood and cork,598.8331469,0.342667765,44.18127782,391.5279746,42.58726942,2531.385533,403.7333855,10.19895792,171.7878865,0,121.420185,304.6412471,128.3262723,0,147.4435374,119.9142983,1.695120944,63.31426046,69.13196767,51.62524988,307.9156218,140.5858671,0,0,2372.772413,12.36281485,0,0,11.02374554,3250.853005,327.8953509,55.63206168,24.25325978,7.251566979,6.540773997,57.05272513,89.38251338,14.37239095,60.31827091,4.009781422,16.54163811,9.774774177,87.264809,23.979461,38.91895585,20.03993533,235.1612487,0,12375.99322,1237.178316,0,16.36776261,147.2431659,140.1778986,2.873591838,1779.166609,3401,0
"7 Pulp, paper, paper products, printing and publishing",336.2172148,2.114033748,51.24649233,1960.135428,294.8859875,130.5976226,12027.54658,116.8092315,1909.036494,0,553.2113971,354.3729246,229.1584993,0,220.4545341,312.1801298,21.65123511,223.0089904,238.7945787,267.9287963,398.7098274,193.9160448,0,0,409.0051033,143.4947025,0,0,58.81417353,652.6317139,4125.882501,345.5901723,129.3889198,41.37324017,47.14066781,368.4683554,880.1806528,2503.108577,508.7318472,429.1457943,826.4742056,416.4495671,5676.936442,1915.079066,1240.785307,867.9996228,2664.586198,0,44093.24287,10411.89199,1.868846239,83.66707411,581.3885711,170.0030269,1.066990188,7948.782205,11235,0
"8 Coke, refined petroleum products and nuclear fuel",2127.431855,8.212914362,168.7582523,915.0839224,172.6277754,81.77285371,331.8289499,5480.242708,4068.31589,0,226.1016719,364.724176,273.4201324,0,221.6635886,244.1114929,6.068062463,89.54632687,88.11218986,97.69381566,391.5482977,130.5467093,0,0,202.1171982,3430.379346,0,0,103.3367607,1990.798559,5340.228111,610.9397697,4585.827994,477.0510545,1314.134787,591.8904184,509.3894556,349.7072595,252.4990017,164.6302379,363.1566514,128.4474988,1423.527233,788.4357804,285.0234762,365.0566731,818.8541513,0,39583.243,18963.65203,0.587957285,205.8086996,260.5445144,-360.7651895,0.089356183,11003.95976,17039,0
9 Chemicals excluding pharmaceuticals,5103.661025,14.29923525,165.5472057,1705.673729,1446.569275,215.8183875,1965.658895,1347.058351,25870.06864,0,8866.165996,606.7050309,587.0040172,0,1488.142077,872.5351686,34.06147525,944.6179041,460.4648756,312.1779056,2033.048569,731.7700931,0,0,734.3373883,295.579913,0,0,156.5121015,1981.796314,2326.538659,393.0863044,256.170395,59.78633315,88.21162011,188.2985402,340.1134025,478.1487599,379.4876128,136.3860956,287.0289669,401.7411766,1873.490491,568.4077666,290.8256058,5121.622614,1068.101206,0,72196.71912,20290.43037,0.180388854,15468.89452,1192.091172,352.4759735,4.41083597,48757.2039,49853,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 Rubber & plastics products,401.8719944,2.296444196,68.24248396,2483.568903,556.8322617,93.46951113,672.7421194,672.7987248,2271.526068,0,3723.899445,255.4399899,275.0987371,0,884.6284754,1298.486677,17.38420697,1408.103362,1125.008948,499.1213328,5934.354777,838.1939281,0,0,823.6208169,358.3390923,0,0,27.42272794,3306.398913,2539.953972,122.2644169,414.7733534,41.90837869,81.34313191,130.6882068,596.8887622,94.22982363,65.90585059,62.62933624,139.7918865,72.26043939,526.2973278,81.51944214,25.15644802,334.5610615,250.0157409,0,33579.03752,4862.009704,0,209.6429696,397.2960507,-70.37582767,1.212136564,10493.17862,11875,0
12 Other non-metallic mineral products,352.6037859,1.375028459,322.1713993,859.0487018,59.59312765,73.44278789,170.1955738,44.17806171,737.585679,0,214.2226853,3162.278545,292.412299,0,337.7573375,254.6353716,3.735150995,202.0131708,329.593576,317.9551272,1219.143968,177.4307937,0,0,371.1493392,50.73685511,0,0,16.34905824,10984.31869,752.9536007,439.3392508,185.20774,8.565098698,9.688254306,123.3137797,83.47435315,55.8497865,130.4376547,22.80493539,59.45133739,91.38867311,604.9933515,60.21937665,207.0783848,478.960557,229.8543253,0,24097.50657,2708.873286,0,81.8703487,277.3989997,47.08345611,1.347030838,4190.921429,5762,0
13 Iron & steel ,45.9328431,1.542259251,24.12228848,157.5565891,119.9433617,76.02578385,296.7189107,177.7867274,614.6181289,0,504.700707,491.3869875,9886.00693,0,7528.358272,2898.625925,9.023952627,2017.012088,477.0331334,689.5614634,6559.331558,911.4718031,0,0,1015.931289,134.608725,0,0,126.5584175,2730.407209,625.4847095,34.13943263,62.45466857,7.71104453,24.02902986,147.7862418,124.8267987,50.68174774,44.05910948,29.20206945,39.12938405,99.46457528,226.0316399,50.27527277,13.94815982,39.4000051,55.11479289,0,39168.00403,492.6815664,0,60.1606466,269.2723559,216.6718084,277.8638483,16760.77612,20640,0
14 Non-ferrous metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
