Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",1756.421005,3.776337822,0.646877792,8236.247515,2.753792086,159.261338,53.99881779,0.953948993,19.46173869,45.57485318,91.23875146,2.469585783,1.322097814,0,3.282677185,3.577086518,0.77404152,1.587955104,1.107205714,1.552787557,3.120944143,0.365258992,1.647652357,0.357597373,5.285069623,9.74995822,2.156363566,0,0.765247071,279.6331233,481.6709695,1113.170065,8.908051198,37.7491105,3.594977773,11.70461719,10.02986773,38.14004149,13.003758,2.708404564,7.255374535,10.29967253,25.22001015,40.38665311,161.5528055,80.03880245,95.72805076,0,12830.25086,12184.88193,18.99873197,56.88513126,637.7036889,-103.5461073,0,1669.825561,7157,0
2 Mining and quarrying (energy),5.366894005,2242.216579,9.330254184,57.10844727,7.663156498,3.356811906,35.93832482,14775.00829,82.48002846,5.603434815,9.012093573,67.673718,10.37770302,0,16.01303162,10.95787107,1.507932736,4.448930892,3.132611542,3.158573047,15.46795478,0.722705281,3.009492525,0.987389758,7.019707021,10324.32479,6479.928008,0,1.249100605,110.8770061,185.8179062,26.10515683,35.46398764,1.805433472,4.845691312,29.76700336,18.63108505,85.17223293,17.79299117,17.97260098,35.29156839,3.655328313,132.6581543,48.10056447,32.41882161,39.0481927,50.43818384,0,35058.92575,647.0073128,1.838339613,0,489.3730971,211.546998,0,12029.30829,14898,0
3 Mining and quarrying (non-energy),10.44473723,2.853245395,1102.196344,17.49681559,2.077658965,1.865337427,33.20306491,0.379916271,400.7350923,2.233095409,16.19480148,1030.85563,906.9450536,0,3.345229973,3.1666083,2.602588186,2.318558749,1.277589625,1.04234988,11.07763368,0.429264269,0.800481578,0.21408831,9.794340362,0.763486417,0.261144977,0,0.364883929,2548.250295,191.9908194,45.70261383,11.0424088,0.267057797,0.808202442,78.74554301,7.680265112,9.702659282,1.426950627,1.995645877,3.349058084,0.418499845,22.8408362,11.02088249,13.24608349,12.02089778,60.73668108,0,6586.184441,157.5789916,0.140331815,0,15.2611029,81.68953124,0,4614.144423,5469,0
"4 Food products, beverages and tobacco",1715.138927,29.58752095,16.51019374,10413.74188,127.0906515,14.99710118,154.5958525,36.08845495,276.4849944,81.97306713,72.98521647,38.00236989,45.78142501,0,57.44607189,69.36337656,20.98147566,30.42191413,28.61983021,24.80985361,110.3211353,4.86766259,25.93134826,5.843812171,36.62218767,41.57151831,17.02230466,0,6.453182083,175.9220104,3790.125899,8219.118655,117.3978631,33.79537137,60.29905095,181.5284344,195.4461496,371.9767617,12.37289612,18.88408697,72.58345717,18.20121527,523.4809531,177.0900596,567.8806372,1715.77871,852.7167303,0,30607.85227,51961.21866,0.567238171,0,167.7600512,-12.03092985,-0.013766307,8304.633267,25221,0
"5 Textiles, textile products, leather and footwear",91.46221529,12.69498115,1.82348714,29.215663,2185.174599,2.846457035,58.78805852,3.195514316,37.95499385,79.87568444,89.25746643,19.9514713,4.570906995,0,9.101652955,12.39410893,3.564028738,4.816829869,3.488017833,35.65012959,195.5819099,1.137756007,7.500397782,0.950017268,318.42089,2.528972928,0.792178473,0,0.429937002,170.2573162,755.060329,165.8529774,28.93759734,1.102071913,7.593874821,14.63254769,31.81255465,56.7202608,5.458739313,9.579867839,11.95740437,12.36509251,68.69627042,250.768672,116.760419,280.9292856,232.2371829,0,5433.89079,21240.25792,0.017014429,0,154.6131163,249.6749038,-0.2468414,5625.79096,21730,0
6 Wood and products of wood and cork,20.93553754,12.37967599,9.013729231,70.28160122,15.16477079,1904.785859,177.797851,0.503122807,31.3969879,4.776643869,29.76101135,66.14498802,7.145580549,0,111.8751179,58.11259104,16.51804703,26.82237913,2.183657549,13.68079897,206.6024225,60.05387368,13.1316471,0.500277376,1135.760626,5.689797234,0.509541702,0,0.220772123,2936.849106,128.7121076,69.71160772,11.6260263,2.172647658,0.509054575,22.26860889,19.77838968,34.68204965,15.66838825,11.14919083,9.769927888,2.939270179,62.85082721,16.01782688,131.2440717,27.85971552,57.57575207,0,7563.133476,1598.173213,0.030391469,0,328.8893726,50.98428014,-0.645526337,436.4333135,2854,0
"7 Pulp, paper, paper products, printing and publishing",256.5801488,33.3311457,16.09291312,1575.871379,179.5803593,114.2180416,10108.76572,91.46634496,498.6601833,421.4147772,489.0507511,187.7911329,47.74434746,0,193.2801377,316.8540231,71.05509514,131.8302405,87.79107632,121.5343558,230.7843511,15.69342867,130.4593372,10.29544005,275.4829968,232.712584,84.59674817,0,52.90068093,651.2281595,2279.880609,401.2081436,326.1144076,21.72777941,65.6845556,450.1522231,279.6949955,2872.003096,291.1687192,144.7504354,507.1854065,60.78173208,2585.36885,1716.072024,1448.118229,1248.81749,1183.528343,0,32509.32294,13194.27986,22.87451025,0,720.5668756,54.69543103,-0.192636295,5945.448708,7790,0
"8 Coke, refined petroleum products and nuclear fuel",445.4997236,97.77903791,65.21362308,238.281868,29.66245355,47.30662537,60.56251563,509.726433,436.7613857,18.39642259,80.41984672,90.5963662,215.195098,0,85.89000886,85.76709682,10.13280736,48.14333073,6.661682823,21.54150499,33.90839477,3.915091224,24.90856544,3.846888851,92.03708151,631.8999505,43.22347438,0,14.38444665,477.6743934,1805.679527,372.2906328,1440.488285,279.7439254,1005.986852,150.6434935,191.9072832,385.2457886,40.904795,101.1396463,122.0059006,38.30810783,397.0763468,561.442623,201.4559162,298.7388867,301.4962016,0,11613.89033,11075.6737,13.80651285,0,49.79783153,466.9000342,0,10219.92855,12316,0
9 Chemicals excluding pharmaceuticals,767.8745232,89.75444434,91.26477211,511.9624921,532.6124227,131.626476,1168.679327,120.0130547,11895.12598,494.1877078,3175.174655,428.7883153,236.0006102,0,351.1073673,405.8981032,265.8452164,197.8879227,144.3053271,101.0658256,873.3010021,31.75169319,94.88709234,9.46765148,692.961722,40.70339705,12.1965632,0,41.85951303,801.7950002,730.8316369,234.9253332,94.05462811,6.701872898,17.62327223,101.4307634,69.09364501,227.3328199,41.90300297,28.22200867,97.81084311,77.24778293,426.6703261,329.1894901,385.6643445,787.6388536,908.5269819,0,28272.96578,10657.00238,19.06377217,0,229.5524879,-252.484557,-0.051050911,16570.94534,19644,0
10 Pharmaceuticals,121.7313427,6.521433421,4.44410686,289.3782953,14.17479892,3.432374427,38.90649119,4.994958239,69.38103156,2127.817979,20.4679171,11.1930227,13.41132634,0,17.07356873,23.16275241,6.175396183,9.243060925,9.237984689,7.467626338,41.13825742,1.958752754,6.541696912,1.637741023,13.34387888,8.2642255,2.797112017,0,1.647883525,102.8193403,245.7029163,108.577215,27.30158359,3.327216355,7.230352787,22.95796781,27.09578063,98.04719874,16.46824216,14.10228001,46.34559839,16.63873614,164.3626371,222.9784017,92.58740184,7004.471168,111.3885569,0,11207.94761,3294.256772,10.05641207,0,116.0488682,228.35552,-0.026930084,9881.359527,9908,0
11 Rubber & plastics products,162.7024109,12.0242211,33.78025232,1464.038607,86.9243459,112.7853761,339.1360394,7.572754123,634.4566514,163.6997959,2049.745536,76.8356168,21.60842217,0,249.5710302,484.4810201,163.7787202,197.8445848,104.8024681,193.5862161,2072.241667,98.53139019,51.40550884,12.61097019,523.4545582,15.48614482,4.157520928,0,3.744876076,3303.435798,1646.069922,63.53097219,546.4637342,17.23835119,7.051723261,139.3602226,763.7071414,183.2072775,39.43305326,16.98660887,85.19845944,10.97097518,137.8737411,160.9523345,128.8484692,261.0013522,205.8956049,0,17058.23245,4239.757193,1.06292556,0,590.0305103,-87.34623119,-0.57791765,4579.837228,6849,0
12 Other non-metallic mineral products,76.51522838,10.67217681,153.9346027,427.7926749,6.164062407,64.13202071,14.32707488,1.014279513,67.58318663,27.30695818,225.8089627,966.8497152,88.25930452,0,70.85184296,42.14243139,78.70769115,77.33359475,25.05110514,17.65208133,337.4144131,14.91314971,7.843244912,1.235472584,23.97887451,7.514001977,0.777796647,0,5.735962586,6541.010067,649.7262312,34.89364818,66.83792462,2.411168041,10.48284257,37.01988809,54.52150755,9.934555862,8.991045281,2.081270228,7.2641329,0.467250281,21.51042518,194.7249906,259.5323793,71.62592,255.1080826,0,11069.65524,2596.397897,0.054680686,0,277.1616074,92.25924717,-0.157364158,1842.626086,2952,0
13 Iron & steel ,12.36123409,96.60801488,7.449048361,30.24526757,11.76381479,2.362282673,19.38700443,17.00914996,41.66777078,9.566705164,89.81104187,61.66085201,1745.211706,0,2888.963163,1973.6219,110.4813726,313.6281198,60.38212642,77.38616831,1611.904228,84.86516356,178.8099908,67.30444467,478.4382957,12.92411557,3.621736519,0,13.60584722,317.3054812,79.67808697,4.893538452,51.45962349,2.425757433,0.986783796,5.72466798,21.89697284,10.61902367,2.080606401,2.72457707,3.652048554,0.418523581,7.165568191,22.29458163,5.593356181,9.249610952,9.080983494,0,10578.29036,252.9640874,0.030799936,0,150.1460216,265.7123753,-0.966877616,8551.819891,4592,0
14 Non-ferrous metals,11.64184956,0,0,23.9685138,2.73925872,0,8.902590839,0,103.4070167,33.55591932,48.62184228,52.04591568,1505.907481,0,1112.13904,423.9002869,57.52443311,301.3184592,78.75368819,69.85109735,762.1987388,2.05444404,330.7654904,3.4240734,227.3584737,2.05444404,0,0,0,96.55886987,89.02590839,0,3.4240734,0.68481468,0.68481468,1.36962936,22.59888444,3.4240734,0,2.73925872,10.2722202,0.68481468,4.79370276,0,1.36962936,0.68481468,10.2722202,0,5410.720786,56.83961843,0,0,2.758379666,-104.3187843,0,0,5366,0
"15 Fabricated metal products, except machinery & equipment",70.07625408,403.4152358,45.50669299,833.8037438,72.3146229,178.9293282,120.7685854,114.3017333,314.2423196,65.01650726,621.672404,194.9997568,203.9586172,0,2073.291081,2643.121533,180.787613,709.0223866,224.8338501,432.4524377,2700.653981,146.5774173,1387.09223,69.16656354,864.09622,279.0443156,58.39191622,0,15.09389011,4042.833927,470.5785777,30.23130543,48.25051844,22.65341492,6.182330553,32.74500195,50.80552646,92.08791627,31.40191362,17.53615665,25.60630835,2.214587313,67.67777905,119.6523604,100.9162222,87.1643042,74.41361363,0,20345.583,3618.202241,0.417030735,0,4255.712574,386.6218916,-2.132201079,4352.589887,5937,0
"16 Machinery & equipment, nec ",104.9404554,230.3451295,124.2143015,596.8450849,93.58176456,104.5282726,361.4381255,79.68545943,352.6183811,66.49345341,187.9444617,170.3319641,365.9142142,0,524.9104995,3650.523508,25.57857995,478.5522448,124.1356475,82.35601558,1556.815768,288.0246805,320.1299422,36.37561506,623.5788295,234.0761997,63.41248371,0,141.4169368,1559.85598,1063.718664,40.57533497,124.8311528,10.39807202,10.18160786,37.67863817,116.9723963,107.0526039,50.60522046,185.932997,77.26292237,5.726313758,105.5377695,2363.349688,37.0773557,76.69980895,108.3084788,0,17070.53302,6727.938038,0.437262966,0,11958.08607,53.06927713,-3.872969675,16228.80287,20161,0
