Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",1841.604643,1.256562057,0.355800188,4271.761913,71.9800908,43.40579423,6.604111239,0.125588508,8.91745581,0,24.39633858,0.505184531,0.865299126,0,3.210987433,1.761005401,0.001331422,0.049657035,0.028401236,0.031228433,0.014573269,0.294805042,0,0,20.3731066,0.053523499,0,0,0.006437371,0.039105418,83.27560154,511.3908865,5.126352831,26.29624424,0.057689886,6.506666171,0.295057173,0.115636766,20.25494929,6.074957924,0,-0.000414933,0.756621949,1.055305792,176.4666228,3.964708713,6.043514737,0,7145.323345,6736.587881,0,0,75.37303976,-27.44639896,0,1245.557915,1513.418153,0
2 Mining and quarrying (energy),0.740873725,2.47143673,0.064040176,31.39158738,42.37350336,2.978528412,7.249143049,4686.231506,29.07664799,0,6.30134687,18.56662417,105.8906764,0,36.70832527,56.22143229,0.041530838,17.76922889,6.972166833,0.420173252,18.91156987,95.93044477,0,0,9.184530261,773.0853096,0,0,0.02418908,0.899149667,104.1459658,0.181374864,2.545165904,7.279622728,0.31673391,1.851024436,0.014926652,0.094172462,15.78895549,5.847290779,0.005275712,0.004619696,0.077268905,0.535016852,0.016915032,0.069422474,0.110966193,0,6088.388682,1.444986845,0,0,9.651359267,1396.442306,0,7.643547929,6740.205201,0
3 Mining and quarrying (non-energy),4.307346135,0.055159892,17.66102907,4.438170904,0.162734466,0.230474657,1.140645457,0.129441955,23.90425195,0,2.709917359,406.0001559,94.0617975,0,5.527521784,2.646488967,0.000258704,0.100787577,0.010577638,0.010792549,0.017287164,0.042201153,0,0,0.202396261,0.115979008,0,0,0.092116106,601.7733524,7.428152601,13.74456218,2.718428246,4.342411715,0.166471815,1.523910576,2.359843181,0.32020521,3.236299051,0.980458858,0.067273572,0.009337534,0.356031551,0.350164939,0.033647907,0.253443675,0.573491296,0,1203.805018,15.81038336,0,0,4.094943166,-511.0115439,0,123.4755507,101.5267538,0
"4 Food products, beverages and tobacco",312.3731811,0.424567736,0.644377476,1184.850603,13.94152578,1.578408875,10.19046972,4.36694719,17.95943641,0,9.264645527,3.100754072,1.997980391,0,3.280688227,2.245138298,0.014603799,1.31364753,0.548441726,0.371604305,0.593589034,1.446340497,0,0,3.562155341,2.075742144,0,0,1.428074519,34.58171582,62.46795669,2250.459339,6.264669847,145.6435421,1.861345003,7.08400354,2.586886379,5.009353653,14.88832137,4.578783292,1.265873518,0.168053078,12.07996639,53.583551,4.973688308,126.1466858,26.70587303,0,4337.92253,12860.12079,0,0,32.62730189,397.065662,0,1563.420362,3655.854609,0
"5 Textiles, textile products, leather and footwear",31.23440982,0.134874575,0.293834087,32.43323715,566.8349258,1.418516912,9.315310898,2.048285227,14.0510379,0,9.760894822,4.459184782,4.767283642,0,56.99514707,1.88772761,0.011496948,0.761704171,0.387122897,0.243103256,0.450773696,0.584395129,0,0,50.80303134,1.264112457,0,0,5.993652727,12.24476292,415.3788892,208.9018853,2.119999198,17.7268976,1.27252369,2.049744797,6.263608027,2.009887754,13.69454063,1.308303968,0.383750306,0.116399256,11.56589666,31.46417901,2.536343707,12.81869071,31.17018867,0,1569.160554,6508.240431,0,0,11.35205925,-2024.990626,0,1606.027633,3804.351419,0
6 Wood and products of wood and cork,5.431155487,0.032356262,0.585381609,98.93015766,5.110436276,240.1429714,2.709292134,0.920055463,40.63790789,0,4.444690301,5.680181891,1.198718393,0,7.506340074,4.85880624,0.001741131,2.286952228,0.110881026,0.754723579,0.372750049,0.841320643,0,0,278.0834146,1.920171302,0,0,0.083683489,81.55484139,18.38379048,331.3464354,1.20952959,3.577199301,0.211663023,2.518593501,1.211271067,0.425618174,4.710123408,1.108664725,0.107779515,0.035401143,11.16044346,0.603592683,0.239870633,0.606070411,34.8365572,0,1196.491534,123.1744626,0,0,6.749533238,61.0210647,0,48.12799168,516.4308515,0
"7 Pulp, paper, paper products, printing and publishing",7.718361127,4.253558828,1.638359666,134.5637317,12.76963527,10.19324392,570.1905321,44.88658415,55.98651536,0,13.18532697,14.29204929,8.975845417,0,6.62175347,2.85866257,0.022936162,2.154295095,0.946386726,0.43864682,0.282040106,1.149517351,0,0,3.004094134,2.075226452,0,0,0.486293926,46.18470146,432.3936492,396.9572526,11.81600374,48.73187247,6.348477385,14.88693664,14.9203792,55.22817698,18.53614551,9.872021438,100.1515451,13.65883431,205.8132636,98.31048111,37.23582443,12.2255296,101.0868383,0,2523.05153,2166.131459,0,0,8.778139641,-446.8058588,0,173.2563952,1361.513411,0
"8 Coke, refined petroleum products and nuclear fuel",544.0682032,29.05097598,49.89831025,139.1124969,22.11552596,18.71403432,32.06122292,598.0177316,24.07603204,0,13.28708058,80.80177732,97.53611058,0,47.37737676,18.58459953,0.050824966,7.389648786,2.533243528,1.528421969,1.688314395,12.40243797,0,0,12.76411533,311.2202762,0,0,34.71453515,658.605861,419.108002,195.8143435,572.1113474,758.3921105,66.5012106,79.63245014,44.98339234,47.02181404,16.86004982,9.965489043,4.432993798,1.678058294,86.88512242,120.0367417,7.43871806,208.061401,70.48449895,0,5467.006901,2081.867783,0,0,25.97592174,269.4246056,0,2109.234156,1997.889172,0
9 Chemicals excluding pharmaceuticals,364.9078243,22.62799279,16.09954174,194.9606675,99.06122902,30.9618036,104.3132537,140.8416331,999.0634279,0,297.7574991,46.08840309,64.91188247,0,136.3762958,36.15450821,0.2530891,49.11791807,3.570810658,32.66676904,93.76076972,12.90210845,0,0,41.18931475,1.497793395,0,0,2.885456275,57.44109096,793.8595696,341.9781901,9.3242823,46.91013046,1.607578086,7.881549206,4.08815312,14.8653436,40.87208621,5.647044833,0.942203751,2.960481125,63.03375719,146.1706896,9.440979945,1058.467723,105.6246369,0,5503.085482,3374.42108,0,0,9.325386481,70.68725381,0,1460.263308,6848.365199,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 Rubber & plastics products,23.77806858,5.351042519,4.025304667,128.9547904,19.60573139,8.894363846,25.43919756,2.134888266,27.31704547,0,53.74148428,8.422735382,6.121343862,0,26.13758483,18.5720646,0.156451113,14.46072735,3.95352105,2.317349559,1.296952265,1.719332077,0,0,25.33086813,1.424191095,0,0,0.494555349,477.1457031,335.7169538,53.87399315,18.12091896,15.13607533,2.35277945,3.734579092,6.648362666,0.57340811,8.727575954,3.619361192,1.26265223,0.127172609,6.579185059,1.808424099,2.365790138,3.967624179,29.25259048,0,1380.662743,795.0409232,0,0,6.696179372,26.36351994,0,380.0531772,1001.544036,0
12 Other non-metallic mineral products,2.001723389,0.319110387,0.255656324,68.86866372,3.009932629,1.394403532,2.005866214,1.296882094,26.49534469,0,7.707778623,395.9673415,7.342407509,0,6.378345816,13.39928598,0.029761581,14.0202289,0.323478784,7.325178423,1.575632146,3.983468533,0,0,5.241160204,1.016202588,0,0,0.505241583,2710.716241,18.4225092,56.76320764,4.926339714,8.387137354,0.850978132,2.014588684,11.24818945,1.111751068,3.447126516,1.271121616,0.213739488,0.064290924,2.275030073,3.121402449,0.790009874,30.40666159,9.093530947,0,3435.586951,448.026533,0,0,10.07841552,65.75828767,0,327.6387612,773.8510412,0
13 Iron & steel ,1.822289106,1.49202241,1.548793311,79.88472914,87.43739182,3.935162742,6.450171518,2.343838031,25.76929425,0,50.42816821,26.47201157,2143.605016,0,1102.258692,209.661838,0.363881617,242.0019433,17.71794978,5.44902518,29.54306112,152.7615994,0,0,58.73803372,2.322482914,0,0,0.530623388,796.524279,125.1544132,4.955544439,5.240864414,13.56392088,0.58562851,4.371418137,9.360901414,0.691633934,15.92613896,4.01701753,0.218663983,0.020866317,2.416724386,2.96836075,9.118870143,0.774886719,8.780840178,0,5257.228992,59.12132562,0,0,7.693921839,131.6414928,0,1516.913064,2586.354157,0
14 Non-ferrous metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15 Fabricated metal products, except machinery & equipment",10.61523899,2.040993855,0.779120443,167.5020362,67.44338836,4.726708423,18.89441454,1.944650775,45.84477944,0,21.45400772,13.26137892,65.25738916,0,188.8708719,25.51842651,0.120163072,22.49496983,2.174262176,0.824596815,2.122138356,23.20112096,0,0,21.5038678,6.361350919,0,0,3.120029696,1726.220161,67.83890792,98.51605712,5.999264089,51.52762399,0.474057128,1.961086672,8.86573005,0.753695504,5.948291472,1.260511579,2.385266505,0.081259623,38.12820939,28.00700461,195.6062,3.275951455,24.37064417,0,2977.295828,974.0688065,0,0,135.3665011,225.8760714,0,446.5623117,900.7161949,0
"16 Machinery & equipment, nec ",75.67611949,22.3305725,22.89718321,46.21484316,13.70448169,10.798048,24.73907427,6.810772092,16.19830657,0,11.07249988,60.6689362,29.37913218,0,35.05881797,256.76177,0.007409107,5.753731471,1.18802897,0.47794797,3.722030557,21.04245982,0,0,6.786252978,61.08850576,0,0,58.99787671,188.3301335,24.74231539,45.3002677,10.68921844,21.69557316,6.529454115,7.415397691,6.587808357,1.024252415,15.58105714,3.904142405,0.513727573,0.111436814,17.7357342,1111.229404,3.460030229,3.408552475,24.51711002,0,2284.150416,873.5126738,0,0,3216.84728,135.2620591,0,476.8499331,4919.299275,0
"17 Office, accounting & computing machinery",0.137465684,0.00431577,0.012481306,3.860577025,1.295342539,0.347241598,2.04252381,0.306842421,1.266103427,0,0.823060977,5.940407454,2.688703648,0,1.511431046,0.192521,0.082929751,0.065432939,0.192564007,0.008989701,0.056016804,0.266015318,0,0,0.538916,0.11582394,0,0,0.014502096,1.03182335,0.567406676,6.289814696,1.753229071,2.334540435,0.470771736,0.898424642,0.512660263,1.160444031,0.308135359,1.677090448,13.79471532,0.224324721,0.695111825,13.33156197,4.5648878,0.21607369,1.709059119,0,73.31028342,94.20493477,0,0,725.5225181,36.22194639,0,3.429568779,923.0734086,0
"18 Electrical machinery & apparatus, nec",0.887506166,3.730234128,1.210968821,17.98530674,5.980286122,1.616616153,8.754533898,1.717727501,6.387076106,0,5.252864482,26.33095058,12.2622644,0,11.17657552,28.59353942,0.017953501,72.41537494,1.481998228,0.442477766,2.222879231,5.182226726,0,0,6.06580616,31.61673222,0,0,30.84209296,958.0055913,11.72890088,38.76830156,17.61038698,19.38567788,12.50429215,9.043505136,16.20000082,0.409836328,2.12778529,0.913823935,6.433712224,0.108389382,5.276810598,2.829350093,2.136832931,4.015594817,29.54456503,0,1419.217349,95.26706784,0,0,205.1095923,39.81129296,0,300.7303079,980.1868516,0
"19 Radio, television & communication equipment",0.735519402,0.058529921,0.068544789,2.076686811,0.479960017,0.152661849,0.71479887,0.471690796,0.570427432,0,0.25540341,0.710543414,0.411232008,0,1.024093624,4.032625941,0.741401655,4.073877426,50.70934549,0.168883749,0.1145714,5.266757806,0,0,1.30088275,0.692502533,0,0,0.283215481,75.25045293,99.13319827,4.498884584,1.75334697,3.152104413,0.391577739,1.158493463,80.07159799,2.17040152,3.406882394,0.572833088,5.168993777,0.20109034,29.12263403,2.194000337,0.60428194,0.879509108,14.97111504,0,399.8155545,190.5552074,0,0,1232.275224,142.0681354,0,162.626173,1614.268347,0
"20 Medical, precision & optical instruments",0.233824421,0.011561562,0.019823622,0.564275216,0.123010231,0.035326363,0.843311331,0.156226544,0.252571467,0,0.132312388,0.12717692,0.095694448,0,0.438625168,3.732740655,0.000384998,0.481406714,0.343193002,35.83232323,0.085878394,7.27130696,0,0,0.254012365,0.592399345,0,0,0.090897082,11.86418782,2.306780388,4.776832907,0.508745837,2.958090007,7.453825264,2.032895851,0.981590435,0.093164916,2.111462774,0.112787452,0.316675854,2.831273993,8.875198122,121.8982138,0.215973618,635.4577029,6.114641823,0,862.6283261,229.7209866,0,0,398.5276648,-178.6121807,0,95.22944098,1133.549409,0
"21 Motor vehicles, trailers & semi-trailers",0.732889876,0.457052886,0.637082985,21.15970955,3.660702156,1.578347355,7.360507634,0.172783777,4.263126329,0,3.538068022,23.8424312,1.120825683,0,5.536370978,2.114058192,0.008005201,8.624826084,0.172248418,0.250393777,28.78693428,1.026968628,0,0,3.230449705,0.318382824,0,0,6.141155116,3.088111184,171.3856712,0.687938625,18.04518424,1.318012879,3.189767368,4.118161493,0.695820635,0.270454572,10.30346325,4.453663988,0.052666426,0.028373013,6.363774773,423.4372499,1.367544715,1.740180725,36.48631914,0,811.7656788,3366.754639,0,0,1486.793475,-233.0700629,0,138.5411105,5051.787421,0
22 Building & repairing of ships & boats,11.39548306,1.435459869,1.944492173,0.289933652,0.069305778,0.017821368,0.083689799,3.413408368,0.098066867,0,0.034966008,0.082078829,0.078730808,0,0.382073895,0.297107952,0.032147697,0.233510381,5.034155552,0.007191026,2.616237582,73.62212514,0,0,0.096710789,0.101332093,0,0,0.062003001,8.741091565,16.08608602,0.43797567,4.909678578,471.5764916,17.93390749,5.9952459,3.835057013,1.817734974,0.66870541,1.466173877,0.163947929,0.006095014,1.144143226,0.66635979,0.142119052,0.320801987,1.45711225,0,638.7967591,894.9016074,0,0,2058.663762,36.02607538,0,288.243854,2573.848552,0
23 Aircraft & spacecraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 Railroad equipment & transport equip nec.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 Manufacturing nec; recycling (include Furniture),1.477268785,0.581175183,0.294141096,9.702823009,13.4535945,3.072335448,3.958178288,0.750078956,2.488789067,0,1.18195431,1.347950187,3.458508042,0,5.672714984,1.006279662,0.00487594,0.348026942,0.180783987,0.172678969,0.196993073,0.918784417,0,0,64.50089275,0.973986904,0,0,0.212021906,25.87861512,48.04543142,83.5296848,11.93669224,9.762613724,1.043717876,6.783756833,7.439100161,28.59757644,1.983926154,0.438079354,0.571043366,1.36959724,12.88660733,6.649040028,5.007484808,13.10729976,23.41102842,0,404.3961315,2068.584175,0,0,701.1421557,509.3340886,0,119.2252628,1750.896751,0
"26 Production, collection and distribution of electricity",116.6922034,83.83363299,31.37006795,288.2111967,105.3091888,24.61495436,97.3909601,65.32909717,69.56922012,0,72.62282972,228.1780636,387.4938516,0,96.17385739,26.08369687,0.130195092,18.89655359,6.006375083,3.879383341,3.834376396,32.6034156,0,0,22.80075588,508.1663859,0,0,57.93033316,57.40849765,782.726007,587.0163043,43.77876889,47.15851656,8.701962514,49.27817087,57.30567661,49.89340277,28.93052484,12.46306814,18.236315,5.549733736,85.45024847,125.781275,10.71243595,89.11247033,112.9213624,0,4519.545336,1709.7474,0,0,0.551168171,0,0,16.21465659,146.7151646,0
27 Manufacture of gas; distribution of gaseous fuels through mains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
