Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",307220.308,120.603,230.651,633748.762,5618.324,18162.324,2275.989,1426.935,3733.213,0,5111.291,1533.376,1206.47,0,2127.35,2107.19,344.169,1262.563,1088.687,413.369,1877.168,225.172,0,0,1950.677,12188.732,0,0,367.822,10507.188,54304.724,27484.064,2240.609,54.073,634.906,1464.649,973.601,839.377,5023.984,124.433,563.579,2014.231,4770.187,14231.151,1417.194,13072.681,7201.942,0,1151263.718,387288.722,90.139,22046.118,71490.123,118716.526,0,348100.532,197105.878,0
2 Mining and quarrying (energy),331.81,1182.29,17.841,368.09,73.877,36.109,121.079,71227.7,2617.494,0,85.705,1811.902,129.507,0,280.53,199.565,58.231,182.405,174.896,31.672,218.703,28.332,0,0,48.967,72839.351,0,0,21.547,368.905,712.98,102.89,1177.409,4.627,33.823,1160.354,127.12,95.985,231.601,9.686,86.738,14.853,506.014,88.103,94.546,97.249,197.203,0,157197.689,5356.929,0.283,123.597,967.4,-2377.807,0,5699.4,143507.491,0
3 Mining and quarrying (non-energy),1768.842,96.767,2488.112,2745.088,137.647,141.358,157.508,517.973,3870.045,0,903.389,22134.649,32739.51,0,1173.954,1160.528,48.814,399.687,498.607,187.123,719.406,22.097,0,0,118.883,1346.623,0,0,216.91,37261.931,1325.661,283.649,432.335,12.167,23.314,224.471,77.724,61.899,1271.185,6.503,22.552,41.562,293.199,112.428,108.429,431.876,1290.979,0,116875.384,2850.074,2.986,380.981,6767.005,-292.2,0,7357.588,48680.818,0
"4 Food products, beverages and tobacco",220350.557,118.752,311.941,251076.24,3433.387,1225.69,5102.693,1799.691,10783.745,0,4735.554,2560.735,2026.456,0,1915.554,3481.981,647.815,2620.455,1884.433,524.982,3011.99,347.163,0,0,1571.857,5166.847,0,0,319.033,6827.021,40034.052,131095.447,1857.326,58.029,973.161,717.298,1162.637,1004.774,5710.235,159.423,798.442,1276.883,9007.306,11230.742,1428.629,34791.473,5101.812,0,778252.241,1147558.386,39.837,8975.049,17835.662,89226.87,0,536948.423,457257.468,0
"5 Textiles, textile products, leather and footwear",1785.925,57.254,171.776,3226.089,202940.088,868.424,2489.286,952.676,2072.349,0,11050.084,1214.759,1242.871,0,1552.333,3315.854,1247.8,13847.712,2031.257,957.248,9805.785,627.371,0,0,28832.683,1396.207,0,0,347.393,6771.777,15764.204,3437.468,3632.009,25.949,185.885,983.821,1019.663,310.8,3060.749,893.998,841.605,325.018,5014.301,8013.333,4266.065,8441.215,8754.369,0,363775.453,209216.674,9.942,604.848,5460.849,-2992.908,0,450311.203,491490.061,0
6 Wood and products of wood and cork,5684.543,29.85,110.55,2685.423,1218.007,36832.963,1244.233,159.907,2219.814,0,1732.967,3687.951,2588.032,0,4596.158,2501.981,425.01,2603.217,1492.799,153.798,5296.982,637.321,0,0,15595.603,1682.327,0,0,113.784,77265.262,13405.854,702.933,1428.702,39.776,24.841,621.333,726.583,114.867,13406.941,984.412,148.007,352.517,7161.993,476.176,380.116,408.981,1700.2,0,212642.714,7371.458,2.732,210.598,10939.135,-1178.933,0,91257.364,103219.068,0
"7 Pulp, paper, paper products, printing and publishing",4869.742,71.017,289.071,46216.388,5810.306,5577.048,229577.078,4380.811,15153.208,0,8957.109,4815.883,3375.174,0,3641.79,8030.4,4470.756,6959.33,12730.25,2689.654,5755.292,649.012,0,0,6292.381,4020.804,0,0,825.713,10601.69,89973.563,4461.04,6475.606,92.455,1252.131,2498.213,9233.711,17816.091,43192.568,1200.683,12997.709,4702.341,83678.137,21108.778,17940.122,9643.247,23105.277,0,745131.579,136563.624,315.81,6418.471,6374.606,-2607.02,0,168942.653,322812.723,0
"8 Coke, refined petroleum products and nuclear fuel",64630.035,2877.686,2562.194,19765.984,2555.263,2816.393,4790.445,487774.232,182861.715,0,9026.032,22135.085,39938.306,0,4866.991,8255.751,519.885,3746.519,2370.627,1120.635,7632.658,853.049,0,0,4077.015,492070.843,0,0,1837.821,38522.408,56509.51,3243.982,117998.538,1003.237,12818.612,18575.43,3173.436,1892.279,7975.083,2778.711,2952.23,2038.968,7601.652,8260.555,3290.775,8250.687,14700.718,0,1680671.975,246554.297,0,11456.403,18528.763,39368.495,0,343549.754,1198706.687,0
9 Chemicals excluding pharmaceuticals,106983.639,309.441,2220.559,45054.359,19142.013,6659.9,16450.134,34323.677,226912.161,0,156438.662,18928.78,14413.254,0,10835.116,24333.569,2656.409,27512.343,22310.834,6947.553,14467.307,1494.834,0,0,7035.285,5326.942,0,0,2033.589,26115.674,44467.796,5415.081,9553.542,99.3,459.793,1753.33,1738.489,1340.611,17000.087,613.356,3382.542,3698.335,12404.242,8636.913,6498.355,84518.327,19278.467,0,1019764.6,207864.433,2.423,219447.704,11061.064,9523.783,0,834933.298,1104448.305,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 Rubber & plastics products,10803.244,164.256,344.488,49604.656,13602.923,6652.951,11914.481,921.697,21612.135,0,71509.492,6435.194,4633.384,0,10285.073,26036.944,5467.273,76606.029,52349.205,6830.443,76909.587,1815.54,0,0,7592.069,4275.043,0,0,1684.032,100514.015,49228.569,4826.37,14061.197,33.465,287.002,1459.651,1412.601,366.059,18871.743,866.738,1386.934,1780.224,18406.741,4280.476,4294.566,23632.69,10420.218,0,724179.398,39361.826,0.3,4727.427,18992.499,202.027,0,373649.878,515271.355,0
12 Other non-metallic mineral products,6607.777,47.055,4331.191,13436.189,1210.168,2285.537,1034.42,744.865,6018.864,0,3917.451,69239.974,7637.932,0,3694.171,6996.13,233.564,10313.817,16900.026,4138.727,23030.645,430.917,0,0,1709.547,4571.858,0,0,697.229,266156.651,13396.679,2041.329,2308.665,79.608,151.205,1084.098,860.445,372.141,33603.694,122.008,198.112,519.289,6851.293,1190.304,744.082,6121.59,3365.894,0,528395.141,24936.86,4.784,1896.097,25099.542,9857.099,0,132031.982,203624.505,0
13 Iron & steel ,5728.255,471.105,1012.935,7469.43,1131.597,5368.054,3673.061,1976.702,8876.767,0,9057.952,12511.9,200305.439,0,146466.544,91922.33,5851.592,62292.152,15170.98,5553.186,82010.716,5175.467,0,0,6000.121,4989.878,0,0,1532.136,52112.916,15463.808,512.265,3212.892,59.015,163.913,1719.184,578.546,681.937,5613.534,537.872,620.256,452.45,7478.914,705.212,479.771,1900.234,2675.528,0,779516.546,15358.083,17.685,2673.408,13241.328,-4148.636,0,415329.034,581284.448,0
14 Non-ferrous metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15 Fabricated metal products, except machinery & equipment",18940.3,258.365,966.348,23075.892,5241.301,6660.848,3415.787,4818.654,6880.955,0,13649.808,5122.351,14955.303,0,149276.635,79234.956,8282.086,47591.121,49322.78,3052.533,105224.452,5275.032,0,0,6201.434,27868.198,0,0,837.443,115074.754,35863.948,2996.204,3728.5,51.896,540.693,2143.124,2110.074,516.843,27518.268,1571.816,2101.872,805.942,8208.861,5219.792,2869.126,4657.282,5562.233,0,807693.81,43285.097,11.281,796.99,115763.291,-1976.289,0,355596.987,518211.167,0
"16 Machinery & equipment, nec ",12368.31,883.597,2396.686,11616.231,4186.373,2690.597,6616.213,12807.965,11844.356,0,8929.62,8572.389,10433.438,0,21411.641,105577.622,3232.478,23446.084,30872.628,3247.729,182181.778,2575.556,0,0,2359.504,11995.789,0,0,1396.051,38462.892,33232.355,1596.016,5216.216,34.577,416.872,1911.445,1072.494,1116.12,10133.514,741.857,743.266,707.996,8930.644,7461.854,1613.931,2873.141,6484.311,0,604392.136,88413.798,125.15,3173.111,456527.559,-4562.951,0,765836.455,895208.258,0
"17 Office, accounting & computing machinery",495.904,14.423,43.397,718.925,499.281,86.187,534.436,382.44,958.029,0,737.693,228.954,327.219,0,684.791,2522.578,173015.486,6761.509,111996.91,584.055,3617.734,292.824,0,0,439.364,585.019,0,0,98.225,2251.952,15339.607,359.44,636.946,3.001,224.737,347.126,2244.734,552.187,1301.121,666.331,9382.31,2148.182,2460.908,5339.543,971.412,432.602,1531.453,0,351818.975,11508.429,0.335,197.527,146445.83,-5745.956,0,683340.492,517931.632,0
"18 Electrical machinery & apparatus, nec",10376.285,326.207,1103.426,14488.512,20579.826,2671.593,4609.989,6442.669,8839.688,0,12142.221,4260.322,7080.319,0,17197.96,77255.946,26805.407,291428.903,337765.109,12057.775,133748.367,4908.771,0,0,4650.119,20935.999,0,0,1155.915,63078.482,48014.144,2410.561,12484.536,105.748,1214.697,3129.028,4085.299,691.42,10933.024,1026.356,4148.873,2097.099,9973.381,7060.374,3248.436,7611.885,8023.947,0,1210168.618,80542.58,8.109,6660.277,170317.914,10292.115,0,1084640.513,1161759.126,0
"19 Radio, television & communication equipment",2299.436,119.47,233.789,3796.282,962.643,692.662,2112.202,1835.687,3197.813,0,10007.931,1101.944,1420.596,0,8434.27,24410.832,212697.777,119916.613,1394053.083,9081.092,77676.652,1004.94,0,0,1110.917,2874.156,0,0,333.237,10705.285,30335.88,1414.849,2707.484,32.226,305.43,1343.973,9926.763,1741.889,3726.747,752.867,6597.821,1659.163,14957.793,7499.385,3900.514,3364.172,10949.623,0,1991295.888,149978.626,20.407,4417.901,223767.888,-12552.987,0,2763774.065,2289344.788,0
"20 Medical, precision & optical instruments",444.274,193.423,80.084,880.066,535.138,272.174,409.47,381.178,1158.587,0,972.105,451.014,558.966,0,1448.48,6965.843,1729.441,11895.27,98362.894,10591.983,33221.855,885.754,0,0,313.757,3154.806,0,0,514.098,3666.903,4408.524,140.491,804.085,12.095,204.2,267.165,1425.638,304.814,1490.363,351.172,995.942,1075.035,3485.228,1098.522,1202.047,20133.226,2121.982,0,218608.092,19804.865,15.335,18389.76,54978.807,1202.522,0,132197.145,247432.526,0
"21 Motor vehicles, trailers & semi-trailers",7096.083,143.328,380.806,2805.583,2458.578,471.005,896.117,1567.482,1658.356,0,2821.423,1397.225,5070.728,0,7048.583,32068.346,1432.019,15505.773,15507.886,711.003,900607.627,2973.023,0,0,582.202,2185.288,0,0,393.616,8869.422,49162.876,1396.413,25349.979,252.651,384.586,2581.936,2368.172,529.82,2085.029,709.047,526.725,260.176,3926.051,2158.73,443.582,666.813,7246.037,0,1114700.125,395267.611,0.186,377.363,326445.382,-18.927,0,2223224.561,1675627.301,0
22 Building & repairing of ships & boats,436.983,10.186,28.541,322.275,179.715,69.706,96.578,101.108,116.755,0,213.518,95.431,87.109,0,696.84,575.078,62.473,2562.205,443.611,512.698,2307.641,6388.977,0,0,77.998,227.076,0,0,30.278,1581.31,2289.379,108.863,28458.596,72.749,7242.294,1120.677,105.626,74.277,420.639,280.404,77.055,22.742,296.13,918.607,125.121,463.832,445.989,0,59747.07,8168.228,3.177,1086.45,33616.329,1751.421,0,59363.925,55870.6,0
23 Aircraft & spacecraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 Railroad equipment & transport equip nec.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 Manufacturing nec; recycling (include Furniture),1213.738,13.925,51.665,1864.707,20791.905,1511.164,2369.762,255.752,1636.8,0,6639.735,417.696,5977.171,0,2041.43,2443.14,480.973,2430.353,2665.117,251.906,6609.668,625.732,0,0,11494.996,612.631,0,0,241.271,6866.66,7145.878,1673.86,1009.982,36.201,104.052,649.671,364.436,1218.731,4566.334,1045.417,1175.601,935.32,2938.496,2275.573,4986.157,2390.538,5453.32,0,117477.464,129142.734,14.522,585.041,32268.548,3332.233,0,137215.556,169703.098,0
"26 Production, collection and distribution of electricity",45330.007,859.191,4426.155,58991.811,10355.537,9198.849,23044.09,32042.894,76210.238,0,19779.787,34622.927,47082.03,0,16459.535,20594.704,2016.258,12118.845,14302.067,3912.194,22362.018,2856.893,0,0,4280.917,143844.782,0,0,19154.205,22666.7,66415.242,21005.023,39653.314,111.578,630.32,6534.191,15542.769,8024.125,26336.771,743.611,2681.103,4115.39,20489.315,44749.489,29234.02,25821.216,37411.431,0,996011.542,524609.779,36.16,65385.499,41611.466,-37.56,0,59595.323,133724.209,0
27 Manufacture of gas; distribution of gaseous fuels through mains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 Steam and hot water supply ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29 Collection, purification and distribution of water",1595.051,42.306,240.61,5599.59,574.535,247.898,925.653,2181.51,5228.999,0,725.271,871.949,2659.139,0,867.599,1002.31,86.026,424.466,787.374,289.644,1621.422,152.538,0,0,295.781,4266.927,0,0,2297.563,1234.603,3708.305,2482.747,2003.621,35.537,42.767,561.157,327.584,1704.948,3687.504,59.223,198.017,330.805,1802.6,3164.351,2932.923,3687.577,3727.472,0,64675.902,81174.037,5.343,6882.782,10441.971,13.189,0,1399.515,1202.739,0
30 Construction,9656.087,439.919,4464.078,12793.256,3202.822,2014.114,6671.142,9143.307,8117.234,0,3351.03,20293.811,5491.88,0,16774.482,17370.244,1526.373,6757.686,8226.77,1273.348,11963.85,1819.392,0,0,2073.548,20454.355,0,0,6693.888,57744.863,53972.042,12720.434,11371.649,219.324,1779.304,22921.262,11204.081,10159.636,74649.87,318.83,4246.562,2168.301,15671.332,16653.004,18086.436,11594.176,21742.355,0,527796.077,68283.235,81.727,11297.363,1819483.691,1654.333,0,76864.088,80447.514,0
31 Wholesale & retail trade; repairs,105371.281,1135.276,3800.666,141920.404,20918.018,20429.974,44062.271,21361.768,48036.938,0,25368.158,24105.859,43610.245,0,41139.343,58739.315,11547.389,40103.684,37563.52,8209.122,40392.757,5885.715,0,0,22054.325,83542.868,0,0,5239.834,194702.633,237977.152,38622.505,71946.128,741.846,11588.529,13397.518,28517.808,27030.311,71316.211,4338.273,20874.156,5991.343,96580.937,30204.208,20983.225,46291.445,82598.755,0,1858241.713,1860695.75,1202.261,121899.037,373192.318,28134.54,0,551730.869,262687.488,0
