Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",32907447,10108,775,187421318,8294869,9740949,1281931,55,2794547,1263007,18041859,70162,0,0,9863,562,0,0,0,31415,0,25758,0,0,2181580,14,0,0,0,9254686,61990,32572802,10877,61860,0,0,0,25,0,0,0,0,63481,823305,286046,8089552,674256,364822,316339921,187816259,0,0,1276608,-3769843,0,17383787,28167072,0
2 Mining and quarrying (energy),0,28839042,144352,223100,8427317,32380,169203,90607838,31306842,749,4551217,5748145,3965059,33427,631568,3517,0,4563,10271,7,3027,1,0,324,1220,12654457,0,0,0,4043,0,11611,28389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187401669,0,0,0,813676,3028649,0,145024547,69807807,0
3 Mining and quarrying (non-energy),0,0,7744363,199743,285708,0,0,237,7525729,35,104777,1061185,1870732,22077559,867105,12613,0,3857,15522,15454,4976,18465,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673673,0,0,0,42482360,0,0,0,0,2384139,0,45831392,4563736,0
"4 Food products, beverages and tobacco",22025300,0,0,89034820,3291736,245822,298883,0,1532837,383800,9661,3400917,0,0,4176,22,0,6412,26893,7,0,0,0,0,164587,0,0,0,0,31559213,229279,53832194,68418,1428907,133100,48005,7799,101236,284863,0,0,0,61451,1973449,0,7531879,2720329,0,220405995,345241656,0,0,0,-5627585,0,71413088,48443461,0
"5 Textiles, textile products, leather and footwear",394343,61219,30112,148666,78164715,451954,233678,95,1403354,70730,27659410,97564,154,410,546786,353667,0,1418772,2029322,104813,244698,6947,4891,114885,601570,5996,0,0,6124,428355,2409198,2294512,226654,117657,18686,96703,69038,30533,115812,0,0,0,216221,654114,989223,216515,1254435,8295,123300826,66185027,0,0,134641,8701771,0,97887788,38054148,0
6 Wood and products of wood and cork,134094,0,0,138449,110831,6057517,83821,685,36457,1,47194,32555,0,0,932932,43627,0,12218,251367,13401,29123,122414,95,36466,6113882,0,0,0,0,20894888,936592,15634,7794,0,1495,13815,774,0,4567,0,0,0,1278,22077,91497,253,79921,2486,36270200,2729526,0,0,0,282828,0,24788773,2095402,0
"7 Pulp, paper, paper products, printing and publishing",198319,85080,49412,5133931,990386,169696,31337219,1166,594998,197412,468184,439885,18366,17486,124440,146884,0,287722,1487998,4571,59156,144,211,77465,149280,158691,0,0,33062,1307598,9492855,168125,515339,98260,150696,133952,759804,1997658,262013,0,0,0,1029053,3385286,13974991,93028,284123,3548,75887493,11511166,0,0,0,1619573,0,24729311,17933223,0
"8 Coke, refined petroleum products and nuclear fuel",4056787,600136,1311507,4899611,7203064,1775475,3817107,3876983,1507222,128413,3457930,3510562,1944787,664262,2664827,173867,0,759527,858693,65208,174792,61476,84306,574378,374480,23769106,0,0,65458,34440818,10307025,665653,32097871,16552320,9162595,409856,223300,596168,122855,0,0,0,941627,3444183,1437593,165474,316262,28377,179291941,30789613,0,0,0,3012615,0,99469736,79565970,0
9 Chemicals excluding pharmaceuticals,21578038,308371,2084468,3430903,17041241,2365832,6427728,186640,15645996,2475783,9579657,2142522,1750744,117933,8183154,528712,0,8261953,1993674,202030,298552,71630,37577,282171,1013855,39808,0,0,1206632,4917435,1446526,949987,207928,141116,14049,30358,7206,172635,36902,0,0,0,695599,1394085,3656730,670398,1452935,0,123049493,25843206,0,0,0,3249572,0,28297147,75408680,0
10 Pharmaceuticals,560718,532,9237,455192,108159,5148,7944,12363,204602,2478638,215191,9649,1316,0,6208,10058,0,2069,20242,110,487,0,2164,67,2805,0,0,0,0,10839,20450,56263,143145,44964,5810,10819,4779,0,0,0,0,0,102054,464508,183272,5805918,24444,0,10990164,12219594,0,0,0,155713,0,1890231,7681024,0
