Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",1627.439991,0.227873566,0.268706966,4297.231064,0.922617427,125.0937056,1.626616636,0.57094981,10.29391569,0,0.58007886,0.756586222,0.076899511,0,0.339335006,0.49796706,4.482158621,0.989089986,0.186682428,0.824682499,0.110699192,0.079373206,0,0,0.025728022,0.332437375,0,0,0.091140192,75.89959402,14.93645382,257.3004109,0.451354465,2.000675412,0.921357673,1.340644581,1.527747607,1.519183536,5.673306049,0.877448824,3.666950144,1.486694313,8.904566555,12.78206356,47.39738845,21.25846913,10.84692117,0,6541.839529,1147.621552,0,0,6.860558042,28.80833788,0,700.1038688,1061.397,0
2 Mining and quarrying (energy),4.0098537,110.030668,11.36950405,5.761470738,1.291693069,0.168766053,0.399027729,1047.996947,7.334326139,0,0.426738671,17.37615764,122.1455557,0,0.208265701,0.256054814,0.600315814,0.214505478,0.122996691,0.330776733,0.049627954,0.754008112,0,0,0.01532637,508.4092653,0,0,0.076834076,3.613951326,1.757881396,2.304578211,0.621210238,0.026063757,0.07322437,0.47244003,0.487988039,0.44283852,0.729997642,0.29151846,1.714826464,0.216062476,3.172398672,31.68651446,2.089379065,0.487977694,1.550033023,0,1891.087569,196.18311,0.004607681,0.341715273,44.06949694,23.26459142,0,290.7822901,1734.960449,0
3 Mining and quarrying (non-energy),27.42719539,2.680807394,116.0881304,5.816352678,0.144622147,0.317690847,1.039120664,5.09049085,18.87606708,0,2.204807554,110.7185683,6.908652372,0,1.492572024,1.322282345,1.053923183,0.750881925,0.835187191,0.789172146,0.179307733,0.055593385,0,0,0.017749901,0.713314204,0,0,0.082788063,542.7589334,3.746651925,6.344196446,0.841903228,0.023158017,0.56700465,3.264978074,2.402116791,0.179623786,13.41866023,0.090496278,0.312061606,0.034677417,1.874507479,4.196284455,0.387963901,1.655876503,6.886952624,0,893.5913246,8.992310941,0.057947184,0.016440458,87.72602184,-13.11023727,0,121.3312847,131.3943427,0
"4 Food products, beverages and tobacco",907.9592923,1.640572409,1.889907078,2005.493572,1.836308848,3.312079359,7.006374155,5.352198661,118.3117446,0,7.214936387,8.269437174,1.792471036,0,4.40315305,4.631660472,12.63985844,2.350275405,5.682678845,11.28255364,2.160726207,0.654832242,0,0,0.233494819,13.68995584,0,0,1.797399963,93.77989454,115.1000807,2745.795674,8.748878771,2.117199663,14.03439247,17.5396907,32.08659269,21.63028143,12.50808268,4.127996201,41.23669319,3.407826842,85.26067416,50.29787798,9.589007518,63.96078612,63.87778587,0,6514.704899,2922.231833,78.87569765,2.038385526,66.29111157,8.969643058,0,14104.98911,4644.6315,0
"5 Textiles, textile products, leather and footwear",13.49029248,0.43361062,0.655901302,2.014533603,192.125147,2.643553258,10.12396364,9.614505835,12.91652144,0,1.499625253,1.722124154,0.110607487,0,1.50341541,0.572131715,1.410515822,0.135632103,1.642967113,5.884313372,0.274977677,0.118564126,0,0,0.090789965,0.447948668,0,0,0.033323283,143.6351518,51.92267543,56.31920227,2.90344333,0.061363918,3.447871052,1.741886647,7.055380298,6.48575981,20.21354089,3.03493833,9.769519437,4.568188551,29.54315406,60.58096116,1.500310215,32.92476088,43.17125156,0,738.344325,1749.446744,0.026580419,0.026759801,2.086679147,96.40739384,0,747.7012085,2713.888615,0
6 Wood and products of wood and cork,3.298184286,1.15200937,0.129417305,24.57227215,0.674960131,245.6363209,6.12810093,137.9482274,3.488405518,0,20.3463947,7.29341383,0.441685436,0,4.50928306,1.558328847,1.252882928,0.146741442,3.882062688,1.985634287,0.278944522,0.032127424,0,0,0.009455913,1.364239846,0,0,0.070345122,894.6041403,5.275118607,16.14375251,0.781007887,0.094393876,0.547751269,1.410641161,4.025817747,1.384945214,59.88054168,1.3366237,2.181886494,0.366346312,8.095132479,2.042820854,10.29464231,2.770101933,4.364413401,0,1481.799516,55.48293013,0.023239445,0.013993029,2.040033465,43.39882946,0,383.2770828,778.8172582,0
"7 Pulp, paper, paper products, printing and publishing",34.67755908,2.510183392,2.180680183,339.6726416,5.737477082,11.90786166,953.6212433,25.66522455,159.3414465,0,12.09547584,31.30421972,2.586253146,0,9.613223978,7.739647814,57.09192388,7.744531522,22.57455628,40.99414579,2.552218989,0.75142968,0,0,0.468833911,22.20789048,0,0,7.225650515,302.9157262,89.81744878,92.89789786,18.43443882,1.187088162,11.85606683,33.67683111,32.10240405,97.6732486,47.46550794,11.5468188,155.1715125,8.092362461,282.449102,100.0815648,167.7468728,112.3455739,71.29269098,0,3397.017476,1007.111247,0.330349211,6.893402622,94.15966292,39.87232177,0,11765.87861,1705.98405,0
"8 Coke, refined petroleum products and nuclear fuel",165.8564801,8.243552841,40.63965771,98.93629874,3.218585951,8.579026096,4.218168358,393.2815136,13.11116488,0,28.75450494,41.35995449,46.54929955,0,10.15131363,9.500058975,5.223469134,5.947871045,3.664145345,11.12826271,1.617781482,1.030157745,0,0,0.227021795,621.7054604,0,0,2.338376442,502.0372872,144.7609165,80.02223403,236.7718835,14.8778992,310.2968569,50.84042936,21.7358588,26.73778806,14.8491695,23.91098515,42.65053559,2.419306626,84.30326774,119.6287618,54.55821979,172.2971472,33.35589534,0,3461.336568,1732.510724,0.020771622,0.016587349,170.3045198,-23.67209002,0,1150.34631,3750.430032,0
9 Chemicals excluding pharmaceuticals,495.7443875,14.99951809,10.7932402,199.7463383,33.84153216,46.84218702,123.5000661,10.20981384,3688.315378,0,94.30443808,39.38020163,22.1725316,0,15.32558453,11.66387159,80.99898114,11.38354539,131.0839054,221.3324058,5.172666535,1.110928665,0,0,0.792745117,9.236828908,0,0,7.251280561,405.8077166,38.40232425,51.03457671,4.752244365,0.24280818,3.146370512,7.733644978,9.489549294,7.095970064,19.21228408,3.420483424,23.98808207,5.251956534,57.71734299,73.68712129,34.37970006,1110.242981,110.5427267,0,7241.350259,591.3538811,0.273248158,2.222729977,40.16482226,195.513278,0,29901.37936,7618.128014,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
