Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",1712.135797,0,0,8863.860758,26.12525368,5.673123776,0.138629435,0.177817163,29.18150596,2.695461307,47.3221652,0.085367333,0.00025054,0,1.004391384,0.024467572,0,0.012881773,0.149245491,0.81537014,0,0.889453114,0,0,6.371507463,20.15139318,0,0,0,252.953897,34.99554117,601.1391286,1.052194489,0.715956092,0,2.189273393,2.498016145,5.482715686,22.36323444,0.003776648,2.744379023,0,15.05142644,145.7191147,162.4457854,125.167642,76.69540815,0,12168.03233,8324.606359,0,0,402.66728,125.6153147,0,3849.222449,4815.610558,1056.234304
2 Mining and quarrying (energy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Mining and quarrying (non-energy),128.6189573,0,356.988856,41.48288232,0.362492696,0.306855029,0.648429953,10818.59115,415.7688942,0.53523244,4.276354252,951.2080748,19.23192278,0,4.001128117,7.115354634,0,1.455637862,19.60262535,2.193758058,0.067324633,0.813647922,0,0,21195.25398,3265.254369,0,0,0,1353.086571,11.18220973,1.206792356,5.95062283,0.171369668,0,2.569586685,3.210822492,6.086634124,11.7904405,0.120959877,2.448954157,0,7.968609158,43.59206463,7.84689225,3.756059046,5.181684393,0,38699.9482,38.19748888,0,0,90.40072829,495.0201731,0,2678.566758,38313.16011,291.4206613
"4 Food products, beverages and tobacco",1448.486385,0,2.423807813,4706.199163,17.67463294,0.420821403,4.71566066,3.276294196,110.2358943,29.17764728,3.032700703,0.608283397,0.291363761,0,18.64257133,1.292618334,0,0.233040623,1.789842561,1.259741422,0.083338893,0.430192776,0,0,1.423396815,0.637314294,0,0,0,6.986072296,78.15719491,3306.305529,1.062395575,126.4850295,0,7.657637061,1.805361962,6.119084324,8.178249911,0.019828622,45.98578745,0,10.58862474,77.24268341,307.9887149,302.3313725,108.7741088,0,10748.02239,27770.41428,0,0,8.636103048,388.0722229,0,3619.648814,7176.690658,-1441.06717
"5 Textiles, textile products, leather and footwear",42.92901473,0,9.64075775,33.11756536,2333.857227,3.402742939,118.4887137,6.79887327,74.59267503,5.762269267,129.8464774,5.129137085,6.040164218,0,26.64510952,41.64949592,0,4.950841363,7.062300002,30.25918403,9.747723171,3.561577948,0,0,90.49048847,4.297286145,0,0,0,5.855498216,41.35969305,166.9240311,9.851399407,2.764047515,0,4.229406573,4.679821137,15.46108791,6.935932504,0.496628556,2.8736739,0,22.26736666,403.6310133,13.55593341,542.1603606,91.65201188,0,4322.96753,7169.195721,0,0,25.82111546,196.3983644,0,3612.832182,7924.524804,775.0321632
6 Wood and products of wood and cork,65.5357091,0,6.070640379,49.44011876,16.71948644,628.7537117,27.58907079,1.05185272,36.08785759,8.558806468,30.17726835,39.97128351,16.08866068,0,59.57399508,21.32926479,0,13.3879129,6.347488242,26.20483623,7.480440587,1.33940803,0,0,939.0787028,3.699532536,0,0,0,761.0910382,24.85472583,2.929613359,1.650251417,5.662029362,0,1.556784156,2.876846435,6.324088077,4.292343909,0.231057833,0.94017601,0,2.849103516,23.18243349,1.575089989,4.062024933,1.574700928,0,2850.138355,109.7255551,0,0,77.65611848,56.72236445,0,212.6891386,1518.908558,145.2133972
"7 Pulp, paper, paper products, printing and publishing",437.242692,0,9.065347395,601.0146727,91.05022825,14.20494521,3436.881365,32.62564384,196.2836322,145.4575623,203.1397469,48.68714639,11.20314877,0,59.06092018,48.76542267,0,10.74253167,115.0355576,151.371408,3.988034842,11.65441909,0,0,61.67269066,17.61686291,0,0,0,103.3914113,943.838234,155.8981497,32.82803006,17.68063142,0,186.9129803,111.1816234,426.1961001,70.0815105,18.08580847,344.2137313,0,1611.284175,434.0011079,502.8042185,231.6772132,597.6132342,0,11494.45214,3240.522048,0.145083683,0.378941451,200.8127724,149.7427429,0,1319.780823,3656.520126,-1196.841585
"8 Coke, refined petroleum products and nuclear fuel",530.7065876,0,115.3432424,199.6689992,673.5040617,28.31797022,122.39117,3621.122588,693.4518176,86.38386872,2752.164032,202.8797979,42.84405614,0,250.8119476,58.1092184,0,96.83723256,716.1577396,107.517405,3.335200168,7.658348741,0,0,328.1215426,1575.293951,0,0,0,302.570942,459.4849623,49.66039258,2261.116362,1755.987955,0,141.1783308,106.5352729,112.9296026,20.32981699,202.6891539,314.0096979,0,172.0372665,1154.376671,378.6162407,217.1245157,447.6426557,0,20308.91062,7879.594878,0,0,0.915848421,356.3438445,0,4739.237552,13266.80924,2695.776458
9 Chemicals excluding pharmaceuticals,1194.718657,0,72.22593058,467.6057529,131.9601536,28.78752007,269.4394058,1781.892855,3693.09499,926.8258729,407.4196394,138.3598475,80.35425352,0,261.0517527,116.0685036,0,36.27004611,269.3539741,177.4031582,9.99983696,48.49634946,0,0,82.58324122,85.61919213,0,0,0,624.5779885,193.2058606,39.19611507,22.79636287,20.78623354,0,14.24423889,3.720423191,61.76214486,8.425153028,2.224364457,211.2685668,0,293.1886684,362.3216541,38.38912448,445.1967912,491.3967527,0,13112.23138,3686.709484,0.031879374,0.083265162,22.37315002,94.50719386,0,12298.45544,10350.09575,-4320.22194
10 Pharmaceuticals,51.38215628,0,0.046249528,79.98138934,0.91685236,0.796805469,0.701186591,19.22013401,439.7611056,1663.657641,8.524374109,0.121082592,0.401987653,0,0.268197405,0.954680392,0,0.037912346,12.55428395,14.79687065,0.003638836,0.048237136,0,0,0.053313915,0.278486364,0,0,0,0.371974385,0.417432741,0.081672965,0.054965716,0.020414557,0,0.383208496,0.227993201,0.358263226,0.156523329,0.006600326,45.47072807,0,2.62719978,90.18865871,13.15868469,5330.591277,8.898901394,0,7787.521084,2215.374748,0,0,0.030927339,3.832497344,0,5400.029178,4776.337041,419.9070564
11 Rubber & plastics products,404.724239,0,36.132034,1204.678003,211.0899871,22.26980101,179.6941005,86.94042848,304.4818054,208.0114755,776.2169805,88.36743304,26.82020053,0,241.8413313,177.142584,0,152.9453549,212.2941533,233.0417506,27.23961328,30.19931579,0,0,212.8927666,39.97652915,0,0,0,605.310386,1697.624356,98.63265738,266.8465626,12.1120266,0,19.92505819,25.30146199,50.55273463,4.683347343,16.11258391,93.48480597,0,65.45464292,273.8340406,52.16888393,168.3638139,165.8722022,0,8493.279451,788.3696315,0,0,734.3426446,186.1976303,0,6344.270096,3111.574822,-2105.946848
