Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",5322.42,0.865,1.487,26267.012,1106.328,374.046,162.297,0.506,170.034,0,222.065,27.057,20.829,0,151.922,75.46,0.338,10.574,4.89,4.429,7.47,9.107,0,0,96.225,17.609,0,0,4.595,57.543,3193.23,2751.626,39.381,166.311,2.851,185.401,18.986,8.837,364.377,3.992,15.019,14.198,73.442,31.181,0.733,393.133,99.048,0,41476.854,10976.202,24.115,295.026,159.823,25.975,23.859,4280.255,9858.86,0
2 Mining and quarrying (energy),0.745,0.165,0.685,7.3,11.522,0.791,4.973,28621.206,90.909,0,3.736,44.445,538.215,0,11.211,18.216,0.356,3.404,1.258,1.575,5.647,2.525,0,0,2.878,14743.628,0,0,1.259,23.781,69.618,5.292,7.429,0.429,1.115,10.896,6.889,5.355,9.303,1.211,8.541,1.774,45.802,7.928,1.606,6.054,10.73,0,44340.402,22.978,0.111,10.283,93.53,-97.837,0,71.788,41303.955,0
3 Mining and quarrying (non-energy),7.076,0.87,425.53,37.915,13.509,3.847,138.167,11.091,343.616,0,24.264,2919.46,1326.526,0,132.393,53.967,0.658,8.865,2.432,10.294,14.198,8.96,0,0,54.619,65.673,0,0,4.122,1337.35,522.686,11.575,8.054,0.451,1.485,18.834,6.293,5.683,15.242,1.935,11.638,1.179,49.721,7.667,2.253,5.984,16.836,0,7632.918,66.528,0.006,0.991,33.427,-34.367,2.078,598.289,2507.459,0
"4 Food products, beverages and tobacco",4240.836,0.917,13.6,20038.039,2258.717,13.495,128.76,81.759,1488.602,0,79.265,62.054,55.42,0,68.997,122.643,9.056,35.316,24.311,22.777,42.193,16.506,0,0,70.248,23.869,0,0,4.328,113.658,5320.687,20184.19,92.138,565.557,30.119,132.899,31.727,19.294,28.355,5.983,31.457,13.352,165.639,114.091,20.798,1496.94,195.501,0,57464.093,54814.889,0.415,82.722,273.709,-731.481,4.035,14623.484,19891.53,0
"5 Textiles, textile products, leather and footwear",163.93,2.706,5.384,105.487,32424.366,95.367,385.019,132.283,379.469,0,562.187,114.462,157.465,0,381.939,306.482,6.853,78.577,21.978,48.142,778.719,157.116,0,0,1154.12,98.538,0,0,9.113,425.38,5096.559,170.052,191.229,15.769,25.533,154.024,53.529,20.795,25.146,19.249,39.558,8.361,470.904,180.587,7.29,464.713,378.004,0,45316.384,36514.868,0.491,105.96,505.143,144.167,0.626,33246.875,20882.684,0
6 Wood and products of wood and cork,24.629,0.997,27.727,337.213,40.834,4958.917,127.442,5.675,98.336,0,163.507,257.947,46.318,0,650.474,248.104,2.259,47.077,7.63,14.006,113.756,198.843,0,0,5898.067,23.41,0,0,3.979,2918.33,414.537,33.632,77.389,5.334,5.22,29.805,11.654,10.809,25.937,5.306,16.325,2.845,116.182,86.612,1.628,43.528,156.515,0,17258.735,1792.799,0.119,46.509,961.779,71.972,0.231,1688.482,3806.88,0
"7 Pulp, paper, paper products, printing and publishing",28.414,7.613,26.499,1613.235,726.136,138.216,9461.992,61.347,1162.162,0,542.369,463.838,257.143,0,513.965,901.567,34.593,472.125,39.757,88.685,182.459,116.489,0,0,643.767,270.2,0,0,24.967,733.661,6952.784,762.992,561.27,37.908,74.991,1250.9,1181.351,578.548,111.297,131.507,439.411,268.446,2646.462,1061.272,9.621,418.19,787.268,0,35785.417,10086.311,7.661,45.582,481.566,-312.879,0.39,5198.319,5873.432,0
"8 Coke, refined petroleum products and nuclear fuel",918.641,3.433,137.752,340.647,231.376,70.956,111.897,2949.999,1292.926,0,92.275,887.164,1037.069,0,243.77,212.969,2.91,97.543,15.849,21.049,44.927,31.304,0,0,105.144,1381.995,0,0,12.71,1349.429,4159.94,518.895,5510.457,131.818,1152.003,532.234,226.273,192.048,73.075,207.139,171.907,11.101,1248.957,410.783,81.247,269.125,455.859,0,26946.595,15773.298,0.018,3.639,55.613,-615.933,0.013,8181.198,6187.021,0
9 Chemicals excluding pharmaceuticals,1080.993,46.387,153.468,1623.751,2558.896,368.884,1962.087,1522.286,24982.983,0,7360.117,1151.852,1417.922,0,952.746,1168.189,105.424,843.272,239.968,809.661,474.932,212.937,0,0,861.41,567.858,0,0,236.233,967.426,2649.224,415.528,158.012,27.913,51.19,120.236,190.607,42.554,46.004,39.335,143.43,463.292,811.277,420.042,11.031,5020.358,1106.459,0,63386.174,12059.733,5.948,7295.335,286.535,-62.446,0.502,27901.933,39861.875,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
