Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",1497272,92,172,7239212,44642,399008,5887,529,41444,19300,133770,740,15,245,0,0,0,0,0,0,0,273,0,0,96015,0,0,0,0,120441,9612,1057813,0,0,0,1995,0,0,108,1755,0,20460,21,2180,4182,225210,58062,0,10980455,3521459,0,0,207178,342970,0,69954,2259342,0
2 Mining and quarrying (energy),0,52,0,39,25,0,10840,10243829,47272,87,171,35836,82851,2937,293,18,11,153,0,0,811,0,0,0,18955,2431016,842365,1139,5,21,0,1064,67,0,0,0,0,0,0,0,0,2973,105,22,3158,287,452,303,13727157,63,0,0,0,-20894,0,106,13597314,0
3 Mining and quarrying (non-energy),132,0,2985,0,23,3,13475,20294,44164,916,516,396508,724116,898113,1091,1054,0,0,0,98,0,0,0,0,74161,0,0,0,0,464157,0,0,0,0,0,0,0,0,0,0,0,0,0,629,0,0,273,763,2643471,98,0,0,0,37255,0,16749,1801541,0
"4 Food products, beverages and tobacco",1219441,0,0,5298965,38077,455,23065,77,54427,59437,747,3596,25,0,0,0,0,0,0,0,0,0,0,0,5121,0,0,0,0,0,13228,6077175,0,0,0,8781,0,0,0,0,0,18618,0,9878,2976,712373,20108,958,13567528,28292339,1505,411036,0,-64389,0,273456,5532003,0
"5 Textiles, textile products, leather and footwear",63184,190,7015,44719,1296086,7955,75779,4385,16387,5537,62461,22171,12712,10337,17682,66555,4261,85223,15129,18031,82964,9367,900,3555,56564,4390,10749,13,1850,160223,272230,81593,35356,20632,6276,23277,32512,48345,1636,26370,33551,7209,52742,80533,2892,155216,200917,70447,3318108,5471404,0,0,294915,-212939,0,626146,4351330,0
6 Wood and products of wood and cork,19966,89,950,22714,3267,526326,274009,1,2238,0,5467,33917,6334,18823,19883,22999,699,6589,2185,2589,7749,18613,79,3452,286743,447,24,0,0,2501037,64143,20040,30,572,23,75942,683,2077,208,559,213,501,14032,2299,0,378,18802,6557,3994248,54438,0,598,19014,-36216,0,14162,1087027,0
"7 Pulp, paper, paper products, printing and publishing",144299,379,1981,910577,94129,50769,4955478,3007,352996,148298,103362,151621,23810,18306,102719,182814,64363,304078,96100,36507,78918,7388,5567,7677,195144,62127,23148,933,8736,314362,1203806,162771,87142,8636,5787,198251,195912,746704,22613,38758,364887,580609,2548343,618175,303222,430229,671167,819747,17456352,2243013,0,38045,1535,35185,0,367582,678797,0
"8 Coke, refined petroleum products and nuclear fuel",331701,1272,123031,320223,52875,34638,262421,798624,2018224,15222,62376,224303,701522,74831,94969,143158,12035,87677,10534,13184,96552,6947,2438,9347,702826,708717,122462,10811,6667,1465277,1372764,198098,1830106,392869,371532,43889,82630,88816,121376,84921,120845,229414,184836,509426,160463,405294,569053,91832,15373028,5285198,0,0,210190,-39491,0,713207,2842387,0
9 Chemicals excluding pharmaceuticals,475119,93,9591,316247,478858,118473,522330,62043,7712282,505127,2643058,191673,143484,77339,110000,187847,72557,352729,56323,27420,480951,33801,4217,12814,213087,10345,10596,0,15482,292483,79903,89031,6391,773,752,10378,8694,845,1274,29590,17010,161669,96455,16023,8729,189408,297585,112080,16262959,2251049,0,0,0,263495,0,4690915,3063077,0
10 Pharmaceuticals,50774,0,0,7581,0,0,0,0,9036,239248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,177,0,0,143,0,45,6,0,1727,0,0,0,0,4876,16,11350,1263,5734034,22475,5806,6088564,598583,0,0,0,19854,0,289984,932432,0
11 Rubber & plastics products,109049,415,6349,625119,90467,17899,478804,5747,231096,186215,2763312,43003,29898,80368,72291,794065,174888,786187,391039,143893,1749564,48941,37978,48266,414325,241,35,2,85820,882770,611508,39474,19905,9302,2140,60388,6594,85065,29397,9363,119975,76015,56194,64490,2849,106083,234382,114240,11945410,784422,0,1981,0,101954,0,1888020,1066757,0
12 Other non-metallic mineral products,13948,126,44,150323,3341,27602,10423,6923,76023,67045,68255,595102,192282,45972,47351,170846,12799,565255,13349,87873,343230,3790,18343,17264,97427,942,239,0,6371,3620400,88759,114723,2778,651,144,56,1,664,2745,7,0,26797,1044,7957,24413,54123,45122,29716,6662588,298098,0,0,0,-9072,0,720688,536149,0
13 Iron & steel ,1106,488,1144,0,323,4939,0,3660,1445,0,30198,61704,12167631,7916,2417677,2477630,32200,553318,73423,51356,1680856,486508,4056,171663,364893,0,0,0,14,1522294,3271,772,0,12,0,17084,0,0,0,0,0,0,0,1058,0,354,3311,29106,22171410,54,0,0,0,395155,0,2848796,919641,0
14 Non-ferrous metals,0,58,138,53449,621,3139,16960,106541,108686,6592,23000,33402,217917,2276066,739998,807085,40584,1378895,193239,92522,933192,40290,18543,31304,148282,10969,0,0,988,585787,6966,14143,0,374,0,259,0,0,0,0,0,0,404,6411,0,58416,5951,16050,7977221,79524,0,0,0,127516,0,1167370,2486232,0
"15 Fabricated metal products, except machinery & equipment",14952,2475,16454,587402,15177,46162,16162,19189,152068,71137,100846,70180,20708,14671,694891,1188660,50668,537795,129440,72042,372775,114747,1847,45516,205235,9914,4380,0,2907,6010427,248061,73373,23490,8001,326,36634,4760,2767,18605,7665,3152,660,5594,137086,1686,15910,55611,21360,11253568,407695,0,304,369105,199933,0,699200,664755,0
"16 Machinery & equipment, nec ",85381,3718,14101,150118,27805,32385,53558,80515,189929,29449,162859,123566,186664,74144,164695,7403321,43108,445210,77344,52882,548694,150835,5138,72794,33606,584268,7278,1781,28557,872897,56814,55855,22963,6893,61165,30600,92254,89716,29634,833964,124330,144691,71158,700507,86429,98188,346198,13414,14571373,2556568,0,35,13667939,390874,0,8764173,3069187,0
