Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",2853694,3542,557,24276870,497012,810083,1888,0,20244,284011,541467,0,0,96,0,0,0,0,0,0,3385,0,0,0,21615,0,166,0,0,409609,0,3562489,0,0,0,0,0,0,0,0,0,6957,0,166558,2542,266251,18681,1243512,34991229,13254283,0,0,333359,853931,0,544328,7031694,0
2 Mining and quarrying (energy),0,0,0,0,0,0,0,45904536,14354,0,0,352558,419591,10079,0,0,0,0,0,0,0,0,0,0,0,2978786,10154285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1866,59836055,0,0,0,0,-177140,0,2818,59205752,0
3 Mining and quarrying (non-energy),1546,0,0,25074,4902,0,70315,2055,450899,2734,8382,2243889.45,2480239.05,2868646.25,9524.25,13485,0,5456,34059,69,2817,323,0,0,6976,248,171,0,0,346735,0,10313,0,0,0,0,0,0,360,0,0,522,0,6292,0,2728,335,11713,8610808,11877,0,0,0,34271,0,55585,5937579,0
"4 Food products, beverages and tobacco",4580738,0,0,10576497,632255,0,57272,986,151531,377400,3030,8147,0,0,0,0,0,0,0,0,0,0,0,0,1071,0,0,0,0,0,1810,16714650,0,0,0,0,0,0,0,0,0,30590,0,20356,0,17637,78531,4207608,37460109,41728918,0,0,0,346156,0,3358648,10746294,0
"5 Textiles, textile products, leather and footwear",318271,525,2938,88207,12769743,5761,248985,9053,40019,29724,644510,67474,38130,7687,67402,111678,6525,50726,229972,35229,279613,114994,34189,0,1150099,32485,3049,0,0,259544,348825,153104,69938,21888,0,32994,30535,50247,58886,79412,8700,19935,0,235966,23008,104236,266639,824374,18975219,18752520,0,0,128222,147339,0,14000271,10551149,0
6 Wood and products of wood and cork,241231,2859,3804,52995,12022,1305491,142592,5628,36871,8656,27817,82083,46664,35879,141435,170881,2637,109465,64998,15024,110365,104085,12184,0,1083165,4920,0,0,0,1816909,34551,42816,14358,860,0,21045,386,65,3396,7223,872,1686,0,17899,15531,11860,15779,26712,5855699,99528,0,0,0,33729,0,69739,1343976,0
"7 Pulp, paper, paper products, printing and publishing",266306,304,1879,1265050,414381,43895,12010927,67769,273018,594427,363176,263889,42001,26317,223415,367379,98653,379928,677943,71363,116975,18715,18948,0,259023,14883,8998,0,0,430345,1476341,202827,56058,129230,0,63535,309853,650081,141984,366031,3264230,367424,0,570953,714705,236341,1558083,2874983,31302566,6659475,0,1247178,0,120609,0,3045702,5039975,0
"8 Coke, refined petroleum products and nuclear fuel",1685965,4575,247512,570447,580111,62921,677852,2502341,15792318,153192,558628,1490262,2432072,208421,856007,761486,15728,298160,320422,49580,698859,122014,32276,0,146295,1952298,333065,0,0,3179635,2355388,1296752,8268991,6235768,0,296155,239199,321891,298272,352650,500353,113075,0,806802,833802,347388,1217241,65747,59281916,13261811,0,0,0,206195,0,18594005,14640114,0
9 Chemicals excluding pharmaceuticals,2295313,1950,40514,426955,4184035.8,275452,1478507,938376,39569024.9,1757763,12890210.3,697720,622427,167213,1453329,1066719,186300,1002044,4347502,408290,872395,496475,40334,0,731393,610582,124888,0,0,1049644,16914,31351,23651,33289,0,12206,5752,194,8742,221683,63307,220261,0,103802,58658,202595,233638,616164,79587563,339367,0,0,0,319040,0,27229965,23653143,0
10 Pharmaceuticals,191518,151,198,288699,72934,1512,32350,8999,121492,1586605,18952,7287,2088,1198,13231,8343,290,6355,26682,7040,10229,731,405,0,3163,2131,1271,0,0,6538,13429,156787,1462,24369,0,2815,5462,15320,2993,279141,6000,197348,0,71424,28491,9582113,771815,462441,14041802,6423396,0,0,0,23342,0,1326555,4142975,0
