Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",31.77515887,0,0.010048742,94.84173757,0.12614731,26.03266579,86.7592772,0,0.015851693,0,31.13216911,0.031153842,2.512452813,0,0.182151868,0.255987178,0,0.008533843,0.226082807,0.030435238,6.669442809,0.810130059,0,0,0.340696988,0.171261161,0,0,0.005405901,1.751649529,1.067829838,35.80287119,0.269351857,0.003512861,1.152885989,0.021986138,0.061159314,0.955593925,0.885292784,0.009441931,0.081677302,0.007405132,0.384149287,1.617098477,0.266457144,1.288225851,1.466771759,0,329.0301511,172.7520784,0.068888993,0.003773862,7.33344165,-5.689998853,0,147.1280218,384.2546214,0
2 Mining and quarrying (energy),1.202407422,0,0.019118472,0.088484309,0.001032037,4.75E-06,0.080943633,0,0.000811962,0,0.007062193,4.838040647,5.9065244,0,0.468924797,0.202877067,0,0.000144153,0.000210928,0.000727395,0.006222377,0.000755825,0,0,0.199983964,238.7993345,0,0,6.40E-05,0.374867,2.204863286,0.028462135,0.75248072,1.59E-05,0.094953067,0.007781952,3.51E-05,0.015058608,0.061102678,7.854364369,0.003102209,5.76E-06,0.582301387,0.027170649,0.000152201,0.06331301,0.080486464,0,263.9741913,0,0,0,0,0.022461043,0,0.051072045,264.0477245,0
3 Mining and quarrying (non-energy),0.319291485,0,13.06471893,0.011415525,1.0364165,0.014866821,0.010442688,0,2.648345682,0,6.391310465,40.51589675,1.425536738,0,0.676423343,0.212832265,0,0.003167928,2.72E-05,0.016347255,0.00080276,9.75E-05,0,0,0.711614712,0.733143594,0,0,0.015377319,29.43569805,0.209716786,0.008571211,5.412591032,0.598378869,2.227850924,3.464640775,0.04392819,0.184923023,0.07854269,0.034603333,0.094826779,0.008043402,0.180654638,1.027573861,0.001542678,0.035171745,0.100067975,0,110.9554015,0.640244338,0,0.000387315,0.021496293,0.838345719,0.613431636,19.06082494,72.68278553,0
"4 Food products, beverages and tobacco",22.34745576,0,0.053103495,50.86294135,0.238183917,0.280656825,46.52837603,0,2.498902626,0,0.575480314,1.250613897,0.840032528,0,0.450893444,0.505843909,0,0.043174082,0.121246582,1.850867366,3.576774184,0.434466921,0,0,0.071963008,0.621665529,0,0,0.01765958,4.383184322,15.10980653,188.0217037,1.160762247,0.075011717,13.89210573,0.375336808,2.1530868,16.09327628,5.164920325,0.642641815,2.435015334,0.355302995,5.181007767,3.860784796,20.09869241,58.19542223,3.76795712,0,474.1363203,1012.732074,1.0356264,0.402073361,127.3297548,9.192937592,0,664.8196049,1531.606032,0
"5 Textiles, textile products, leather and footwear",2.694738725,0,0.090840233,1.421295222,138.2228598,0.481128493,1.300171731,0,0.905278701,0,31.85487789,1.25360627,1.694613125,0,1.353272214,1.29654467,0,2.481371968,0.00338807,4.443191782,0.099948054,0.012140582,0,0,2.088420873,0.59430856,0,0,0.252955296,10.51381347,7.910493499,4.627908345,1.478627269,0.049103129,0.927032734,0.290239575,0.163922614,0.355835134,0.400552648,0.078643147,0.418163791,1.649449826,1.373611061,2.08752234,0.141649151,13.74768941,6.932045544,0,245.691255,289.5074868,0.000823165,0.360736871,1.707522001,-47.76132144,0,679.1436396,499.2483834,0
6 Wood and products of wood and cork,0.32600781,0,0.178717485,1.837389414,0.218383924,45.66709456,1.680806167,0,0.005603545,0,1.498598793,0.743701297,4.900940248,0,1.29355752,2.249225672,0,0.010950024,0.004379951,0.111571019,0.129208552,0.015694824,0,0,1.257104216,1.240581916,0,0,0.002490352,54.39433617,0.745158872,0.111996187,2.490541526,0.005237489,0.059464434,0.036940811,0.066111423,0.442499868,0.559652281,0.017685821,0.094179862,0.017047625,0.582157044,0.37891169,0.022869223,0.47653011,0.384388856,0,124.2577166,9.12077409,0,0.00142172,0.000298387,10.29378917,0,147.4366473,118.9907362,0
"7 Pulp, paper, paper products, printing and publishing",3.797622713,0,0.133658293,97.53987498,0.895167448,0.768691986,89.22747799,0,2.127207366,0,2.657215483,8.386467162,2.219414602,0,1.690364805,1.871987971,0,0.171238453,0.232514601,2.869408241,6.85918072,0.833177319,0,0,0.378197584,1.444007427,0,0,0.106202173,5.250462702,24.07251649,23.1382604,2.650067219,0.210497042,15.27835416,1.19679919,4.342063029,97.44542617,2.94646153,0.966979953,8.120619012,1.750838939,28.67904078,8.093057146,7.374181894,8.168880525,9.22942494,0,473.1230084,331.5353342,7.83012594,2.230382824,110.1620754,13.18031594,0,574.6170799,856.841675,0
"8 Coke, refined petroleum products and nuclear fuel",4.33845551,0,0.79799624,2.408604479,0.796815235,1.276257771,2.203341998,0,3.276482405,0,7.812472126,4.982810196,6.603330102,0,4.222679412,0.607836455,0,0.603827135,0.005741608,1.396469797,0.16937743,0.020574094,0,0,0.403947291,2.677662196,0,0,0.124326316,47.47646168,25.3237297,2.237788788,85.47677543,0.673128903,196.2185099,2.24411368,2.655641546,9.122048354,1.875898785,1.358266619,3.639844617,1.148832253,5.596749849,8.772752327,3.902144069,9.704047888,9.954376767,0,462.110119,513.6079092,0,0,0,5.275769952,0,709.1002229,1690.094021,0
9 Chemicals excluding pharmaceuticals,28.38831767,0,0.522124566,48.09128883,202.4288565,35.51353008,43.99292511,0,189.7138259,0,317.6863762,28.16754887,26.68504829,0,24.6195605,6.497951524,0,10.88374433,0.114639544,29.51806876,3.381866556,0.410791701,0,0,2.962919032,3.993408683,0,0,1.210989078,17.25139206,7.343789136,2.004371935,1.270219521,0.08149468,1.020345774,0.446684869,0.217678404,4.782216323,0.184606125,0.510654403,0.564144528,5.653986668,5.618075894,1.502292007,2.567218992,71.56699434,11.07824566,0,1138.448193,196.8745435,0.000235213,72.36512886,0.474257254,61.71782463,0,666.8929574,1720.225256,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
