Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",3748,6,3,11875,8,75,21,2,37,0,27,3,3,0,10,10,1,11,13,4,5,1,0,0,17,89,0,0,5,84,87,249,20,2,6,14,10,24,80,8,5,1,66,199,16,134,227,0,17206,2856,0,93,449,38,0,13528,10447,0
2 Mining and quarrying (energy),0,1593,3,227,0,0,136,17354,2891,0,32,124,95,0,37,1,0,5,13,0,0,0,0,0,0,6541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,29066,0,0,0,135,132,0,9559,22601,0
3 Mining and quarrying (non-energy),88,0,103,35,3,0,2,6,206,0,6,316,816,0,9,1,0,0,0,0,6,2,0,0,24,474,0,0,0,409,12,0,2,0,0,0,0,0,0,0,0,0,5,69,6,1,0,0,2601,28,0,0,0,38,0,2024,3670,0
"4 Food products, beverages and tobacco",2644,0,0,11186,16,0,39,3,612,0,2,6,0,0,1,0,1,2,4,0,1,0,0,0,106,3,0,0,0,17,81,2642,0,6,16,1,8,6,4,4,10,6,112,127,6,702,886,0,19260,15905,0,0,54,370,0,30133,17505,0
"5 Textiles, textile products, leather and footwear",57,1,0,43,1224,6,95,1,63,0,33,31,9,0,27,13,0,1,9,33,20,18,0,0,256,0,0,0,0,37,185,24,18,6,8,20,31,10,4,1,0,1,54,98,3,140,56,0,2636,4657,0,4,196,-22,0,7459,11162,0
6 Wood and products of wood and cork,104,0,8,48,2,505,30,2,19,0,17,27,7,0,27,10,2,7,8,0,9,14,0,0,210,0,0,0,0,1573,98,5,4,0,0,9,4,7,258,0,1,0,141,24,6,9,143,0,3338,502,0,0,189,-12,0,933,2320,0
"7 Pulp, paper, paper products, printing and publishing",37,5,1,1293,34,15,5241,17,318,0,109,85,38,0,97,73,8,20,129,20,30,24,0,0,111,33,0,0,6,83,1753,154,73,26,25,101,145,696,64,25,128,5,1969,689,432,626,374,0,15112,4178,0,0,45,-27,0,5981,6750,0
"8 Coke, refined petroleum products and nuclear fuel",424,89,36,70,8,4,22,2128,3663,0,5,30,30,0,31,27,2,145,4,9,12,23,0,0,37,408,0,0,43,265,798,21,1523,591,1850,55,86,65,19,295,32,15,143,213,7,13,148,0,13389,2098,0,0,9,-76,0,21330,11743,0
9 Chemicals excluding pharmaceuticals,493,2,6,406,417,55,398,526,17064,0,2040,196,80,0,132,59,114,110,120,12,97,46,0,0,351,191,0,0,30,555,384,10,8,11,2,8,20,3,16,3,57,132,140,130,75,1243,205,0,25947,2400,0,1478,117,105,0,49217,34075,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 Rubber & plastics products,113,5,9,531,48,55,286,6,340,0,663,91,26,0,160,191,42,97,72,90,389,43,0,0,276,37,0,0,14,1183,497,9,130,0,0,2,11,17,64,1,7,9,235,31,20,120,59,0,5979,585,0,1,228,9,0,6128,6398,0
12 Other non-metallic mineral products,57,0,3,231,0,18,6,0,49,0,18,772,21,0,60,15,5,22,67,14,40,31,0,0,33,11,0,0,3,3949,51,39,1,4,3,3,1,6,289,2,1,35,62,50,13,47,105,0,6137,403,0,0,119,3,0,1631,2555,0
13 Iron & steel ,3,4,12,16,4,15,26,0,112,0,36,153,1711,0,2232,791,0,295,298,156,341,134,0,0,179,174,0,0,22,826,46,0,2,1,0,2,6,0,7,1,0,1,8,17,24,10,17,0,7682,10,0,0,87,35,0,10500,10783,0
14 Non-ferrous metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15 Fabricated metal products, except machinery & equipment",46,13,34,648,3,102,79,4,196,0,58,56,123,0,4093,1527,81,78,250,144,809,321,0,0,188,19,0,0,16,3444,1126,8,5,2,1,3,3,17,16,8,9,2,85,329,55,26,139,0,14166,449,0,2,991,45,0,5441,5482,0
"16 Machinery & equipment, nec ",572,71,28,87,9,29,79,38,125,0,67,53,99,0,144,3378,8,28,87,20,154,160,0,0,79,166,0,0,12,943,505,26,73,3,44,164,70,18,105,242,17,3,215,563,9,25,148,0,8666,165,0,2,5568,-100,0,16528,12864,0
"17 Office, accounting & computing machinery",15,6,7,102,14,7,57,21,146,0,21,24,40,0,35,55,794,9,77,30,8,9,0,0,11,25,0,0,4,80,182,17,16,3,0,28,38,27,3,27,12,1,55,84,44,52,75,0,2261,182,0,0,2760,-36,0,24610,27931,0
"18 Electrical machinery & apparatus, nec",5,38,2,85,7,7,52,12,76,0,16,22,47,0,65,428,23,735,245,105,234,87,0,0,20,151,0,0,4,969,235,14,10,5,4,12,237,11,16,4,5,0,178,79,33,16,79,0,4373,364,0,0,327,12,0,5574,7163,0
"19 Radio, television & communication equipment",5,2,3,33,5,0,6,4,39,0,5,4,1,0,63,263,28,82,2073,180,21,279,0,0,41,45,0,0,10,643,731,13,10,1,2,7,715,8,5,2,3,4,83,48,11,44,38,0,5560,2131,0,246,849,110,0,23348,22860,0
"20 Medical, precision & optical instruments",2,0,0,0,0,0,6,0,0,0,1,1,0,0,11,785,1,2,216,727,25,207,0,0,2,20,0,0,0,32,91,0,0,0,63,9,53,0,0,0,0,0,168,146,33,678,18,0,3297,497,0,489,1247,0,0,10176,11374,0
"21 Motor vehicles, trailers & semi-trailers",4,0,0,5,0,0,1,0,2,0,0,1,7,0,1,15,0,0,1,0,2773,3,0,0,5,0,0,0,0,24,1164,0,1,0,1,1,0,1,0,5,0,0,8,37,4,2,10,0,4076,4015,0,0,4446,-215,0,10395,14140,0
22 Building & repairing of ships & boats,13,7,0,6,4,0,0,3,2,0,0,2,14,0,10,24,0,1,11,3,0,1344,0,0,16,0,0,0,0,16,88,0,325,163,524,7,5,0,20,2,1,0,1,205,0,0,1,0,2818,967,0,6,1539,131,0,3757,3864,0
23 Aircraft & spacecraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 Railroad equipment & transport equip nec.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
