Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",4086.487091,12.00308621,1.000084488,30613.81689,183.1263316,2707.871897,1001.688801,0,106.0937379,0,5.001844069,19.00448783,4.001067955,0,140.1768901,15.00298654,0,5.000485942,3.999259435,7.001359643,1.000008119,26.00794659,0,0,15.99639109,32.0062929,0,0,1.002019703,654.0172979,363.0595961,743.1923771,32.01539881,108.010963,1.000158298,51.02208811,58.02133042,16.99362434,55.01304784,18.0035149,18.00086048,12.01333372,156.0462314,73.01525251,59.01775185,381.0546972,55.00458823,0,41841.79107,9680.731893,0,0,379.1633992,3886.73513,0,11069.5785,9167,5.09E-11
2 Mining and quarrying (energy),52.00867737,11710.25284,218.1950267,3002.008842,24.06801657,314.9161929,896.1761452,0,40103.73742,0,56.9872123,655.057857,910.3246886,0,580.9601729,672.0767611,3.068308699,327.124538,51.96216249,99.02804324,37.00383732,860.0082719,0,0,178.0143754,9.007878076,0,0,0,162.0175707,103.1101345,14.02014407,541.0071053,1.999717781,109.0196699,504.0303768,416.0894477,1.000170758,10.00826979,4.004322853,75.99386026,2.005574308,38.06717019,5.002712141,1.999989683,16.00198946,6.000256973,0,62773.36574,69.00333535,0,3.000267043,19829.82806,7751.424379,0,430496.3782,4242,0
3 Mining and quarrying (non-energy),96.05840356,604.9210538,683.8828101,204.063636,1.001012208,38.00832943,131.994475,0,2038.704367,0,12.99900021,1288.863959,1858.795998,0,21.99579007,24.00003328,0,6.999682228,1.997577411,3.999295705,0.999598486,22.99312288,0,0,41.97152989,1.999038508,0,0,7.996987315,1353.54372,375.8994641,4.997273506,12.99455757,3.997708701,2.99924581,25.99020008,7.997690597,10.000166,125.9531695,1.999938449,23.99144933,3.99855236,26.99434041,91.97286895,5.997378404,10.99661762,88.97234122,0,9273.542384,178.0825215,0,1.9993144,15.99356815,-285.8015616,0,2662.183774,3685,0
"4 Food products, beverages and tobacco",10086.75209,4260.455815,149.0608999,33551.31742,100.8629485,265.9241312,761.0937137,0,918.9588729,0,60.98249831,342.0072871,370.0216414,0,406.9629319,555.0464783,4.091003987,254.0886779,58.95291818,106.0251911,40.00048473,652.9923821,0,0,172.0175537,40.99730011,0,0,3.000111172,1723.068894,3197.150635,5258.810984,437.9978001,546.9479413,85.01379534,491.018031,327.0412919,72.02925919,192.9988639,42.01497401,322.957625,35.00181087,393.0144373,367.0039746,171.0142408,1841.076298,192.0423898,0,68857.8156,36922.47145,0,91.00644796,432.0050294,-2159.390012,0,42395.09149,18445,0
"5 Textiles, textile products, leather and footwear",298.9037465,1568.43532,30.99071253,186.9713,1088.53927,50.96683169,57.94363008,0,117.9795938,0,45.98859677,42.96713961,103.9732038,0,85.9855042,100.9817708,1.979415679,28.9794994,9.993774542,29.9850691,31.99322503,159.9680704,0,0,713.2035149,137.9714228,0,0,31.04201647,871.6113536,803.8842668,187.1349447,67.997342,623.9701822,9.002457695,201.9781473,123.0095216,9.984069649,237.9701201,76.95371463,21.99744465,97.13168956,669.0057009,176.0160555,97.05207822,1046.606236,1302.474324,0,11549.52228,18542.48039,0,10.99677654,538.7368807,-5866.223051,0,1547.486732,20334,4.55E-13
6 Wood and products of wood and cork,58.0062997,185.9999104,10.00013663,210.0026325,7.021256071,5066.598175,415.9529003,0,156.0104564,0,11.99691735,70.99051438,61.0020736,0,76.00221953,59.00516763,0,27.00325029,5.995747075,8.000974893,21.00444829,139.0136472,0,0,812.816926,64.00481698,0,0,47.02489845,12310.9965,1137.124296,23.01011266,46.00912615,25.00642491,5.001249164,64.01435454,37.01114495,15.99131994,2194.189166,11.00083034,25.99477857,8.009609493,85.02729264,28.00480181,114.0419803,105.0115747,465.0106918,0,24213.90862,830.0913444,0,9.999565232,1697.142389,1508.132913,0,2023.725171,7917,0
"7 Pulp, paper, paper products, printing and publishing",650.1470064,1430.006013,75.03318365,1796.203457,44.10561145,163.9683153,12883.06596,0,573.0842661,0,112.0175109,284.9843747,151.0047237,0,184.9784731,290.025734,1.022754682,134.0150996,39.9720308,80.97759941,28.9985426,413.9784881,0,0,149.9809682,243.966368,0,0,23.00657604,1152.025389,12084.60496,462.186294,444.9927733,299.9559104,40.00502226,877.9840147,1998.10772,249.0074648,1870.009228,411.1216991,302.9573471,288.0537685,3295.049998,1490.002655,2092.017759,1204.986923,2771.959027,0,51089.57101,11487.34978,0,43.98973786,74.00026686,-4508.463284,0,11049.55249,10592,0
"8 Coke, refined petroleum products and nuclear fuel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Chemicals excluding pharmaceuticals,3512.456852,2798.347199,416.7979182,2180.999801,235.9912896,480.8120761,1240.520142,0,12332.93893,0,1659.774625,1257.4102,1358.935722,0,533.994175,480.0471521,1.0228071,788.6882829,27.98015808,70.00850217,356.9908973,687.0235069,0,0,484.6931149,141.9971193,0,0,145.2545349,3377.637024,3397.301479,508.2718374,3262.315912,10880.85289,1979.75859,1529.143347,355.0703528,83.98885075,460.0207204,86.00164547,138.9992056,46.04963763,1404.227772,516.1128195,393.2654039,4563.539644,1262.450486,0,65437.69263,16689.96667,0,4341.934739,359.0154995,9808.841562,0,48192.54891,52145,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 Rubber & plastics products,760.0979848,562.963473,33.99740918,1858.016576,90.04229793,104.9637116,225.8291913,0,422.0291729,0,681.0281319,165.922923,86.0028078,0,187.0228119,280.0301082,2.012672502,166.92059,25.9909754,79.98773534,144.0134393,189.0228044,0,0,414.5975498,107.0090681,0,0,14.02364882,2795.654598,1477.243881,115.1180509,1064.42849,124.0308291,7.002908124,219.041952,162.0601356,48.93988045,563.0668432,369.8320303,15.00234575,64.0983684,462.1282971,101.0350009,225.1805801,375.9804854,867.9695038,0,15659.33926,2167.525264,0,153.9713207,192.0168906,-811.535611,0,2218.682872,11214,0
12 Other non-metallic mineral products,103.0083893,1106.190602,31.01281228,372.0324086,7.00992318,305.8469976,106.0093414,0,165.0072443,0,87.98579766,1533.68754,426.0226872,0,329.0070918,199.0289742,0.989654106,200.0048442,17.99029055,37.00436694,71.00579836,210.0190175,0,0,64.9831901,25.99915312,0,0,19.00765043,9664.9365,558.1038766,274.1917948,58.01085702,29.00155795,11.00398656,273.0617897,75.02260944,12.00665654,789.0627757,16.99944466,40.00355866,31.03390443,155.0220658,248.0464972,153.0705864,76.99456359,92.95010245,0,17977.3769,1290.128215,0,12.00333844,425.0056459,4191.255046,0,1265.230852,6052,0
13 Iron & steel ,25.01272748,459.070175,9.000870045,126.0085464,66.02158236,168.9440706,125.9699568,0,177.0203071,0,85.9899743,398.7820566,19900.62386,0,4106.498639,2750.366724,0,1593.057603,114.9440068,72.98961004,1255.09366,2771.350973,0,0,1388.074431,14.99973094,0,0,177.3454064,528.9388277,335.0302442,11.99900976,38.00267998,26.99702841,4.00127542,1642.185517,56.01796953,9.002990797,28.00120132,12.00418238,14.99871778,7.000706674,68.00561421,36.00741854,18.0079389,232.9946495,59.02477336,0,38915.38566,212.0168317,0,1.000120072,6720.1495,576.5888316,0,49492.85906,42504,0
14 Non-ferrous metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15 Fabricated metal products, except machinery & equipment",465.1234732,2458.149242,86.97169697,935.0213068,90.11483991,309.9083736,233.9490008,0,301.0091049,0,76.99042159,394.9032542,300.0128422,0,1453.013308,1898.229897,2.012880119,259.979023,74.96706376,174.0077967,217.044346,4668.048068,0,0,243.8980625,201.0226399,0,0,141.1387292,4329.84455,1838.397498,174.1311822,238.026847,398.0128664,26.0065874,936.1920729,344.0706944,77.9560379,355.0505418,152.0048187,50.9979015,116.1516754,944.263334,206.0384071,118.0647975,460.02358,677.7071285,0,26428.45589,2353.539859,0,10.99901565,3469.2491,3990.435665,0,3737.320469,13622,0
"16 Machinery & equipment, nec ",712.4261098,2752.709293,235.9518959,838.9640966,42.06563957,169.930442,427.8605965,0,485.9574387,0,92.97545672,202.9442283,548.9621249,0,1072.874396,7368.49359,2.012456067,93.00053703,33.97787117,149.9743014,166.9781035,4248.702491,0,0,159.8544738,174.9821412,0,0,21.01842311,3191.020458,2811.019999,118.0312806,265.0087703,1580.899033,35.00783762,255.0051247,953.1500804,189.0198055,599.9533741,437.8479225,98.99772693,72.09082957,607.0251022,2023.107244,122.037926,354.96006,453.6977509,0,34170.49643,5325.93777,0,14.00144883,23955.50435,3352.214455,0,18515.84555,44258,0
"17 Office, accounting & computing machinery",138.4569165,370.8956838,41.96059307,168.0266547,7.991841741,39.98270546,97.90540065,0,69.01910784,0,15.00044121,42.96958084,152.010202,0,35.00539828,572.0561551,180.1738898,101.9125795,111.9839645,568.8068127,12.0005498,79.01032731,0,0,27.94507911,144.0117226,0,0,4.00825594,155.9859225,110.0667509,33.05249191,70.02397758,11.01551802,7.004239231,51.0109118,534.2544414,168.5935088,92.02609395,97.94046526,20.01103552,60.12075525,82.04956749,289.1393555,156.1650724,155.9734091,113.8806073,0,5189.447986,1781.500061,0,75.96991967,7422.017775,492.1788085,0,1475.885449,15925,-1.82E-12
"18 Electrical machinery & apparatus, nec",185.2385735,660.0944175,48.01510626,297.0488495,17.01318519,97.9794437,159.9494575,0,225.0471305,0,21.00035766,64.99185667,938.1646661,0,272.0765056,920.2461841,0.990147715,1684.602951,131.9740942,992.9174206,93.01867191,1663.411573,0,0,65.9606924,828.1310791,0,0,7.009489583,4048.220151,626.1698202,101.0975229,231.0849271,110.0388342,14.00657041,332.1122166,318.1384657,91.94665801,175.0446964,112.9960735,28.00577557,28.04134173,282.1095599,212.092776,102.0903005,320.0281327,449.9843287,0,16958.09,1724.61768,0,8.001602786,2654.682723,1829.068399,0,4634.53959,13573,0
"19 Radio, television & communication equipment",13.01474684,236.1822916,10.00567488,110.071915,1.00214949,16.00461678,38.02386447,0,39.02441318,0,3.000569996,17.00920346,101.0721979,0,109.0327721,346.1016163,10.06568184,285.9649826,2768.01833,665.00896,18.00411487,201.0020015,0,0,8.002446358,3.001068305,0,0,0,195.0421259,229.9682543,3.002130617,25.01653054,2.000619914,4.003537801,23.01571674,244.04793,6.002357371,9.003794793,8.000701059,7.004110756,1.000773811,9.004529279,81.0270357,4.002867524,11.00250399,301.9510287,0,6162.710166,6241.840782,0,149.8922367,6643.857286,46.80656191,0,5142.892967,15565,0
"20 Medical, precision & optical instruments",31.02963411,280.9418894,16.00625948,145.9527405,4.00832995,21.98687293,60.97843474,0,43.98585987,0,5.996934939,29.98882916,52.992872,0,40.99278789,154.0139689,0,32.99325048,60.99267511,1346.845545,3.999187397,286.9637584,0,0,14.9918315,93.01009433,0,0,0.999662295,277.9422296,246.9719993,17.99892254,39.9924241,26.98901425,5.999772662,43.99215995,99.02104756,18.00198502,33.99471273,20.99708023,22.99086568,39.0592373,3346.123809,189.0206435,41.02245608,1274.990681,193.042965,0,8667.823425,1010.319633,0,1132.779966,6518.596674,1836.973616,0,4129.506686,10253,0
