Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",18568.44183,29.41923383,5.943462248,31625.78435,229.8685956,1665.99412,530.2369543,10.81098088,297.3677726,0,325.7194818,52.57034134,18.9997882,0,23.11999338,23.76624479,0.775345508,8.786614973,2.737923261,2.743427587,23.1714094,4.927348645,0,0,200.3737145,21.10625875,0,0,3.291783641,156.295251,1564.738718,249.2369352,65.92298128,0,3.068694582,61.42916899,4.018438492,8.684829879,56.84193416,0.519991955,2.316790847,22.30851629,66.47218549,87.33256504,17.43820346,39.54532068,205.3857909,1.068832622,56288.58213,33766.61308,9.009095814,1370.266497,302.9785399,-743.0789637,0.037983722,5291.930269,8269.195,0
2 Mining and quarrying (energy),251.4811583,59.45281914,15.52001239,178.7155451,29.363957,41.8967606,93.12332329,4237.61831,206.8576729,0,24.0570994,214.2650648,765.6821187,0,24.75522787,30.96943429,1.085869675,21.09692558,4.390361587,3.710869754,14.91229744,10.5569804,0,0,25.80110276,8776.228857,0,0,62.84048882,83.90436179,111.1679406,23.39547721,44.71531323,0,1.689546909,15.1979188,10.01345791,14.59158443,260.4226686,1.505918175,2.373240218,4.239001702,27.76895422,15.9563188,8.724059544,13.65723738,42.9721486,0.698073068,15777.37548,2935.850554,12.10941882,113.4019854,137.4843753,300.5593899,0.041223373,4553.164325,753.14,0
3 Mining and quarrying (non-energy),35.17867482,44.16735866,440.1703833,177.2190029,20.39619412,30.55945278,30.33749558,19384.39448,1427.64682,0,89.43481047,997.9055987,1933.506312,0,1135.982165,543.365724,15.58053414,458.7762598,17.35853937,27.18453711,109.818725,86.35216905,0,0,297.3285974,5875.953157,0,0,15.49092823,1089.481066,690.7839286,7.174396447,108.6743534,0,3.301988741,27.35192284,10.64467953,9.553830007,75.1285355,5.039157561,2.903153804,10.09098769,107.6593517,32.0631523,5.614807921,8.498954396,89.64450128,0.675527845,35478.39221,225.8841713,0.334044222,24.07608616,75.92794406,481.4747881,0.000455813,4338.816782,28713.986,0
"4 Food products, beverages and tobacco",7072.113593,43.81011702,16.82833795,25948.51483,404.887902,78.31390514,124.5023584,86.81800796,617.4712681,0,146.1090355,89.47706912,85.67712838,0,97.47503134,99.57418504,11.69572511,64.36389457,40.82286531,20.80502646,92.379586,24.99311782,0,0,333.638449,139.1814974,0,0,15.09520014,374.5817092,7125.649041,3890.294979,103.9605937,0,36.20533657,270.906623,94.85201228,241.7673799,242.6598954,6.756196611,34.17000863,20.09302439,503.7675293,245.325782,385.6063479,441.2633437,684.0653975,9.902581753,50366.37591,72395.10162,42.40554049,157.2106553,264.2334303,3231.117396,0.094262437,19569.05503,15636.55,0
"5 Textiles, textile products, leather and footwear",75.00598635,51.26214227,10.5243793,270.7353849,5508.941663,84.44649246,131.5655915,21.67156518,82.93242115,0,631.2601562,99.08775181,62.21359995,0,98.34031876,74.54907367,2.17786109,35.94561648,14.80555643,34.66944598,935.8279903,31.47653785,0,0,1744.76579,52.25522091,0,0,7.541256495,177.8896776,1351.362795,71.26527744,63.71427214,0,3.729319039,28.75660179,34.17427648,46.24554306,40.51925485,8.312968061,7.299845848,13.29162388,189.2631934,278.3861163,16.9271837,34.03908073,306.3217687,245.5457111,12979.04631,12358.43414,24.19977354,86.31899391,269.9726814,639.5223031,0.129731321,16387.54808,19979.186,0
6 Wood and products of wood and cork,200.7426726,86.05077321,10.56466428,177.7822053,50.3185156,3915.266061,165.8637203,12.82573904,92.3090434,0,111.9090933,222.0442272,35.93461514,0,183.4187416,104.1868283,1.882238744,139.0138666,36.29900661,44.78944358,135.8001196,43.57503774,0,0,3343.116965,32.13284839,0,0,4.424980346,2768.789563,736.2514165,36.75509722,160.7102536,0,14.94912308,48.88529403,33.74441947,30.67736642,270.721417,8.008507381,11.72662707,6.782108434,134.2563189,50.52970637,25.41655389,17.55672309,245.2980493,2.699544933,13754.0095,1538.802473,1.220280084,18.75087302,229.2139957,211.4216991,0.341334576,9047.830071,3068.349,0
"7 Pulp, paper, paper products, printing and publishing",125.0785628,37.7096498,24.23185483,2302.4641,380.9933136,760.2123845,9609.840828,45.4583799,941.8554499,0,472.4355476,613.3921634,87.06439577,0,208.6794757,190.3039364,20.35417591,150.0964376,99.31653892,56.8216041,223.413024,39.69235005,0,0,659.1680854,162.1430432,0,0,16.46362442,419.9793943,4767.422759,187.3571897,276.0384118,0,13.45924565,268.2184678,553.1041227,1529.616368,307.5410051,24.11444735,139.6133359,81.57677684,2719.285975,562.3468639,1124.744707,195.1497315,1921.152023,31.07978748,32348.98954,7343.745045,5.250402203,80.5093037,197.8366246,180.5189051,0.107975983,7158.738707,10451.907,0
"8 Coke, refined petroleum products and nuclear fuel",1897.772447,138.8478569,229.2320402,1272.116426,152.0977978,133.9268756,174.6685682,1149.092451,1310.357998,0,487.4969388,657.2396073,2133.902365,0,233.9392468,237.3986478,13.98425495,159.5164501,58.72917081,33.96902327,172.5451276,63.35184551,0,0,358.3701967,257.7802278,0,0,57.09670745,2085.583504,3952.259847,213.5758535,8946.675594,0,280.2723687,719.3178186,209.6785737,914.2273969,376.8920333,34.88158196,36.30787041,38.14872112,485.7572748,456.0819859,147.4764463,268.8500405,484.8232252,20.42303856,31054.66545,9413.889704,23.99491419,181.311045,252.6331772,755.0058737,0.087296978,7791.867093,10699.966,0
9 Chemicals excluding pharmaceuticals,3652.707262,248.8823142,148.8772214,2372.957998,1235.560499,1339.408285,1914.126049,1165.048675,11399.80866,0,6679.024994,1480.673475,548.3058546,0,917.7201487,717.0221118,16.46954804,958.8334129,274.0611888,148.659405,1103.936543,329.0763907,0,0,1405.56152,292.8698863,0,0,81.22466511,1926.160506,3544.821452,265.3194352,325.137414,0,22.60029259,114.4955081,137.0126832,174.9163441,611.3950941,26.49011151,33.02987787,257.7356783,1458.661247,408.6659881,174.1812066,2617.090986,762.8096945,151.3737633,51442.71338,18850.50104,32.04340056,4297.523177,188.2144263,-110.7488763,0.068148317,14286.46988,43722.242,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 Rubber & plastics products,182.9148395,312.6531782,53.07361826,1806.506467,507.7133467,304.4680895,423.9681549,52.77491527,1023.764341,0,5454.833364,338.4826658,180.5052664,0,679.0586817,902.5654832,14.69133308,1638.512475,184.4531854,197.9623984,2337.139796,121.5903117,0,0,1250.583449,116.4499796,0,0,36.74215543,10831.02619,3313.220975,46.25174027,582.3520561,0,12.55307959,56.28130651,73.9609024,201.2539257,135.1946951,12.32415574,13.41256305,26.68633993,796.8281545,212.8483765,21.83136285,47.661524,300.3819346,3.998735585,34809.47551,2717.952364,1.728198693,34.19373487,423.821326,265.3486999,0.131310676,12708.00732,15183.353,0
12 Other non-metallic mineral products,329.9423367,73.36363908,83.99605097,808.0397876,102.081616,319.0583228,109.7279166,126.1777569,535.1101629,0,941.8533187,3559.509268,560.5400903,0,593.119956,444.2085874,12.83370032,663.480434,433.4389549,78.19057969,321.089333,51.13583798,0,0,478.1245096,225.0440743,0,0,26.33001096,8110.683535,1513.533975,133.1155626,204.9230811,0,5.990164358,29.76455311,101.4160734,90.06921131,588.9670184,42.58827952,13.46053224,29.85361965,635.4356236,70.2362965,44.47812628,93.95905399,873.8173108,2.134106803,23460.82237,3972.432148,1.447677416,38.34335458,305.3213979,375.816528,0.050835149,5859.672857,5068.472,0
13 Iron & steel ,150.0797781,165.0411021,1374.696918,266.4252215,89.99223104,160.7229168,96.9488219,59.6925439,217.5554559,0,577.1571432,330.0456057,6591.550769,0,8370.894967,4212.332955,107.8156684,2555.183339,158.4749265,289.0267967,3148.218276,1005.521187,0,0,1270.284692,228.6757769,0,0,23.30403151,2473.718534,1626.315228,27.74956056,272.7868563,0,5.330032328,22.15594917,50.68027202,15.63849642,147.0922565,19.64942699,14.67056379,39.97038882,276.6381488,65.28020797,26.98383506,25.77369886,219.1767985,2.473293301,36781.72467,633.369859,0.996321384,17.85152937,401.6946907,-203.8457242,0.034543123,13965.44208,22728.871,0
14 Non-ferrous metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15 Fabricated metal products, except machinery & equipment",635.0528018,604.1657576,104.1764964,965.5307627,133.6785071,548.3170572,110.4848445,55.0997736,273.7716401,0,780.9370748,312.4277437,959.2825915,0,5173.991138,3021.859587,33.24350421,912.1809243,126.7971978,327.3664191,6728.927211,856.4591853,0,0,1117.763865,512.4346219,0,0,40.55385346,5251.70809,2224.308552,45.41562519,264.9108348,0,16.26898423,42.98186234,144.4182287,22.95230617,419.111872,13.76556798,31.1195579,35.55181755,1291.457347,241.7785118,26.44237851,43.75789972,403.480977,1.86882344,34855.8018,2681.420079,2.869633005,39.59789507,4866.416697,259.8906336,0.229018154,15241.9518,13706.068,0
"16 Machinery & equipment, nec ",1583.237914,1289.553871,240.3456733,963.8744917,247.6336337,272.9956321,377.2414338,335.7354419,499.6557005,0,312.9363301,385.781336,781.0773153,0,1560.804974,4444.814033,29.5669842,275.8484449,78.16884123,213.3069166,1628.876151,727.5295323,0,0,271.7518946,1150.819438,0,0,76.03334084,2237.660665,2359.032393,91.36544819,310.2064412,0,35.11381572,86.56074673,167.9812137,140.3405221,133.6985995,133.6765006,53.3650714,59.48846316,513.6351572,904.2487924,66.53574805,114.1941011,216.0916914,2.203293148,25372.98799,4089.910419,26.36445216,62.93837576,27589.92068,347.019433,0.03984265,19190.30569,37015.209,0
"17 Office, accounting & computing machinery",30.62846264,8.006201374,6.333561798,78.29536624,20.01920481,12.2559704,45.04947094,12.96243807,48.70470409,0,25.08011337,18.88106014,33.54817814,0,26.40653949,46.34527996,500.0238292,114.6224559,46.36656744,28.81170696,25.71736059,8.686502134,0,0,25.07611873,58.10754101,0,0,3.813849454,56.10998673,498.8887373,22.09983405,83.55497737,0,1.692882361,26.74295941,98.70032647,206.1858341,33.31808457,11.11003746,319.5077176,16.83090093,91.89314119,46.06081522,13.24588883,15.70070812,27.88359879,0.770368813,2794.039282,1741.488916,25.33574871,24.35698751,5856.28061,56.24264879,0.007518828,736.9374229,8675.642,0
"18 Electrical machinery & apparatus, nec",262.0920154,254.3251891,124.9401227,247.6249682,51.40953977,65.64361094,69.81857834,23.73504969,166.7183731,0,160.1208737,149.3824952,888.1125257,0,424.1617673,1701.311796,47.5813052,2273.472611,277.4414797,381.188755,2024.690265,384.180041,0,0,98.36499907,1289.281184,0,0,22.49215937,2608.324456,1428.186705,50.83381282,538.7234691,0,48.02768929,28.90671323,399.044074,47.53503308,253.1893689,6.061602348,73.05284312,62.10424964,609.6290925,309.3503438,84.17378614,212.9888582,376.9180298,1.50892674,18526.64876,535.8798535,1.687786069,24.76003376,3961.011096,349.0733141,0.01367317,13344.37553,13949.148,0
"19 Radio, television & communication equipment",21.70801793,30.71852693,5.489309553,41.48275002,9.622564152,6.501698978,73.97758577,10.76722959,21.3292713,0,23.97875454,12.50479554,15.48168076,0,47.76864215,102.5336173,55.4381248,391.1537144,6787.155068,112.4305599,140.2724191,17.87409096,0,0,9.674999318,165.6537507,0,0,2.210120382,427.9872841,601.7284835,53.57575669,37.42924816,0,58.46237912,27.61443602,3904.704457,100.8920038,31.81946357,3.107872621,71.75263328,50.28019736,667.990509,246.1847698,71.44330784,41.65034172,354.5900436,0.64690317,14857.58738,4601.953425,31.36708659,28.94895064,1511.553567,1314.020589,0.010784191,9579.066744,18569.738,0
"20 Medical, precision & optical instruments",22.1803085,39.99079068,12.04335574,43.27895843,7.430118616,7.901642878,9.585759798,10.1856255,34.8146609,0,16.47227411,24.47874711,28.87481882,0,47.86118434,136.0566311,3.161944722,125.7382266,7.427310961,193.3283303,64.80876381,50.61204898,0,0,42.74880768,228.71677,0,0,9.205174381,169.5075606,336.212266,8.663465853,33.05889614,0,2.927738592,9.703841501,13.67208964,6.945426739,17.46496796,0.952311232,23.27626422,95.69117268,100.4732416,39.35178753,9.078928338,713.0639761,50.26373526,0.506820055,2797.716744,964.5515216,13.0113387,53.3312898,7104.105582,114.505893,0.159875411,2774.539659,6625.512,0
"21 Motor vehicles, trailers & semi-trailers",217.3049455,78.98933074,44.56802376,337.4181995,174.0408741,69.84344697,46.11172486,27.62382045,69.27027758,0,378.2010367,100.53861,102.4944247,0,677.1613709,663.1502781,3.181877904,119.4586388,23.26778555,30.80839094,18184.84313,65.11271005,0,0,323.6574211,182.3605472,0,0,23.29806007,625.8197893,1660.161068,36.60381165,3054.190416,0,9.939927017,186.273261,117.0062419,189.5093801,46.8347895,34.2114474,39.88634579,13.58227917,291.7454744,88.8480462,21.55076351,28.66559768,299.9595964,1.741540821,28689.23471,10140.96426,20.40199496,31.16707626,18167.56692,-1223.182024,0.004183234,39892.75415,33808.373,0
22 Building & repairing of ships & boats,60.83367098,49.69785812,27.4401333,39.12274693,3.678303565,6.999177857,9.952829629,6.609332202,11.80789907,0,17.52991723,8.669557446,16.39890635,0,79.6574211,53.48315364,0.584319149,15.8686101,2.980012293,7.06312735,47.4419642,2023.632303,0,0,18.30225329,28.28495392,0,0,1.90260017,80.25644373,60.24724653,11.37527473,705.0585999,0,284.6644796,59.86164759,21.34718644,2.798359555,17.82090971,5.950624247,2.253814016,9.340406546,28.57077624,22.35527663,3.076424134,9.231781277,140.1556351,0.198754521,4002.504691,618.4639429,21.60392125,43.43234046,2741.716542,1256.90317,0.02132272,11684.44947,7879.391,0
23 Aircraft & spacecraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 Railroad equipment & transport equip nec.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 Manufacturing nec; recycling (include Furniture),84.0249959,43.66452415,17.12247366,265.8043314,98.88374934,206.1157092,88.66563161,36.01054578,141.389547,0,139.8651285,369.573969,522.2102816,0,623.0507317,304.2908758,10.98649406,243.4518808,41.16746252,69.73315437,145.7874043,94.20053406,0,0,2550.321432,142.1235919,0,0,14.71308174,375.3021579,813.0000965,137.8957938,200.2190079,0,7.701450513,77.37987983,148.3204708,106.0130686,285.7643531,21.82242471,54.5308523,25.40228137,252.5655531,183.5979155,160.4716862,147.7831092,862.4519267,1.900790338,10115.28035,7020.001399,25.25105408,91.37130825,3236.844328,-140.9024865,15.97193723,17036.07639,5800.507,0
"26 Production, collection and distribution of electricity",1306.163582,1149.095146,312.688324,2735.349746,631.3594653,554.4525481,778.3212405,618.4655279,2780.960058,0,935.0285544,1935.854645,2545.581221,0,716.4394018,661.7098777,9.685691873,277.9983521,146.2219136,83.48954396,612.6014346,242.9052318,0,0,406.7882595,2831.842308,0,0,541.3586717,1277.22403,2506.102983,658.0609685,1551.80782,0,22.7309047,197.0756599,403.226332,267.5207698,12367.92691,16.31680312,46.2010452,134.4313556,644.2741271,886.489891,1294.540909,908.243393,1430.468177,26.52462696,47453.52746,17846.04827,10.46259294,211.4666156,349.7148701,55.7043641,0.064675635,2718.394705,291.729,0
27 Manufacture of gas; distribution of gaseous fuels through mains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
