Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",958.5866478,0,0.427589752,3825.843441,108.7567998,488.9273174,223.7238826,2.040487973,10.11186433,0,19.10170899,0.91676901,0.219225211,0,3.592409921,1.331608287,0.038577153,0.383461489,0.276316832,0.111294319,0.606685235,0.325043228,0,0,5.356261517,0.814083224,0,0,0.902919375,7.955941522,120.7081009,467.5743422,0.675882333,0.120177383,0.336213065,0.550462723,2.519577493,3.095135614,3.187080433,0.422056287,0.958551398,0.17126725,34.03407799,16.54587952,4.020733178,124.9044739,11.40414782,0,6451.578495,2157.768265,0,0.530635055,499.681911,-52.10139384,0.034283418,592.7772608,2218.895,0
2 Mining and quarrying (energy),0.616804815,0,0.623376304,0.301778148,0.622377823,0.045868069,0.340785102,3955.832783,2.415749106,0,0.033357909,1.57010068,0.471996787,0,0.014688293,0.150686936,0,0.000746839,4.42E-05,0.000216213,0.0020129,9.20E-05,0,0,0.026986321,989.9224411,0,0,8.03E-05,0.037995045,0.247547697,0.000343281,4.20E-05,0,1.80E-06,0.011418468,3.95E-05,0,1.40E-05,0,2.25E-07,0.000184261,0.001818614,0.458255129,7.73E-05,4.45E-05,1.105551727,0,4954.856306,0.616,0,0,0,53.232,0,0.009,5008.724,0
3 Mining and quarrying (non-energy),1.420031573,0,44.03461842,11.76276913,0.598968531,0.642124297,0.943790204,1.225167837,21.5141583,0,0.487185268,484.8575567,2.846964681,0,2.767434321,1.39270503,0.01204356,0.196156693,0.1137326,0.075964603,0.564985042,0.08556042,0,0,14.43685282,0.594848521,0,0,1.235750561,232.0147575,9.521232162,4.402854156,0.323650951,0.018703954,0.144481926,2.077858606,0.373745831,1.237466997,0.84258835,0.163234383,0.202963689,0.430170042,3.247071677,16.91546656,1.13807592,1.224682303,0.963984854,0,867.0523589,12.53866892,0,0.111761563,3.972566284,-2.719026379,0.009849863,357.4824609,124.926,0
"4 Food products, beverages and tobacco",924.7077743,0,0.5548915,2406.487585,55.49028473,0.963403903,26.63674618,1.144724539,37.94506919,0,1.964197496,1.671646405,0.416973377,0,2.064243364,1.325083906,0.101786162,0.841367964,0.983156056,0.267048239,1.084081576,0.298392968,0,0,3.506669775,2.235429876,0,0,0.262755242,7.315043197,75.06178754,2055.092045,1.272735859,0.119890447,0.939432739,1.269580799,3.233283351,7.480186838,1.890979336,0.46232166,2.243036438,0.603840005,26.03809334,61.85736486,27.79332714,407.8260106,6.423235161,0,6157.875506,8696.359085,0,6.147918343,8.934885867,42.88513214,0.279579028,1932.906257,4110.875,0
"5 Textiles, textile products, leather and footwear",31.40123998,0,3.345136263,8.005928097,4172.68956,4.865841078,7.128814823,0.832434651,18.68784005,0,28.88614685,8.553405523,0.912336074,0,10.65336314,3.060750173,0.297519491,26.58462346,5.140850884,1.354403541,33.87503796,0.811758162,0,0,227.1421082,2.759507611,0,0,0.400411302,36.64185019,70.30472002,86.95884731,2.064499159,0.143196717,5.395332158,4.170658791,2.795009743,3.05250793,0.806038792,0.640723112,1.297024962,0.395425659,15.45606662,12.46526016,3.037204669,93.63561631,26.68049576,0,4963.329496,3828.799321,0.053440982,3.396363291,13.10003552,35.20250681,0.12323368,5277.271148,3649.955,0
6 Wood and products of wood and cork,14.31175841,0,0.924181491,35.28539477,5.495646813,1041.663385,66.26604638,0.299120317,3.982048435,0,6.611231704,40.21917661,1.765947081,0,22.99841661,5.653559117,0.128401281,12.08984464,1.707983663,0.754939758,7.610686171,2.678853369,0,0,325.5419903,1.703567693,0,0,0.977984359,549.5040224,69.20642794,8.812649283,0.961893867,0.023359292,0.426315541,4.715358399,0.711486051,1.531029757,1.61534477,0.124710298,0.336608178,0.338138676,12.88870108,7.998083923,1.548038412,1.780855998,25.38487565,0,2286.578064,96.13384375,0,0.456716387,21.32311403,20.41989376,0.464566584,1239.980929,507.693,0
"7 Pulp, paper, paper products, printing and publishing",25.35415822,0,8.35976454,343.2186634,81.83848449,32.16722353,1222.721593,2.090833602,73.3073896,0,30.28041672,82.79362494,8.421718382,0,48.15925843,15.34792074,1.917216076,18.07139635,17.95049174,6.173076721,10.9187195,3.085835678,0,0,37.64574633,19.21547529,0,0,5.678645098,18.48093096,477.974909,56.93179032,22.46261566,0.650675356,5.618499663,68.23589448,95.15407168,118.1751192,13.87473335,15.57512053,48.67401326,5.593688178,495.2303257,103.8289591,92.15924238,44.18471542,122.8908926,0,3900.413849,915.9487893,0,3.800933397,5.960800677,10.86649249,0.031698613,1421.59378,1425.431,0
"8 Coke, refined petroleum products and nuclear fuel",156.7869879,0,116.1437242,62.38266681,46.52881525,19.27076696,17.87678646,429.6216897,336.999471,0,22.22369163,73.11430544,4.933902402,0,26.47315337,12.93379506,0.849139041,7.327789175,5.64200058,1.659069389,7.458634002,3.231578228,0,0,34.62752692,449.222796,0,0,10.91886177,600.1844553,324.0243362,89.78157714,627.3496722,23.44691078,251.0547054,46.40618831,12.34668643,11.34689273,14.03353056,11.60609018,6.419756038,2.658077799,78.79390775,162.01725,27.67603572,358.0928477,60.7123611,0,4554.178433,1343.894513,0.964969788,16.64980052,2.659315652,-71.39041602,0,1229.949102,1884.32,0
9 Chemicals excluding pharmaceuticals,180.7273819,0,22.89728633,93.83592509,418.5047539,76.49918526,218.4867959,349.2729283,1564.835472,0,733.8274803,155.269889,9.172087733,0,131.430543,28.2543118,0.438476408,68.27940075,10.1675462,3.990158614,39.14643661,11.70979104,0,0,92.56528344,7.196176856,0,0,17.06425097,273.0182623,292.1311813,32.10322873,4.775672751,0.087713022,1.219844274,3.957138514,4.235516278,6.355908355,2.262469306,0.590530948,6.765727375,6.34805879,45.08468493,28.22605064,11.89479742,866.7074523,69.42490918,0,5888.760708,1534.377915,45.22551895,780.4063148,7.136103347,4.222389181,0.037956344,1839.825459,5673.363,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
