Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",14270.58709,13.86695577,3.310172017,8675.035041,512.907101,1078.173481,66.91487798,0,27.24823631,0,0.083958442,6.484763044,0.671667533,0,0.167916883,3.10646234,0,1.0075013,0,0.083958442,0.587709091,3.244114166,0,0,116.0477704,6.380841564,0,0,0.167916883,22.66877924,594.2964553,637.9275506,2.098961041,0.906632089,0,0,0,0,0.175075442,15.14179706,0,60.76433054,1.177966239,18.39439588,1.088361877,1.872233739,9.750169786,0,26152.34025,22594.13076,0,891.8237694,172.2783392,166.7284462,0,1447.385606,1734.700087,0
2 Mining and quarrying (energy),0.088205596,1350.577878,0.617439172,18.41871601,0.264616788,0.170993342,0,5909.04248,49.92436734,0,0.091248863,10.76108271,448.5200378,0,0.352822384,0.352822384,0,0.544449909,0,0,0,5.198141902,0,0,0.170993342,12860.04531,0,0,0.085496671,0.714774568,34.66437019,44.72023717,0.44102798,0,0,0,0,0,304.8385398,0,0,10.08906231,0.352822384,0,35.03956324,44.80319154,36.26360589,0,21167.1543,19.00876523,0,0,0,6.123193799,0,153.7189276,14340.1,0
3 Mining and quarrying (non-energy),0.844142618,16.68815835,692.1976438,13.59459052,7.202915246,0.164520013,1.292821466,0.878483645,140.2811736,0,5.703237433,619.953099,2847.44221,0,66.97195341,217.134461,0,73.8028014,0,24.09178272,4.414724762,5.098444343,0,0,3.216683688,1.67925082,0,0,0.460311906,253.3927702,121.1213859,0.613367383,9.034828064,0,0,0,0,0,2.647863189,72.46894215,0,4.155987556,13.4936355,0,0,0,10.56155839,0,5230.603748,7.168962831,0,0,0,97.18481459,0,162.8685639,1882.1,0
"4 Food products, beverages and tobacco",880.4377965,3.061800803,7.843582637,7404.118862,164.9107523,7.413648687,87.8431309,3.331411192,127.6717833,0,19.00630263,12.49891891,48.55400892,0,14.69735085,11.95543544,0,11.25369668,0.183967934,0.784186631,12.35089941,8.728670501,0,0,22.17948298,33.31564053,0,0,16.50323883,121.2981413,3999.786178,1074.409666,68.47446033,7.085252736,12.0394492,37.07061222,21.63448821,0,134.5001989,133.4804098,21.46869854,12.12764683,17.53146843,248.4786617,234.2950913,421.3599309,338.4090032,0,15802.09393,35176.89363,0,0,0,31.92276477,0,963.0803145,5831.00002,0
"5 Textiles, textile products, leather and footwear",200.1911063,15.67119816,2.800382908,352.9900914,3848.976022,7.613822535,14.11703995,8.764035618,96.78708059,0,104.4947254,33.68562957,15.01064366,0,28.99481387,10.45796314,0,9.072098349,0.815352035,2.03911232,199.1552684,11.70587292,0,0,155.4440741,13.97588137,0,0,13.6692866,89.26813956,268.902694,190.6837138,39.86489384,1.063284595,5.744548209,0.832227056,22.04649435,9.104066983,519.2583947,46.82099868,8.242748132,7.263711616,3.91837542,88.30382801,76.45561735,1678.541514,586.5094496,0,8789.256201,5634.977164,0,0,0,76.27111417,0,16677.8367,15319.97586,0
6 Wood and products of wood and cork,77.49381854,6.090517279,11.37965071,139.9216207,8.654945607,971.9984747,36.46296529,7.773423369,24.68262266,0,10.49812847,38.86711685,16.34823059,0,8.254253681,29.65120254,0,13.30297195,0.560968697,0.400691926,32.85673795,35.50130467,0,0,1104.867917,2.484289943,0,0,0.400691926,918.7064485,243.8766773,34.86019758,21.23667209,2.965120254,0,0.080138385,4.487749574,7.773423369,328.8879331,36.9437956,18.67224376,0.881522238,0.801383853,50.08649078,40.46988455,11.70020425,65.79361429,0,4366.676045,445.6349079,0,0,0,16.51938854,0,2733.221855,1095.499992,0
"7 Pulp, paper, paper products, printing and publishing",30.89176793,10.24688516,4.107737398,510.4995797,162.506215,21.0440062,1517.071064,7.072769127,84.23474065,0,8.53477897,69.78417532,13.26196006,0,14.23280832,31.56662024,11.49602556,17.51848559,3.834571772,2.461053885,35.80618594,8.143584246,0,0,119.5832068,22.10188558,0,0,3.844824783,67.47813849,335.9015384,54.14404894,112.6994015,0.928494855,7.639606401,4.538602803,95.42624419,385.1081781,74.40188054,161.4896138,52.52410037,37.04373196,19.06764602,346.0772356,977.5754047,193.7605312,738.8043294,0,6374.453659,1137.48325,0,10.59349778,0,17.58309439,0,440.2812028,2386.699947,0
"8 Coke, refined petroleum products and nuclear fuel",202.860539,19.92043015,15.31000862,34.12566387,19.13538857,5.462581011,8.144806418,48.65215397,21.74832347,0,5.397160879,27.70747301,622.2610694,0,3.985409302,31.0599306,1.04672211,2.404189846,1.193917407,1.455597934,13.50925723,14.96472972,0,0,14.33496128,15.99522224,0,0,5.642486374,17.717594,14.14108833,13.31299684,98.21197297,4.530344132,5.904166901,3.85978778,10.2218956,13.11673644,4.971930022,15.40644106,5.004640088,6.460238022,5.773326638,11.23590765,7.098084308,13.50925723,22.86433609,0,1409.658767,8259.159006,0,0,0,-484.2834251,0,7188.238556,2260.499979,0
9 Chemicals excluding pharmaceuticals,1720.156968,94.16192635,54.95630774,305.1728307,502.3693882,186.7018746,209.9991025,348.598658,1850.608206,0,363.0526323,258.8819451,211.6476184,0,109.2857483,138.8822985,20.90080274,130.5571335,23.65266734,18.38484988,457.3375726,63.06853092,0,0,247.2653837,124.554564,0,0,40.75790663,611.0031817,581.7094073,129.1958382,353.9629932,20.06602694,32.34163994,2.622530708,56.77555125,139.1519702,598.7636495,183.9566887,70.26432752,45.22037591,46.77121473,169.6656914,106.0672482,2247.996671,205.3596051,0,13081.84953,3619.65404,0,0,0,69.47468692,0,4526.756298,11845.7,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
