Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",20068.41678,21.97203391,10.85951428,23704.84344,102.3586805,1960.67307,3654.059792,45.72932531,329.6985795,0,999.9611755,62.90971273,88.25183929,0,244.6131754,170.8040503,3.251036979,34.61761427,94.50278233,11.91595316,63.5147972,10.85644992,0,0,228.3040606,209.1170873,0,0,33.82710683,906.0235195,2341.619729,1315.524929,150.4200321,0.638964086,6.928301738,123.3966763,65.97032159,78.46310527,254.1878211,19.89054374,80.00062246,10.66558693,426.0900371,3281.381919,75.47335434,83.63365844,263.3488427,0,61638.71602,44830.19615,141.1621355,124.935116,5182.883512,-243.6368641,0.038583812,16873.7726,16403.49339,0
2 Mining and quarrying (energy),127.7700166,360.9582092,15.57324283,221.7684395,88.49168911,305.1242309,450.7555886,54304.49006,4667.364386,0,247.5594674,793.9297854,10142.72937,0,1390.894466,71.30959309,1.608332906,49.28577868,63.42317104,9.955450832,28.54727801,18.95054198,0,0,64.68112905,30006.3627,0,0,48.65566658,364.3155796,3036.187171,37.46015885,8873.017326,0.141839407,0.351307464,542.3003198,53.2997506,2.533594558,1210.414706,24.51140599,26.48071254,69.58685524,266.002431,59.25396981,190.8612394,46.38979732,78.18125861,0,118361.478,616.6074402,0.133819025,1.439131773,88.33458511,548.0624598,0.007916381,3383.699377,114614.8395,0
3 Mining and quarrying (non-energy),124.5967933,2.730613999,145.0579989,76.0256891,17.71930898,28.59409352,11.40900283,157.2511635,371.5840829,0,74.73134517,2696.00996,9768.00414,0,1436.07308,27.05474872,0.379280105,27.57429361,14.70576663,3.405093118,23.09872721,3.057549682,0,0,75.78791413,51.38892061,0,0,72.75572512,458.5060527,332.6691148,48.79890488,142.758701,0.20282281,0.460107067,105.9262386,3.402039173,2.145230382,15.81847965,0.901368254,1.675585131,6.697665998,13.33305793,9.187807015,24.84823634,49.70856357,113.9199484,0,16539.95521,210.58556,0.064980525,13.03593082,56.06698456,1642.95382,0.000533228,2143.056316,15559.66476,0
"4 Food products, beverages and tobacco",6774.87103,4.812876281,29.13893257,19111.3704,947.5631039,55.59366219,218.0685387,178.001395,697.3350453,0,113.7072149,59.62495087,236.4735988,0,224.1712924,295.4967796,4.259139204,114.3380075,194.7413014,32.07985473,101.0824677,43.39122856,0,0,93.01341192,257.4593537,0,0,38.59482326,673.8806397,2899.12348,3848.884868,579.5150803,0.787178596,10.16698944,161.4721437,85.0586562,119.4665857,305.2742167,29.88440678,70.12961861,20.03851526,642.177009,2828.670978,477.7251995,952.5125502,222.96296,0,43752.91948,97707.54059,1.078912536,95.32270665,1080.788704,2906.170631,0,27278.18056,61378.49736,0
"5 Textiles, textile products, leather and footwear",239.6290138,11.45177251,9.258911059,574.7379701,19242.48862,375.7301417,719.5268849,94.57400472,235.6267054,0,757.50714,83.71653839,158.9988106,0,520.247047,421.5453913,6.500037039,163.7606431,110.7465211,127.8823956,1040.486606,80.62567538,0,0,4606.968312,180.152814,0,0,25.39205495,429.9965084,3024.366446,135.0957314,370.5356493,1.075281505,11.51174701,91.89996373,56.16325181,54.38115283,156.7658147,86.52713005,64.16670632,17.86325365,312.7621884,357.101906,111.6819782,195.4430821,207.0694544,0,35471.96126,33168.52511,0.512495433,70.73553059,486.6510584,689.2263129,0.000287123,42340.13198,58602.44388,0
6 Wood and products of wood and cork,304.5559311,13.24967227,13.69547613,253.3483408,119.2904623,10578.39132,582.4053266,92.70493596,115.8072219,0,150.3039271,426.3447265,261.1922069,0,568.9292448,509.5243568,1.948517941,118.6585049,93.21166259,54.92002568,76.07382602,62.99801983,0,0,6052.807489,663.1152107,0,0,13.84175834,3092.751354,1464.081246,100.1365709,146.5570654,0.383969231,1.925780549,127.3271597,44.41977139,42.52166808,203.8388129,14.45993512,14.58357913,12.13236661,374.3030118,83.18952246,70.90785188,55.07120384,309.0706742,0,27284.9797,1447.774032,0.125539046,4.212725938,1325.013932,1292.782525,0,17422.9431,8923.718315,0
"7 Pulp, paper, paper products, printing and publishing",450.563658,5.776360076,22.98644799,3217.542939,573.9591075,281.8014527,17375.37078,148.626456,588.1702594,0,443.1555696,817.7320505,219.8058536,0,346.7163618,613.5877131,12.95192317,534.3443698,516.7815746,74.70576244,123.015173,24.9592168,0,0,724.2088947,436.8159592,0,0,31.41471281,804.1196814,4304.391415,342.978181,182.3569385,3.085717259,8.816948375,250.0520535,453.2938319,1393.453879,840.8078315,132.2434861,206.065688,80.13676413,2124.279148,1567.904937,474.8242607,322.8534283,627.7550908,0,41704.41188,12522.39146,49.75365406,593.5316247,236.864828,2002.708209,0.000246105,30527.7713,26290.74571,0
"8 Coke, refined petroleum products and nuclear fuel",4260.577097,98.91393871,260.5583211,1162.10937,181.6516781,488.5796718,221.9633806,6277.022529,1142.624827,0,340.2580586,599.6391987,2860.578127,0,723.8546166,569.1377836,4.483954509,297.0553782,166.6773804,68.17669167,127.574951,65.88672265,0,0,420.4396429,4472.338975,0,0,272.6098908,3336.871344,5209.863809,283.052775,11138.09194,133.2745836,919.5925407,608.3024444,194.3871987,114.0416498,749.4500903,178.3605807,197.5428261,40.63046761,888.3228573,646.3299043,149.178003,722.3508472,957.9922699,0,51550.34832,14915.97724,0.579112431,409.2302307,83.86269118,1381.916933,0,65553.96943,30515.84235,0
9 Chemicals excluding pharmaceuticals,5210.470104,82.0984853,110.1929431,1074.014018,1153.307884,612.8486646,1580.48032,5476.791891,13308.87483,0,6376.815243,1607.001817,1017.594882,0,814.0130804,1788.614482,25.3654521,834.8626177,398.6259589,83.48281411,973.7939728,176.1597916,0,0,778.5735854,251.4486738,0,0,49.68254022,2656.937146,2858.661795,146.645918,341.623836,1.698122602,15.07871797,117.2640322,36.08214262,58.167845,428.5521502,75.47157052,57.26893762,395.4059639,475.9304897,136.0122971,358.5541714,6314.448753,263.943096,0,58522.86104,23696.9962,25.54643255,26737.34201,163.6219877,2139.322218,1.146800827,42632.48861,101856.2381,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
