Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",266.6319871,0.265720074,0.074573225,255.6160364,38.22285631,67.71363672,3.461492558,0.004577526,4.862862562,0,4.659445558,1.12130891,0.659358113,0,2.396951728,1.805303035,0.148097466,1.012473718,0.511690293,0.407216118,1.04000147,0.119258597,0,0,4.102379874,0.517606545,0,0,0.361451316,8.1365982,30.73159232,55.9465285,1.904233998,0.15395914,0.221810568,1.841573752,0.413640164,0.468411359,1.672115235,0.043170654,0.294883278,0.149490237,2.569679646,1.10700967,6.423705534,5.286182737,3.217978004,0,776.2988482,656.1790125,0.986898025,4.255806102,29.55797091,170.6731418,0,163.0128242,368.2524752,0
2 Mining and quarrying (energy),0.752388523,1.344364628,0.571315689,4.63621667,6.208931717,0.818512401,24.229111,0.062390396,38.52765897,0,2.238848865,18.87435114,13.09211597,0,9.176706771,2.259686902,0.0627655,1.787056032,0.42545897,0.271112553,0.517176057,0.50604305,0,0,0.818733222,174.2559553,0,0,3.325517969,5.725086011,16.63819422,3.133321022,0.75870439,0.010564148,0.068135655,0.716153343,0.494265851,1.370686113,1.854183769,0.236347602,0.403413989,0.389221787,3.786232798,0.500195825,2.703747644,3.335138955,3.729114572,0,350.615126,4.484170363,0.000109916,0.0671965,1.368010186,24.6478493,0,23.34098954,251.5648472,0
3 Mining and quarrying (non-energy),1.668938383,0.067514955,3.965761489,5.356024758,0.796234191,0.078666528,1.74721272,0.062181025,46.23217345,0,0.700329191,32.34212731,2.201864309,0,2.608684662,0.100329207,0.010966794,2.201611523,0.086808472,0.052250743,0.108340539,0.011068697,0,0,1.547436422,0.219435617,0,0,1.276207383,54.1786141,1.365269525,0.077044442,0.091739235,0.000897258,0.005382658,0.908984395,0.035633786,0.021240571,0.86822268,0.003383467,0.016469458,0.023208909,0.88059594,0.119143621,0.157349509,0.076118175,1.373268621,0,163.6447347,3.424182884,2.51E-06,0.02388874,1.953807301,-9.202469909,0,9.58861136,88.74561845,0
"4 Food products, beverages and tobacco",71.12331377,0.155663557,0.251410705,421.7381676,7.969186597,1.570503982,2.57519615,0.022501865,7.66709798,0,2.310864676,2.295731199,1.594763114,0,4.849629463,4.965970753,0.499691846,2.863903488,1.333908557,2.034581132,2.014646436,0.309311524,0,0,4.114702306,2.632144228,0,0,0.578452159,15.43240845,69.94567824,167.5394207,2.585663004,0.197431692,2.589983875,2.649583025,1.548290074,2.000667084,16.77370268,0.140201523,1.034933385,0.163556692,13.96070329,5.68155927,38.29186156,29.11170282,9.11284344,0,924.2315339,1175.519035,0.015380258,0.840371717,9.590110685,64.81571047,0,305.1289789,765.3855294,0
"5 Textiles, textile products, leather and footwear",2.896662588,0.859523416,0.199436738,4.038555445,822.2788714,8.841680798,3.569135151,0.006959612,3.952707271,0,41.64694109,1.6512979,1.575129429,0,11.6099909,5.361839941,0.259730581,2.111551473,0.570009056,0.528639019,26.1678525,3.189451499,0,0,157.1172791,1.340673394,0,0,0.202036351,9.604576786,17.81962927,3.630183762,3.336777173,0.046371344,0.295080018,2.048114829,1.382377126,1.201688748,2.051674146,0.749432782,0.532068474,0.239399949,6.106818247,6.004967464,2.644657385,8.065707492,4.854381696,0,1170.589861,485.351017,0.007732699,4.258412954,23.2453857,90.33988748,0,1059.491434,1111.763479,0
6 Wood and products of wood and cork,9.485435962,3.216767858,0.31353114,2.325497796,27.93744169,139.8366413,25.29260041,0.020519845,6.163615942,0,44.27085051,5.734791516,2.518676652,0,8.187500892,8.926612212,0.060048363,5.089160263,0.442685117,0.348640493,19.02397581,0.827008527,0,0,81.49589852,0.420596062,0,0,0.269648338,70.952769,18.19304717,0.759660183,0.50799553,0.013718789,0.096020591,0.835386725,0.34153436,0.450124774,2.455987803,0.022862442,0.186215065,0.073062104,6.701277267,0.833206113,1.317562852,0.853705912,1.612892663,0,498.4151746,21.63393374,0.001729103,0.319913628,12.01905598,-35.1225009,0,322.7765507,220.9272242,0
"7 Pulp, paper, paper products, printing and publishing",5.084454669,0.33065379,0.586429029,38.60616689,29.59995889,7.289847724,427.6515649,0.128610234,48.39929733,0,9.857927436,13.3547128,2.332577793,0,7.052524982,10.56519046,0.709368023,6.555846875,4.222778557,1.057714783,7.858436294,0.669022028,0,0,8.632402865,2.667093629,0,0,1.134004834,9.459417646,68.90059413,8.332331979,5.642176045,0.213210969,0.83574266,11.49613833,3.247947207,19.91078233,9.633331695,0.3279332,3.73815133,2.937901418,41.36432898,41.36185125,20.30461051,12.19535278,25.51979969,0,919.768187,174.7552281,0.051896821,0.969973984,5.387708343,99.41380377,0,581.8347918,458.8549491,0
"8 Coke, refined petroleum products and nuclear fuel",55.34395497,0.772510735,1.621850572,14.08270528,5.723735149,2.784036523,6.120498832,0.375213578,12.95444186,0,5.588816986,12.23920737,17.4146656,0,10.19001473,5.768271253,0.13014764,2.580184512,0.532779628,0.761501875,3.134190253,0.328243732,0,0,3.393688574,20.29349124,0,0,3.134645757,92.73399173,31.86161597,7.946376307,209.4255097,10.00168884,16.34682994,24.56186685,3.327401482,3.081447592,1.949908859,0.045364184,0.901945267,0.482533865,11.72786422,6.71315123,9.013800733,8.262876604,8.828971349,0,632.4819413,482.2849928,0.000655011,0.591944029,0.090449188,54.50342106,0,4.387274565,1168.248206,0
9 Chemicals excluding pharmaceuticals,53.89366798,0.387831481,2.586659874,26.17397887,51.3491599,23.77473422,67.55949194,1.26653502,568.2824928,0,232.0144396,32.97804596,8.531363647,0,25.96130796,58.898207,0.437546984,19.68908808,6.247280803,4.920697739,13.24484143,2.215423107,0,0,16.73316497,3.398996561,0,0,1.370082515,42.51394061,37.25839135,9.964793158,3.722423832,0.282674724,0.538988137,1.687535822,1.377139433,1.23924639,6.802163595,0.223852508,1.196627615,1.691317343,9.445505786,9.272960446,9.66455596,163.5518149,7.911977243,0,1530.260947,331.0082783,0.000736289,242.9352883,8.602304076,100.723387,0,1915.55036,2007.598917,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
