Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",6459.794889,52.75989466,8.695644402,24316.07175,177.6212135,12935.64498,8216.818464,3.526732485,190.975396,0,65.42357734,31.80115141,33.55380999,0,42.31106921,69.56748072,2.033532128,40.88915567,0,13.71369488,62.57681949,8.913652301,0,0,70.71724559,250.8127907,0,0,4.742393363,519.6262998,1539.767096,873.3695135,193.9089639,56.59257686,6.262228835,279.9898625,27.87032566,28.46275901,1351.018222,66.54993782,137.1368369,368.8710257,0,416.9163565,156.5214199,327.5030023,1589.696166,0,60999.02793,15192.14819,0,50.81463928,1757.829767,-2794.208898,0.169082953,9495.219287,23344,0
2 Mining and quarrying (energy),317.4712873,66.44122263,101.4014268,11.42207631,2.714260661,7.635674857,67.56493939,54938.62329,258.9240081,0,24.51559679,122.5248268,2122.789241,0,347.4578859,44.96917697,2.089298254,11.64043675,0,227.7578773,60.95917243,2.332433794,0,0,99.45155725,1826.376783,0,0,15.85847998,147.8506751,561.3126957,3.138060087,91.40220066,0.752622388,1.470007766,9.857657828,5.815895446,1.182149973,89.25068689,8.159697079,38.97769257,81.04449158,0,7.066164745,1.105449646,4.427550601,51.8463002,0,61785.58095,20.36187385,0,0.439593778,1.557988112,-799.0305854,0,102.0901837,60166,0
3 Mining and quarrying (non-energy),77.58295211,12.67490465,621.4076142,65.29528925,8.515633501,18.03818962,656.1434641,20.80376946,344.749252,0,80.92163397,653.0556937,12161.62756,0,292.2380983,183.3913488,0.995579707,24.59199737,0,13.17332188,92.99698642,4.812847904,0,0,38.01859643,121.9165372,0,0,73.69868075,3274.661593,255.9897874,12.83752484,53.72917371,2.656380405,3.355251034,444.1639179,7.361491976,6.238572861,396.1418781,17.19172404,87.73369467,212.7350603,0,52.34060251,9.884758163,17.20918969,131.8827306,0,20552.76328,353.2405266,0,12.73314348,36.94543029,-467.2416084,0,8676.55923,7626,0
"4 Food products, beverages and tobacco",4155.322553,11.05332072,17.02514548,25060.06795,167.5624981,48.8786405,720.8454271,121.0827865,1331.521109,0,59.34147152,36.97633545,151.0182772,0,84.63528794,190.8552875,5.788532816,96.04717826,0,46.97299142,267.1560632,22.05891533,0,0,76.46177929,69.11612899,0,0,6.835353625,224.9201816,2646.7809,13088.56561,362.213007,925.8094805,27.18023859,184.7719811,52.37259233,26.93441979,280.874518,80.52705309,144.6079511,616.7567421,0,921.2206075,1520.761887,3060.723582,581.1534228,0,57492.79722,90143.49942,0,201.5512582,463.9733151,798.1323778,0.004227074,26145.04218,47192,0
"5 Textiles, textile products, leather and footwear",298.4986216,0.830538263,34.58287076,60.14952923,1877.349072,79.1933525,803.2627301,4.721317524,65.46660777,0,194.074655,221.0560837,92.56336126,0,266.6807578,563.3526303,2.46511094,48.59638575,0,65.16370884,604.1461734,108.3624871,0,0,882.3473234,31.70432314,0,0,2.693003312,573.5189627,491.1618144,374.2443194,195.256324,36.46732487,13.32965975,196.4061955,250.8490806,24.89934016,128.6118603,27.31156848,149.2011811,362.117085,0,588.2903844,195.1308297,1673.26202,580.1358602,0,12167.45445,23591.98573,0,9.63427096,46.16051436,-1273.692653,0,16290.45768,38167,0
6 Wood and products of wood and cork,546.0573917,161.0279282,170.9628308,209.5080621,32.93477191,13860.34709,3840.149124,8.095163194,136.0765807,0,163.2750516,277.2692777,305.5903666,0,641.9191481,874.9722224,5.307234214,455.6105149,0,145.320912,345.3322019,675.8048712,0,0,2074.875469,1946.458127,0,0,40.63724391,14801.69457,1076.445909,86.10786076,422.7012987,44.02098278,21.73816325,481.3031754,33.52575953,20.49612196,3755.229341,71.48013805,234.3790861,845.0055052,0,206.3340213,137.2940353,111.8322896,1094.211301,0,50361.33114,2927.315249,0,34.38961462,707.8416777,2900.248442,0,30040.87388,8622,0
"7 Pulp, paper, paper products, printing and publishing",322.2432078,3.457901817,87.75309677,3467.251322,122.4917645,1048.712828,33239.08114,56.80770778,1424.960098,0,682.7732543,534.6440654,892.4508671,0,828.7755776,2110.60025,136.1356013,2458.893339,0,496.949123,1615.396454,229.2650307,0,0,471.9522747,569.2085875,0,0,46.27096592,837.3908491,3730.768189,660.7120251,1415.501456,312.4987985,66.35771954,1483.332336,3633.501146,1852.004936,2284.901538,286.6999156,4461.795779,9708.053352,0,1536.356568,4864.317255,1718.9814,4429.926888,0,94129.17461,16654.81414,0,419.3644257,745.5996121,-59.9440601,0.087923136,88257.90335,19374,0
"8 Coke, refined petroleum products and nuclear fuel",2444.913459,19.90332295,319.9258391,612.5281627,48.58957572,426.5892865,1264.001247,2184.423492,4128.748403,0,153.6005717,792.0370953,2029.299985,0,631.5489282,619.8393191,9.786384423,170.1501266,0,109.5687079,583.8418309,152.7469053,0,0,1037.707242,3077.40576,0,0,70.87561697,2871.524614,2199.061202,180.0949446,5604.073213,3619.086985,2373.004698,1179.060765,325.2699112,91.05718264,812.5091013,219.3731108,242.8012841,1474.48706,0,662.9827606,218.6639597,722.6036458,877.4758506,0,44561.16155,15084.3106,0,15.54772721,136.4244092,2683.014016,0,47333.5417,42364,0
9 Chemicals excluding pharmaceuticals,2131.338547,16.13696124,328.3550723,2031.946466,1056.351512,966.2058431,7340.719513,610.8386787,22678.73002,0,7937.125768,857.1693437,1983.229556,0,1495.614061,2161.533569,68.63450187,2054.77324,0,731.6513344,2633.063989,455.3315193,0,0,1065.64663,1248.172743,0,0,464.2862434,2024.795507,3240.00349,506.8727942,762.4920982,194.1166023,125.2111668,631.327776,497.4108843,410.3993348,1256.609049,164.9863392,1035.276171,4938.139776,0,843.7062462,448.8052064,5277.129041,1542.94746,0,84217.08405,17503.89928,0,13637.14502,1933.023086,-1594.742074,0,102771.5906,81598,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
