Industry,"1 Agriculture, hunting, forestry and fishing",2 Mining and quarrying (energy),3 Mining and quarrying (non-energy),"4 Food products, beverages and tobacco","5 Textiles, textile products, leather and footwear",6 Wood and products of wood and cork,"7 Pulp, paper, paper products, printing and publishing","8 Coke, refined petroleum products and nuclear fuel",9 Chemicals excluding pharmaceuticals,10 Pharmaceuticals,11 Rubber & plastics products,12 Other non-metallic mineral products,13 Iron & steel ,14 Non-ferrous metals,"15 Fabricated metal products, except machinery & equipment","16 Machinery & equipment, nec ","17 Office, accounting & computing machinery","18 Electrical machinery & apparatus, nec","19 Radio, television & communication equipment","20 Medical, precision & optical instruments","21 Motor vehicles, trailers & semi-trailers",22 Building & repairing of ships & boats,23 Aircraft & spacecraft,24 Railroad equipment & transport equip nec.,25 Manufacturing nec; recycling (include Furniture),"26 Production, collection and distribution of electricity",27 Manufacture of gas; distribution of gaseous fuels through mains,28 Steam and hot water supply ,"29 Collection, purification and distribution of water",30 Construction,31 Wholesale & retail trade; repairs,32 Hotels & restaurants,33 Land transport; transport via pipelines,34 Water transport,35 Air transport,36 Supporting and auxiliary transport activities; activities of travel agencies,37 Post & telecommunications,38 Finance & insurance,39 Real estate activities,40 Renting of machinery & equipment,41 Computer & related activities,42 Research & development,43 Other Business Activities,44 Public admin. & defence; compulsory social security,45 Education,46 Health & social work,"47 Other community, social & personal services",48 Private households with employed persons & extra-territorial organisations & bodies,Total intermediate use,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households,Final consumption expenditure by government,Gross fixed capital formation,Changes in Inventories,Changes in valuables,Exports,Imports,Discrepancy
"1 Agriculture, hunting, forestry and fishing",71653.17929,1.181031064,9.067966513,146674.7172,2650.884045,16358.07877,6068.640483,14.92689239,1730.137203,0,1569.840141,3.726715036,30.94491127,0,9.608426725,12.21676735,17.93075982,23.00179598,0,0,20.99048186,4.959728563,0,0,204.7245326,19.27281791,0,0,0,1476.814467,2446.168039,8277.25372,12.07031288,6.472572104,1.894397434,0.219779861,20.86384112,5.987021541,2367.780081,4.065033451,8.273696018,121.1119184,8.249096535,1629.646821,125.9598689,425.4357828,7260.445641,0,271276.742,53024.23408,0,-1515.733869,66.45594166,1159.722615,0,25714.64981,32144.67062,0
2 Mining and quarrying (energy),377.5610535,40127.91247,1585.764673,164.729548,30.09368727,36.41986559,193.4011609,265651.3914,11904.67083,0,125.2254629,89.13374083,149.4988238,0,85.78178574,63.04689849,36.84076468,20.69002505,0,0,75.30681374,52.70985793,0,0,47.96309391,105701.1661,0,0,0,912.5450821,562.260251,71.83855403,7465.680187,74.50102494,1075.075628,29.99162041,48.95809576,48.42370727,168.5053007,55.12944969,12.50142428,55.70885562,32.71574713,13750.6827,18.70065852,179.3343131,614.8887112,0,451696.7494,6891.408628,0,706.2140092,996.3846553,4881.214976,0,4685.533321,224038.805,0
3 Mining and quarrying (non-energy),425.2517764,4772.719108,7692.126786,426.8989591,73.07284165,13.24954639,759.2518112,1328.234211,3536.837465,0,160.1427478,7368.635269,8523.912519,0,190.8496726,98.12977907,145.0935905,216.2376579,0,0,2493.453063,31.36993045,0,0,244.6415473,13216.25731,0,0,0,7482.840161,137.0501418,57.32061544,215.3791358,20.68557924,11.51838449,0.531946545,12.49103213,6.567348967,2183.080565,5.256278851,5.590675187,351.2836663,7.182621536,3964.336734,6.122662363,124.890666,74.66829974,0,66383.16211,920.4478642,0,0.247673713,76622.93993,4055.146192,0,5745.626447,2672.470215,0
"4 Food products, beverages and tobacco",18738.60047,29.53645428,27.54550853,91437.35983,982.2752632,62.13210141,1004.820111,303.1396017,2841.740642,0,359.099496,47.54358472,79.56503363,0,90.11938573,102.8875783,161.7570334,55.40973121,0,0,168.6019424,74.77709441,0,0,462.9702117,12.01703183,0,0,0,189.4080958,10363.98999,81167.3086,382.2979649,85.87526027,194.8097397,1.638821514,33.6230059,31.1904663,82.10760803,17.17215606,19.51523561,1062.41477,22.58439047,19368.79796,929.5585644,10411.79808,4046.07416,0,245452.063,434334.6787,0,3016.022812,998.8820295,5176.508738,0,32737.84994,59516.60518,0
"5 Textiles, textile products, leather and footwear",531.644176,24.8821177,34.90063605,335.2294021,23288.75436,127.1605871,3771.905596,69.04164293,816.4887138,0,3359.845866,162.2832052,46.82368539,0,162.077243,511.8359554,129.8771239,62.83005154,0,0,7000.461017,995.1693356,0,0,7090.455994,16.46443095,0,0,0,2384.741135,3214.544613,992.4640842,167.2307555,175.5120117,15.93903641,24.17915778,201.7906688,384.7266035,1132.572953,333.0334475,32.74969964,465.5615881,66.02488883,5787.641699,94.88574764,1951.781501,1951.693633,0,67915.20437,175453.4732,0,-0.521060579,3936.884951,3510.459368,0,15689.03994,157937.7408,0
6 Wood and products of wood and cork,511.9174826,6.664276633,92.72824002,731.9786211,262.3243368,23281.47823,3027.886595,92.39319323,434.3907464,0,253.7383366,395.1209607,354.1899107,0,379.0286174,595.4464476,218.8546753,261.4013484,0,0,984.6337413,380.665119,0,0,10160.29155,450.75818,0,0,0,42810.97728,5956.802705,1183.435641,740.2831607,1.219837757,4.001053631,41.78901601,1617.725844,45.07301525,17830.34911,85.11036723,148.3366377,647.0832315,935.126275,3274.176277,373.5454772,1784.279388,1963.120714,0,122318.3256,2257.888106,0,-0.268414376,6468.859642,1867.640922,0,4046.627995,25371.77389,0
"7 Pulp, paper, paper products, printing and publishing",964.0609201,613.3817511,589.2905191,22351.69113,1178.810637,669.7419231,84366.56896,1581.536862,9778.133085,0,4142.818803,1908.569005,752.0114802,0,2329.443709,2399.858005,11744.11755,1581.786401,0,0,3093.653634,1074.182547,0,0,5327.493309,559.8609645,0,0,0,9098.721281,24285.67607,6291.876192,2517.513833,391.997291,405.9121416,188.2637774,9309.784123,9837.10912,6521.445939,6342.250445,3826.587602,22148.55073,8485.80252,36576.18564,3392.340772,16475.15512,26618.93097,0,349721.1148,92548.05117,0,-1.916867034,79948.84208,1563.605729,0,30508.02818,30975.42505,0
"8 Coke, refined petroleum products and nuclear fuel",9576.420132,1759.21078,9291.760707,2099.110547,754.8718999,539.3031028,3519.994201,38349.50226,26530.11122,0,3124.117886,691.2559737,2740.190029,0,1637.149298,1287.552977,435.3783144,561.679028,0,0,1201.993886,933.0712477,0,0,676.3158143,5880.171065,0,0,0,22554.31196,13649.19234,1780.574119,32641.83542,1815.787421,26168.66856,730.2380411,1147.192404,857.1804385,4236.852889,1270.691418,190.6076569,1301.14597,662.9506918,76311.02587,471.2670599,5349.975321,15351.16506,0,318079.823,177281.3005,0,-0.208540554,737.3885082,2772.80322,0,24470.44619,69590.25289,0
9 Chemicals excluding pharmaceuticals,16529.24021,3631.894429,2577.401725,6613.117841,13785.13491,1575.526254,13235.85526,8072.566039,141454.9982,0,54576.29968,2968.615368,2035.529017,0,4942.554671,3034.97314,5325.377584,4463.095153,0,0,7328.070461,3058.361039,0,0,6910.723331,478.1649349,0,0,0,10435.1408,5686.355928,1818.26606,1595.761054,102.8922325,678.132609,32.39107228,1343.378368,497.7152162,6750.750505,927.1309405,311.5973255,8799.946947,856.2438557,31581.73518,1120.83755,38072.72521,16532.24326,0,429740.7434,216554.5532,0,-3.91338841,3759.869556,5768.001666,0,93703.71311,156382.3676,0
10 Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
